month,rainfall,temperature
1,2.733551397,28.8867729
2,0.924272278,27.71349032
3,4.847923139,33.28737509
4,3.875664117,28.56753327
5,4.697494708,27.8093451
6,4.474136752,30.42696083
7,2.989499894,26.40924225
8,4.609371175,33.02196981
9,0.44246251,25.74550644
10,0.979914312,34.86886937
11,0.226136445,32.72244769
12,1.626651654,26.98715682
1,2.280349921,28.04613769
2,3.925879807,25.97672114
3,0.998368911,31.84233027
4,2.571172192,29.40152494
5,2.962072844,26.22038235
6,0.232252064,29.9517691
7,3.03772426,25.34388521
8,0.852620618,34.09320402
9,0.325257965,27.58779982
10,4.744427686,31.62522284
11,4.828160165,28.11711076
12,4.041986741,30.20068021
