Party,Year,Sector,GHG_emissions
Australia,1990,Energy,294010.18
Australia,1991,Energy,296580.24
Australia,1992,Energy,303154.41
Australia,1993,Energy,305979.01
Australia,1994,Energy,306653.03
Australia,1995,Energy,318838.24
Australia,1996,Energy,326212.78
Australia,1997,Energy,337253.43
Australia,1998,Energy,350642.67
Australia,1999,Energy,355556.88
Australia,2000,Energy,364291.34
Australia,2001,Energy,371477.35
Australia,2002,Energy,374600.5
Australia,2003,Energy,380070.16
Australia,2004,Energy,393503.49
Australia,2005,Energy,399634.6
Australia,2006,Energy,405966.94
Australia,2007,Energy,413805.02
Australia,2008,Energy,419448.5
Australia,2009,Energy,424728.03
Australia,2010,Energy,420136.76
Australia,2011,Energy,416731.04
Australia,2012,Energy,422237.87
Australia,2013,Energy,414450.48
Australia,2014,Energy,408686.07
Australia,2015,Energy,420302.6
Australia,2016,Energy,432094.82
Australia,2017,Energy,435648.63
Australia,1990,Industrial processes and product use,26031.43
Australia,1991,Industrial processes and product use,25281.05
Australia,1992,Industrial processes and product use,25901.14
Australia,1993,Industrial processes and product use,25612.92
Australia,1994,Industrial processes and product use,25548.78
Australia,1995,Industrial processes and product use,25201.91
Australia,1996,Industrial processes and product use,24939.14
Australia,1997,Industrial processes and product use,25095.53
Australia,1998,Industrial processes and product use,26373.54
Australia,1999,Industrial processes and product use,26842.56
Australia,2000,Industrial processes and product use,26683.68
Australia,2001,Industrial processes and product use,27870.15
Australia,2002,Industrial processes and product use,28563.5
Australia,2003,Industrial processes and product use,31167.48
Australia,2004,Industrial processes and product use,32622.56
Australia,2005,Industrial processes and product use,31875.6
Australia,2006,Industrial processes and product use,31951.48
Australia,2007,Industrial processes and product use,34210.65
Australia,2008,Industrial processes and product use,34424.16
Australia,2009,Industrial processes and product use,32781.98
Australia,2010,Industrial processes and product use,35645.61
Australia,2011,Industrial processes and product use,36250.99
Australia,2012,Industrial processes and product use,33406.34
Australia,2013,Industrial processes and product use,31503.37
