Month,Rainfall (mm),Temperature (°C)
1,1.8727005942368125,33.324426408004214
2,4.75357153204958,27.123391106782762
3,3.6599697090570253,26.818249672071005
4,2.993292420985183,26.83404509853434
5,0.7800932022121826,28.042422429595376
6,0.7799726016810132,30.24756431632238
7,0.2904180608409973,29.319450186421157
8,4.330880728874676,27.91229140198042
9,3.005575058716044,31.118528947223794
10,3.540362888980227,26.39493860652042
11,0.10292247147901223,27.92144648535218
12,4.8495492608099715,28.663618432936918
