id_player,Born,City,Cntry,Nat,Ht,Wt,Last_Name,First_Name,Position,Team,GP,G,A,TOI,TOI_GP
1,30.04.1988,Hamilton,CAN,CAN,69,170,Abbott,Spencer,LW,CHI,1,0,0,514,8.57
2,25.02.1987,Muskegon,USA,USA,74,218,Abdelkader,Justin,LW/RW,DET,64,7,14,63969,16.65
3,23.09.1993,Stockholm,SWE,SWE,71,196,Aberg,Pontus,LW,NSH,15,1,1,11102,12.33
4,01.12.1991,Johnston,USA,USA,70,208,Acciari,Noel,C,BOS,29,2,3,18047,10.23
5,30.04.1992,Morristown,USA,USA,72,202,Agostino,Kenny,LW,STL,7,1,2,5366,12.78
6,26.07.1997,Rauma,FIN,FIN,71,172,Aho,Sebastian,RW/LW,CAR,82,24,25,82591,16.78
7,24.09.1988,Burnaby,CAN,CAN,75,219,Alzner,Karl,D,WSH,82,3,10,97371,19.8
8,07.05.1994,Burlington,CAN,CAN,75,221,Anderson,Josh,RW,CBJ,78,17,12,56253,12.02
9,27.10.1996,Malmö,SWE,SWE,73,214,Andersson,Rasmus,D,CGY,1,0,0,1113,18.55
10,17.05.1991,Pickering,CAN,CAN,73,210,Andreoff,Andy,LW/C,L.A,36,0,2,22888,10.6
11,21.03.1993,Zurich,CHE,CHE,70,188,Andrighetto,Sven,RW,COL/MTL,46,7,17,38550,13.97
12,24.05.1988,Yaroslavl,RUS,RUS,76,198,Anisimov,Artem,C/LW,CHI,64,22,23,68529,17.85
13,06.10.1992,Regina,CAN,CAN,70,176,Archibald,Josh,RW,PIT,10,3,0,6519,10.87
14,31.05.1993,Pori,FIN,FIN,75,205,Armia,Joel,RW,WPG,57,10,9,51769,15.13
15,08.04.1993,Skellefteå,SWE,SWE,69,180,Arvidsson,Viktor,LW/RW,NSH,80,31,30,82343,17.15
16,06.08.1994,London,CAN,CAN,74,188,Athanasiou,Andreas,C,DET,64,18,11,51703,13.47
17,05.06.1989,Riverside,USA,USA,68,182,Atkinson,Cam,RW,CBJ,82,35,27,88972,18.08
18,16.06.1993,Bobcaygeon,CAN,CAN,76,230,Austin,Brady,D,BUF,5,0,0,4827,16.08
19,27.07.1989,Ivry-sur-Seine,FRA,FRA,71,191,Auvitu,Yohann,D/LW,N.J,25,2,2,23405,15.6
20,01.05.1984,Minneapolis,USA,USA,75,221,Backes,David,RW/C,BOS,74,17,21,76007,17.05
21,17.03.1989,Vasteras,SWE,SWE,73,199,Backlund,Mikael,C,CGY,81,22,31,85565,17.6
22,23.11.1987,Gävle,SWE,SWE,73,213,Backstrom,Nicklas,C,WSH,82,23,63,89839,18.27
23,05.10.1992,Bern,CHE,CHE,71,192,Baertschi,Sven,LW,VAN,68,18,17,64773,15.88
24,27.10.1991,Anchorage,USA,USA,75,195,Bailey,Casey,RW/C,OTT,7,0,0,3358,8
25,02.10.1989,Bowmanville,CAN,CAN,73,210,Bailey,Josh,RW/LW/C,NYI,82,13,43,90388,18.37
26,01.07.1995,Buffalo,USA,USA,75,214,Bailey,Justin,RW,BUF,32,2,2,20414,10.63
27,04.08.1995,Ottawa,CAN,CAN,73,206,Baptiste,Nicholas,RW,BUF,14,3,1,7761,9.23
28,14.12.1995,Moscow,RUS,RUS,72,180,Barbashev,Ivan,C,STL,30,5,7,21224,11.78
29,07.02.1994,Pittsburgh,USA,USA,72,193,Barber,Riley,RW,WSH,3,0,0,1544,8.58
30,23.03.1990,Montreal,CAN,CAN,73,207,Barberio,Mark,D,COL/MTL,60,2,11,65740,18.27
31,02.09.1995,Tampere,FIN,FIN,75,213,Barkov,Aleksander,C,FLA,61,21,31,71010,19.4
32,26.07.1991,Victoria,CAN,CAN,70,190,Barrie,Tyson,D,COL,74,7,31,103486,23.3
33,04.06.1988,Pittsburgh,USA,USA,73,196,Bartkowski,Matt,D,CGY,24,1,1,22158,15.38
34,26.05.1997,Coquitlam,CAN,CAN,72,182,Barzal,Mathew,C,NYI,2,0,0,1170,9.75
35,07.01.1987,Owen sound,CAN,CAN,72,205,Bass,Cody,C,NSH,9,0,0,3654,6.77
36,16.10.1985,Calgary,CAN,CAN,75,215,Beagle,Jay,C/RW,WSH,81,13,17,66251,13.63
37,04.06.1980,Sorel,CAN,CAN,73,208,Beauchemin,Francois,D,COL,81,5,13,104566,21.52
38,05.12.1992,Strathroy,CAN,CAN,74,205,Beaulieu,Nathan,D,MTL,74,4,24,86490,19.48
39,08.06.1997,Sorel-Tracy,CAN,CAN,71,170,Beauvillier,Anthony,C/LW,NYI,66,9,15,51563,13.02
40,13.05.1991,St. Catharines,CAN,CAN,74,203,Beck,Taylor,LW,EDM/NYR,5,0,0,2643,8.82
41,07.06.1988,Windsor,CAN,CAN,72,203,Beleskey,Matt,LW,BOS,49,3,5,39001,13.17
42,06.03.1985,Le Blanc-Mesnil,FRA,FRA,72,198,Bellemare,Pierre-Edouard,LW/C,PHI,82,4,4,63814,12.97
43,18.07.1989,Victoria,CAN,CAN,74,210,Benn,Jamie,LW,DAL,77,26,43,89507,19.37
44,26.07.1987,Victoria,CAN,CAN,74,200,Benn,Jordie,D,DAL/MTL,71,4,13,77900,18.28
45,27.11.1991,Gardena,USA,USA,74,195,Bennett,Beau,RW/LW,N.J,65,8,11,52876,13.72
46,20.06.1996,Holland Landing,CAN,CAN,73,186,Bennett,Sam,C,CGY,81,13,13,72839,14.98
47,25.05.1994,Edmonton,CAN,CAN,73,195,Benning,Matthew,D,EDM,62,3,12,61791,16.62
48,24.07.1985,Ancienne-Lorette,CAN,CAN,73,195,Bergeron,Patrice,C,BOS,79,21,32,92065,19.33
49,02.06.1988,Västerås,SWE,SWE,76,223,Berglund,Patrik,C/LW,STL,82,23,11,78668,15.98
50,05.04.1994,Fribourg,CHE,CHE,70,186,Bertschy,Christoph,C,MIN,5,0,1,2440,8.13
51,24.02.1995,Sudbury,CAN,CAN,72,198,Bertuzzi,Tyler,LW,DET,7,0,0,3825,9.1
52,09.03.1986,Bowmanville,CAN,CAN,76,223,Bickell,Bryan,LW,CAR,11,1,0,6891,10.43
53,04.04.1988,Montreal,CAN,CAN,70,193,Biega,Alex,D,VAN,36,0,3,28444,13.17
54,16.06.1981,Grimsby,CAN,CAN,73,200,Bieksa,Kevin,D,ANA,81,3,11,91130,18.75
55,15.07.1990,Island Park,USA,USA,73,210,Bitetto,Anthony,D,NSH,29,0,7,20538,11.8
56,10.04.1995,Herning,DNK,DNK,72,175,Bjorkstrand,Oliver,RW,CBJ,26,6,7,21980,14.08
57,17.07.1992,Minneapolis,USA,USA,78,218,Bjugstad,Nick,C,FLA,54,7,7,42615,13.15
58,18.07.1994,Markham,CAN,CAN,72,200,Blandisi,Joseph,LW/C,N.J,27,3,6,21643,13.37
59,14.03.1995,Molnlycke,SWE,SWE,72,201,Blidh,Anton,LW,BOS,19,1,1,10006,8.78
60,15.12.1986,Toronto,CAN,CAN,76,217,Blunden,Mike,RW,OTT,2,0,0,974,8.12
61,16.12.1989,Brondby,DNK,DNK,72,210,Boedker,Mikkel,LW/RW,S.J,81,10,16,69738,14.27
62,25.02.1997,Burnsville,USA,USA,73,191,Boeser,Brock,RW,VAN,9,4,1,8755,16.22
63,15.07.1990,Massena,USA,USA,75,228,Bogosian,Zach,D,BUF,56,2,9,67493,20.08
64,13.05.1986,Charlotte,USA,USA,75,209,Boll,Jared,RW,ANA,51,0,3,17793,5.82
65,20.04.1988,Hartford,USA,USA,73,196,Bonino,Nick,C,PIT,80,18,19,79931,16.65
66,12.07.1989,Ottawa,CAN,CAN,73,216,Borowiecki,Mark,D,OTT,70,1,2,58845,14.02
