"fips","year","month","date","county","state","cases","deaths","total_population","area_sqmi"
"36001","2020","03","12","Albany","New York",2,0,307891,522.814401957382
"36001","2020","03","13","Albany","New York",2,0,307891,522.814401957382
"36001","2020","03","14","Albany","New York",5,0,307891,522.814401957382
"36001","2020","03","15","Albany","New York",11,0,307891,522.814401957382
"36001","2020","03","16","Albany","New York",12,0,307891,522.814401957382
"36001","2020","03","17","Albany","New York",23,0,307891,522.814401957382
"36001","2020","03","18","Albany","New York",36,0,307891,522.814401957382
"36001","2020","03","19","Albany","New York",43,0,307891,522.814401957382
"36001","2020","03","20","Albany","New York",61,0,307891,522.814401957382
"36001","2020","03","21","Albany","New York",88,0,307891,522.814401957382
"36001","2020","03","22","Albany","New York",123,0,307891,522.814401957382
"36001","2020","03","23","Albany","New York",127,0,307891,522.814401957382
"36001","2020","03","24","Albany","New York",146,0,307891,522.814401957382
"36001","2020","03","25","Albany","New York",152,0,307891,522.814401957382
"36001","2020","03","26","Albany","New York",171,0,307891,522.814401957382
"36001","2020","03","27","Albany","New York",187,0,307891,522.814401957382
"36001","2020","03","28","Albany","New York",195,1,307891,522.814401957382
"36001","2020","03","29","Albany","New York",205,1,307891,522.814401957382
"36001","2020","03","30","Albany","New York",217,1,307891,522.814401957382
"36001","2020","03","31","Albany","New York",226,1,307891,522.814401957382
"36001","2020","04","01","Albany","New York",240,2,307891,522.814401957382
"36001","2020","04","02","Albany","New York",253,2,307891,522.814401957382
"36001","2020","04","03","Albany","New York",267,4,307891,522.814401957382
"36001","2020","04","04","Albany","New York",293,6,307891,522.814401957382
"36001","2020","04","05","Albany","New York",305,8,307891,522.814401957382
"36001","2020","04","06","Albany","New York",319,9,307891,522.814401957382
"36001","2020","04","07","Albany","New York",333,9,307891,522.814401957382
"36001","2020","04","08","Albany","New York",342,10,307891,522.814401957382
"36001","2020","04","09","Albany","New York",379,12,307891,522.814401957382
"36001","2020","04","10","Albany","New York",426,14,307891,522.814401957382
"36001","2020","04","11","Albany","New York",446,16,307891,522.814401957382
"36001","2020","04","12","Albany","New York",478,16,307891,522.814401957382
