"long","lat","group","order","region","subregion","FIPS"
-73.7854995727539,42.4676284790039,1795,52932,"new york","albany",36001
-74.2553329467773,42.4103355407715,1795,52933,"new york","albany",36001
-74.2725219726562,42.4160652160645,1795,52934,"new york","albany",36001
-74.2496032714844,42.4676284790039,1795,52935,"new york","albany",36001
-74.2266845703125,42.507740020752,1795,52936,"new york","albany",36001
-74.2324142456055,42.5650367736816,1795,52937,"new york","albany",36001
-74.2094955444336,42.5879554748535,1795,52938,"new york","albany",36001
-74.1922988891602,42.6223297119141,1795,52939,"new york","albany",36001
-74.1693878173828,42.6738967895508,1795,52940,"new york","albany",36001
-74.1636581420898,42.7025451660156,1795,52941,"new york","albany",36001
-74.1751174926758,42.7311935424805,1795,52942,"new york","albany",36001
-73.8198852539062,42.7827568054199,1795,52943,"new york","albany",36001
-73.7854995727539,42.7942199707031,1795,52944,"new york","albany",36001
-73.7568588256836,42.817138671875,1795,52945,"new york","albany",36001
-73.7453918457031,42.817138671875,1795,52946,"new york","albany",36001
-73.7224807739258,42.811408996582,1795,52947,"new york","albany",36001
-73.7110214233398,42.7884902954102,1795,52948,"new york","albany",36001
-73.676643371582,42.7884902954102,1795,52949,"new york","albany",36001
-73.7224807739258,42.6968154907227,1795,52950,"new york","albany",36001
-73.7396621704102,42.6681671142578,1795,52951,"new york","albany",36001
-73.7453918457031,42.6337890625,1795,52952,"new york","albany",36001
-73.7625885009766,42.6108741760254,1795,52953,"new york","albany",36001
-73.7568588256836,42.5994110107422,1795,52954,"new york","albany",36001
-73.7625885009766,42.5707626342773,1795,52955,"new york","albany",36001
-73.7740478515625,42.5306549072266,1795,52956,"new york","albany",36001
-73.7854995727539,42.4676284790039,1795,52957,"new york","albany",36001
-78.208740234375,41.9978065490723,1796,52959,"new york","allegany",36003
-78.3118667602539,42.0035362243652,1796,52960,"new york","allegany",36003
-78.3061447143555,42.5191993713379,1796,52961,"new york","allegany",36003
-78.0540390014648,42.5191993713379,1796,52962,"new york","allegany",36003
-78.0483093261719,42.5134658813477,1796,52963,"new york","allegany",36003
-77.8477783203125,42.5134658813477,1796,52964,"new york","allegany",36003
-77.8477783203125,42.4676284790039,1796,52965,"new york","allegany",36003
-77.7331771850586,42.4676284790039,1796,52966,"new york","allegany",36003
-77.7331771850586,42.4160652160645,1796,52967,"new york","allegany",36003
-77.7389144897461,42.4160652160645,1796,52968,"new york","allegany",36003
-77.761833190918,42.0035362243652,1796,52969,"new york","allegany",36003
-78.208740234375,41.9978065490723,1796,52970,"new york","allegany",36003
-73.9172821044922,40.9034576416016,1797,52972,"new york","bronx",36005
-73.9115524291992,40.9091873168945,1797,52973,"new york","bronx",36005
-73.8084259033203,40.8862686157227,1797,52974,"new york","bronx",36005
-73.8256072998047,40.8690795898438,1797,52975,"new york","bronx",36005
-73.8198852539062,40.8576202392578,1797,52976,"new york","bronx",36005
-73.8198852539062,40.8232421875,1797,52977,"new york","bronx",36005
-73.8141555786133,40.8117828369141,1797,52978,"new york","bronx",36005
-73.8943710327148,40.8060531616211,1797,52979,"new york","bronx",36005
-73.9172821044922,40.9034576416016,1797,52980,"new york","bronx",36005
-75.4757308959961,42.0035362243652,1798,52982,"new york","broome",36007
-76.1059875488281,42.0035362243652,1798,52983,"new york","broome",36007
-76.1059875488281,42.0894813537598,1798,52984,"new york","broome",36007
-76.1059875488281,42.0952110290527,1798,52985,"new york","broome",36007
-76.1117172241211,42.186882019043,1798,52986,"new york","broome",36007
-76.0887908935547,42.186882019043,1798,52987,"new york","broome",36007
-76.0830688476562,42.2098007202148,1798,52988,"new york","broome",36007
-76.0716094970703,42.2098007202148,1798,52989,"new york","broome",36007
-76.0716094970703,42.2269897460938,1798,52990,"new york","broome",36007
-76.0773391723633,42.2327194213867,1798,52991,"new york","broome",36007
-76.0773391723633,42.2441787719727,1798,52992,"new york","broome",36007
-76.0887908935547,42.2499084472656,1798,52993,"new york","broome",36007
-76.0830688476562,42.2556381225586,1798,52994,"new york","broome",36007
-76.0773391723633,42.2728271484375,1798,52995,"new york","broome",36007
-76.0945205688477,42.2785568237305,1798,52996,"new york","broome",36007
-76.0945205688477,42.2842826843262,1798,52997,"new york","broome",36007
-76.1059875488281,42.2900161743164,1798,52998,"new york","broome",36007
-76.1059875488281,42.2957458496094,1798,52999,"new york","broome",36007
-76.0887908935547,42.2957458496094,1798,53000,"new york","broome",36007
-76.0945205688477,42.3129348754883,1798,53001,"new york","broome",36007
-76.1002502441406,42.3186645507812,1798,53002,"new york","broome",36007
-76.1059875488281,42.324390411377,1798,53003,"new york","broome",36007
-76.1117172241211,42.3301200866699,1798,53004,"new york","broome",36007
-76.1174468994141,42.3415832519531,1798,53005,"new york","broome",36007
-76.1002502441406,42.3473091125488,1798,53006,"new york","broome",36007
-76.1059875488281,42.358772277832,1798,53007,"new york","broome",36007
-76.1174468994141,42.358772277832,1798,53008,"new york","broome",36007
-76.1174468994141,42.3931465148926,1798,53009,"new york","broome",36007
-76.1288986206055,42.3931465148926,1798,53010,"new york","broome",36007
-76.1288986206055,42.4103355407715,1798,53011,"new york","broome",36007
-75.8596115112305,42.4160652160645,1798,53012,"new york","broome",36007
-75.8367004394531,42.2499084472656,1798,53013,"new york","broome",36007
-75.6418838500977,42.2441787719727,1798,53014,"new york","broome",36007
-75.6361541748047,42.1983413696289,1798,53015,"new york","broome",36007
-75.4184341430664,42.1983413696289,1798,53016,"new york","broome",36007
-75.4184341430664,42.1525039672852,1798,53017,"new york","broome",36007
-75.4184341430664,42.0780181884766,1798,53018,"new york","broome",36007
-75.4127044677734,42.043643951416,1798,53019,"new york","broome",36007
-75.4012451171875,42.0035362243652,1798,53020,"new york","broome",36007
-75.4757308959961,42.0035362243652,1798,53021,"new york","broome",36007
-78.9249420166016,42.0035362243652,1799,53023,"new york","cattaraugus",36009
-79.0624465942383,42.0035362243652,1799,53024,"new york","cattaraugus",36009
-79.0567169189453,42.5421180725098,1799,53025,"new york","cattaraugus",36009
-79.0108795166016,42.5306549072266,1799,53026,"new york","cattaraugus",36009
-78.9593124389648,42.4848213195801,1799,53027,"new york","cattaraugus",36009
-78.9306640625,42.4389839172363,1799,53028,"new york","cattaraugus",36009
-78.9077453613281,42.4389839172363,1799,53029,"new york","cattaraugus",36009
-78.8962860107422,42.4275245666504,1799,53030,"new york","cattaraugus",36009
-78.8676376342773,42.4275245666504,1799,53031,"new york","cattaraugus",36009
-78.8218002319336,42.4504432678223,1799,53032,"new york","cattaraugus",36009
-78.7988891601562,42.4504432678223,1799,53033,"new york","cattaraugus",36009
-78.7587814331055,42.4733619689941,1799,53034,"new york","cattaraugus",36009
-78.7129440307617,42.4848213195801,1799,53035,"new york","cattaraugus",36009
-78.7072143554688,42.4848213195801,1799,53036,"new york","cattaraugus",36009
-78.6900253295898,42.4733619689941,1799,53037,"new york","cattaraugus",36009
-78.667106628418,42.4905471801758,1799,53038,"new york","cattaraugus",36009
-78.6384506225586,42.496280670166,1799,53039,"new york","cattaraugus",36009
-78.6098098754883,42.507740020752,1799,53040,"new york","cattaraugus",36009
-78.5639724731445,42.507740020752,1799,53041,"new york","cattaraugus",36009
-78.4723052978516,42.5306549072266,1799,53042,"new york","cattaraugus",36009
-78.4665756225586,42.5249290466309,1799,53043,"new york","cattaraugus",36009
-78.3061447143555,42.5191993713379,1799,53044,"new york","cattaraugus",36009
-78.3118667602539,42.0035362243652,1799,53045,"new york","cattaraugus",36009
-78.9249420166016,42.0035362243652,1799,53046,"new york","cattaraugus",36009
-76.7305068969727,43.0233993530273,1800,53048,"new york","cayuga",36011
-76.7190475463867,43.0463180541992,1800,53049,"new york","cayuga",36011
-76.7133178710938,43.0692367553711,1800,53050,"new york","cayuga",36011
-76.7190475463867,43.3270683288574,1800,53051,"new york","cayuga",36011
-76.7075881958008,43.3270683288574,1800,53052,"new york","cayuga",36011
-76.6846694946289,43.3671760559082,1800,53053,"new york","cayuga",36011
-76.6617584228516,43.3900947570801,1800,53054,"new york","cayuga",36011
-76.6388320922852,43.407283782959,1800,53055,"new york","cayuga",36011
-76.6159210205078,43.4187393188477,1800,53056,"new york","cayuga",36011
-76.6101913452148,43.2525825500488,1800,53057,"new york","cayuga",36011
-76.4841384887695,43.2525825500488,1800,53058,"new york","cayuga",36011
-76.4784088134766,43.2239379882812,1800,53059,"new york","cayuga",36011
-76.4784088134766,43.1666412353516,1800,53060,"new york","cayuga",36011
-76.4898681640625,43.1551818847656,1800,53061,"new york","cayuga",36011
-76.4898681640625,43.1093444824219,1800,53062,"new york","cayuga",36011
-76.5013198852539,43.092155456543,1800,53063,"new york","cayuga",36011
-76.4955978393555,43.0119400024414,1800,53064,"new york","cayuga",36011
-76.4612121582031,43.0062103271484,1800,53065,"new york","cayuga",36011
-76.4612121582031,42.8515129089355,1800,53066,"new york","cayuga",36011
-76.3523559570312,42.8515129089355,1800,53067,"new york","cayuga",36011
-76.2721405029297,42.7942199707031,1800,53068,"new york","cayuga",36011
-76.2606811523438,42.7713012695312,1800,53069,"new york","cayuga",36011
-76.2606811523438,42.628059387207,1800,53070,"new york","cayuga",36011
-76.4554901123047,42.628059387207,1800,53071,"new york","cayuga",36011
-76.4612121582031,42.628059387207,1800,53072,"new york","cayuga",36011
-76.6159210205078,42.628059387207,1800,53073,"new york","cayuga",36011
-76.6216430664062,42.628059387207,1800,53074,"new york","cayuga",36011
-76.66748046875,42.628059387207,1800,53075,"new york","cayuga",36011
-76.6846694946289,42.6796264648438,1800,53076,"new york","cayuga",36011
-76.7362365722656,42.7254638671875,1800,53077,"new york","cayuga",36011
-76.7362365722656,42.759838104248,1800,53078,"new york","cayuga",36011
-76.7419738769531,42.777027130127,1800,53079,"new york","cayuga",36011
-76.7305068969727,42.8056755065918,1800,53080,"new york","cayuga",36011
-76.7190475463867,42.8515129089355,1800,53081,"new york","cayuga",36011
-76.7190475463867,42.8744316101074,1800,53082,"new york","cayuga",36011
-76.7362365722656,42.9030799865723,1800,53083,"new york","cayuga",36011
-76.7419738769531,42.9259986877441,1800,53084,"new york","cayuga",36011
-76.7305068969727,42.954647064209,1800,53085,"new york","cayuga",36011
-76.7419738769531,42.9890213012695,1800,53086,"new york","cayuga",36011
-76.7362365722656,43.0062103271484,1800,53087,"new york","cayuga",36011
-76.7305068969727,43.0233993530273,1800,53088,"new york","cayuga",36011
-79.0567169189453,42.5421180725098,1801,53090,"new york","chautauqua",36013
-79.0624465942383,42.0035362243652,1801,53091,"new york","chautauqua",36013
-79.6182174682617,42.0035362243652,1801,53092,"new york","chautauqua",36013
-79.7557220458984,42.0035362243652,1801,53093,"new york","chautauqua",36013
-79.7671813964844,42.2613677978516,1801,53094,"new york","chautauqua",36013
-79.6984329223633,42.2957458496094,1801,53095,"new york","chautauqua",36013
-79.5494613647461,42.358772277832,1801,53096,"new york","chautauqua",36013
-79.4348678588867,42.4275245666504,1801,53097,"new york","chautauqua",36013
-79.4062194824219,42.4504432678223,1801,53098,"new york","chautauqua",36013
-79.38330078125,42.4733619689941,1801,53099,"new york","chautauqua",36013
-79.3489227294922,42.4905471801758,1801,53100,"new york","chautauqua",36013
-79.3202743530273,42.496280670166,1801,53101,"new york","chautauqua",36013
-79.2859039306641,42.5134658813477,1801,53102,"new york","chautauqua",36013
-79.2114181518555,42.5421180725098,1801,53103,"new york","chautauqua",36013
-79.1598510742188,42.5593032836914,1801,53104,"new york","chautauqua",36013
-79.1254730224609,42.5764923095703,1801,53105,"new york","chautauqua",36013
-79.1025543212891,42.5650367736816,1801,53106,"new york","chautauqua",36013
-79.0968246459961,42.5535736083984,1801,53107,"new york","chautauqua",36013
-79.0567169189453,42.5421180725098,1801,53108,"new york","chautauqua",36013
-76.9367752075195,41.9978065490723,1802,53110,"new york","chemung",36015
-76.9711532592773,41.9978065490723,1802,53111,"new york","chemung",36015
-76.9654159545898,42.2785568237305,1802,53112,"new york","chemung",36015
-76.9654159545898,42.2900161743164,1802,53113,"new york","chemung",36015
-76.8393707275391,42.2957458496094,1802,53114,"new york","chemung",36015
-76.7419738769531,42.2957458496094,1802,53115,"new york","chemung",36015
-76.7419738769531,42.2499084472656,1802,53116,"new york","chemung",36015
-76.6903991699219,42.2499084472656,1802,53117,"new york","chemung",36015
-76.6903991699219,42.2441787719727,1802,53118,"new york","chemung",36015
-76.66748046875,42.2384490966797,1802,53119,"new york","chemung",36015
-76.6502990722656,42.2327194213867,1802,53120,"new york","chemung",36015
-76.6159210205078,42.2499084472656,1802,53121,"new york","chemung",36015
-76.6159210205078,42.2900161743164,1802,53122,"new york","chemung",36015
-76.5357055664062,42.2842826843262,1802,53123,"new york","chemung",36015
-76.5357055664062,42.1582374572754,1802,53124,"new york","chemung",36015
-76.5586242675781,42.1582374572754,1802,53125,"new york","chemung",36015
-76.5528869628906,42.0379104614258,1802,53126,"new york","chemung",36015
-76.5643539428711,42.0035362243652,1802,53127,"new york","chemung",36015
-76.9367752075195,41.9978065490723,1802,53128,"new york","chemung",36015
-75.2923889160156,42.7541122436523,1803,53130,"new york","chenango",36017
-75.3210296630859,42.6796264648438,1803,53131,"new york","chenango",36017
-75.3267593383789,42.6681671142578,1803,53132,"new york","chenango",36017
-75.3267593383789,42.6223297119141,1803,53133,"new york","chenango",36017
-75.3324890136719,42.5994110107422,1803,53134,"new york","chenango",36017
-75.3496780395508,42.5707626342773,1803,53135,"new york","chenango",36017
-75.3897857666016,42.5306549072266,1803,53136,"new york","chenango",36017
-75.4012451171875,42.502010345459,1803,53137,"new york","chenango",36017
-75.3955154418945,42.4561729431152,1803,53138,"new york","chenango",36017
-75.3840637207031,42.4160652160645,1803,53139,"new york","chenango",36017
-75.4012451171875,42.3759574890137,1803,53140,"new york","chenango",36017
-75.4012451171875,42.358772277832,1803,53141,"new york","chenango",36017
-75.4127044677734,42.3129348754883,1803,53142,"new york","chenango",36017
-75.4184341430664,42.2957458496094,1803,53143,"new york","chenango",36017
-75.4184341430664,42.2499084472656,1803,53144,"new york","chenango",36017
-75.4184341430664,42.1983413696289,1803,53145,"new york","chenango",36017
-75.6361541748047,42.1983413696289,1803,53146,"new york","chenango",36017
-75.6418838500977,42.2441787719727,1803,53147,"new york","chenango",36017
