FIPS,county_name,year,pincp
36001,Albany,2015,55120
36001,Albany,2016,55126
36001,Albany,2017,58814
36001,Albany,2018,59547
36001,Albany,2019,61876
36001,Albany,2020,66632
36003,Allegany,2015,32205
36003,Allegany,2016,32417
36003,Allegany,2017,34001
36003,Allegany,2018,34553
36003,Allegany,2019,37131
36003,Allegany,2020,40840
36005,Bronx,2015,31831
36005,Bronx,2016,32502
36005,Bronx,2017,34574
36005,Bronx,2018,35819
36005,Bronx,2019,38096
36005,Bronx,2020,43919
36007,Broome,2015,39538
36007,Broome,2016,40052
36007,Broome,2017,42341
36007,Broome,2018,43487
36007,Broome,2019,45174
36007,Broome,2020,49314
36009,Cattaraugus,2015,36578
36009,Cattaraugus,2016,36614
36009,Cattaraugus,2017,38818
36009,Cattaraugus,2018,39239
36009,Cattaraugus,2019,41122
36009,Cattaraugus,2020,45200
36011,Cayuga,2015,38663
36011,Cayuga,2016,39251
36011,Cayuga,2017,41212
36011,Cayuga,2018,42031
36011,Cayuga,2019,44415
36011,Cayuga,2020,48585
36013,Chautauqua,2015,36932
36013,Chautauqua,2016,37313
36013,Chautauqua,2017,39533
36013,Chautauqua,2018,39900
36013,Chautauqua,2019,41443
36013,Chautauqua,2020,45357
36015,Chemung,2015,39899
36015,Chemung,2016,40281
36015,Chemung,2017,42356
36015,Chemung,2018,43941
36015,Chemung,2019,45658
36015,Chemung,2020,49439
36017,Chenango,2015,37993
36017,Chenango,2016,38746
36017,Chenango,2017,40934
36017,Chenango,2018,41715
36017,Chenango,2019,43286
36017,Chenango,2020,47842
36019,Clinton,2015,40809
36019,Clinton,2016,41163
36019,Clinton,2017,42952
36019,Clinton,2018,43216
36019,Clinton,2019,44859
36019,Clinton,2020,48292
36021,Columbia,2015,50757
36021,Columbia,2016,52016
36021,Columbia,2017,54255
36021,Columbia,2018,55163
36021,Columbia,2019,57136
36021,Columbia,2020,60859
36023,Cortland,2015,37264
36023,Cortland,2016,37222
36023,Cortland,2017,39257
36023,Cortland,2018,40368
36023,Cortland,2019,41412
36023,Cortland,2020,45776
36025,Delaware,2015,35381
36025,Delaware,2016,35781
36025,Delaware,2017,38203
36025,Delaware,2018,39271
36025,Delaware,2019,42523
36025,Delaware,2020,45822
36027,Dutchess,2015,50252
36027,Dutchess,2016,51835
36027,Dutchess,2017,54183
36027,Dutchess,2018,55799
36027,Dutchess,2019,58417
36027,Dutchess,2020,62319
36029,Erie,2015,45850
36029,Erie,2016,46783
36029,Erie,2017,49153
36029,Erie,2018,50435
36029,Erie,2019,52264
36029,Erie,2020,56748
36031,Essex,2015,40535
36031,Essex,2016,42059
36031,Essex,2017,44348
36031,Essex,2018,45638
36031,Essex,2019,47329
36031,Essex,2020,50824
36033,Franklin,2015,34654
36033,Franklin,2016,34915
36033,Franklin,2017,37001
36033,Franklin,2018,37264
36033,Franklin,2019,39307
36033,Franklin,2020,42525
36035,Fulton,2015,38406
36035,Fulton,2016,39858
36035,Fulton,2017,41708
36035,Fulton,2018,42812
36035,Fulton,2019,44478
36035,Fulton,2020,48957
36037,Genesee,2015,40527
36037,Genesee,2016,40620
36037,Genesee,2017,42385
36037,Genesee,2018,43618
36037,Genesee,2019,45200
36037,Genesee,2020,49468
36039,Greene,2015,43913
36039,Greene,2016,44568
36039,Greene,2017,46504
36039,Greene,2018,47044
36039,Greene,2019,48947
36039,Greene,2020,52484
36041,Hamilton,2015,48521
36041,Hamilton,2016,51072
36041,Hamilton,2017,53213
36041,Hamilton,2018,54330
36041,Hamilton,2019,55730
36041,Hamilton,2020,60014
36043,Herkimer,2015,37499
36043,Herkimer,2016,37938
36043,Herkimer,2017,40037
36043,Herkimer,2018,40795
36043,Herkimer,2019,43347
36043,Herkimer,2020,47266
36045,Jefferson,2015,43304
36045,Jefferson,2016,43926
36045,Jefferson,2017,45368
36045,Jefferson,2018,46375
36045,Jefferson,2019,48896
36045,Jefferson,2020,53964
36047,Kings,2015,43156
36047,Kings,2016,45024
36047,Kings,2017,48822
36047,Kings,2018,51730
36047,Kings,2019,54349
36047,Kings,2020,59468
36049,Lewis,2015,41232
36049,Lewis,2016,41419
36049,Lewis,2017,43571
36049,Lewis,2018,44539
36049,Lewis,2019,47134
36049,Lewis,2020,51992
36051,Livingston,2015,37752
36051,Livingston,2016,39350
36051,Livingston,2017,44110
36051,Livingston,2018,45845
36051,Livingston,2019,46116
36051,Livingston,2020,49382
36053,Madison,2015,39700
36053,Madison,2016,40589
36053,Madison,2017,43071
36053,Madison,2018,43607
36053,Madison,2019,45453
36053,Madison,2020,49137
36055,Monroe,2015,48030
36055,Monroe,2016,48713
36055,Monroe,2017,50926
36055,Monroe,2018,52173
36055,Monroe,2019,54174
36055,Monroe,2020,58299
36057,Montgomery,2015,37598
36057,Montgomery,2016,38765
36057,Montgomery,2017,40678
36057,Montgomery,2018,40534
36057,Montgomery,2019,41995
36057,Montgomery,2020,46332
36059,Nassau,2015,79301
36059,Nassau,2016,81500
36059,Nassau,2017,85859
36059,Nassau,2018,89242
36059,Nassau,2019,92159
36059,Nassau,2020,96253
36061,New York,2015,152793
36061,New York,2016,163112
36061,New York,2017,179655
36061,New York,2018,184539
36061,New York,2019,187213
36061,New York,2020,191220
36063,Niagara,2015,40377
36063,Niagara,2016,41403
36063,Niagara,2017,43664
36063,Niagara,2018,44569
36063,Niagara,2019,47053
36063,Niagara,2020,51506
36065,Oneida,2015,39768
36065,Oneida,2016,40638
36065,Oneida,2017,42772
36065,Oneida,2018,43917
36065,Oneida,2019,46529
36065,Oneida,2020,50201
36067,Onondaga,2015,47323
36067,Onondaga,2016,48072
36067,Onondaga,2017,50610
36067,Onondaga,2018,52624
36067,Onondaga,2019,54379
36067,Onondaga,2020,58919
36069,Ontario,2015,49821
36069,Ontario,2016,49784
36069,Ontario,2017,52226
36069,Ontario,2018,53151
36069,Ontario,2019,55315
36069,Ontario,2020,59335
36071,Orange,2015,47272
36071,Orange,2016,47969
36071,Orange,2017,50074
36071,Orange,2018,51247
36071,Orange,2019,53287
36071,Orange,2020,57688
36073,Orleans,2015,35542
36073,Orleans,2016,35976
36073,Orleans,2017,37977
36073,Orleans,2018,38959
36073,Orleans,2019,39798
36073,Orleans,2020,44477
36075,Oswego,2015,36176
36075,Oswego,2016,36955
36075,Oswego,2017,39152
36075,Oswego,2018,40067
36075,Oswego,2019,42047
36075,Oswego,2020,46210
36077,Otsego,2015,39445
36077,Otsego,2016,40241
36077,Otsego,2017,42355
36077,Otsego,2018,43670
36077,Otsego,2019,45672
36077,Otsego,2020,49275
36079,Putnam,2015,59890
36079,Putnam,2016,61487
36079,Putnam,2017,63485
36079,Putnam,2018,66740
36079,Putnam,2019,69542
36079,Putnam,2020,73152
36081,Queens,2015,43080
36081,Queens,2016,44074
36081,Queens,2017,46907
36081,Queens,2018,49212
36081,Queens,2019,51530
36081,Queens,2020,57085
36083,Rensselaer,2015,44383
36083,Rensselaer,2016,45280
36083,Rensselaer,2017,47497
36083,Rensselaer,2018,48618
36083,Rensselaer,2019,50481
36083,Rensselaer,2020,54748
36085,Richmond,2015,50841
36085,Richmond,2016,51806
36085,Richmond,2017,54227
36085,Richmond,2018,55695
36085,Richmond,2019,57990
36085,Richmond,2020,62558
36087,Rockland,2015,55640
36087,Rockland,2016,56298
36087,Rockland,2017,58153
36087,Rockland,2018,60111
36087,Rockland,2019,62206
36087,Rockland,2020,66350
36089,St. Lawrence,2015,34219
36089,St. Lawrence,2016,34844
36089,St. Lawrence,2017,37166
36089,St. Lawrence,2018,37707
36089,St. Lawrence,2019,39373
36089,St. Lawrence,2020,43034
36091,Saratoga,2015,61407
36091,Saratoga,2016,63065
36091,Saratoga,2017,65490
36091,Saratoga,2018,70010
36091,Saratoga,2019,72219
36091,Saratoga,2020,77398
36093,Schenectady,2015,45627
36093,Schenectady,2016,46850
36093,Schenectady,2017,48523
36093,Schenectady,2018,48718
36093,Schenectady,2019,54310
36093,Schenectady,2020,58210
36095,Schoharie,2015,36405
36095,Schoharie,2016,37642
36095,Schoharie,2017,40003
36095,Schoharie,2018,41084
36095,Schoharie,2019,42648
36095,Schoharie,2020,46469
36097,Schuyler,2015,39213
36097,Schuyler,2016,39144
36097,Schuyler,2017,40804
36097,Schuyler,2018,41357
36097,Schuyler,2019,42703
36097,Schuyler,2020,46971
36099,Seneca,2015,34934
36099,Seneca,2016,35563
36099,Seneca,2017,37937
36099,Seneca,2018,38284
36099,Seneca,2019,40299
36099,Seneca,2020,44065
36101,Steuben,2015,40772
36101,Steuben,2016,41097
36101,Steuben,2017,43280
36101,Steuben,2018,44869
36101,Steuben,2019,46726
36101,Steuben,2020,50331
36103,Suffolk,2015,61203
36103,Suffolk,2016,63757
36103,Suffolk,2017,66429
36103,Suffolk,2018,69209
36103,Suffolk,2019,72180
36103,Suffolk,2020,76713
36105,Sullivan,2015,41629
36105,Sullivan,2016,42061
36105,Sullivan,2017,44399
36105,Sullivan,2018,45993
36105,Sullivan,2019,48550
36105,Sullivan,2020,52249
36107,Tioga,2015,41610
36107,Tioga,2016,42068
36107,Tioga,2017,44127
36107,Tioga,2018,44811
36107,Tioga,2019,46818
36107,Tioga,2020,50990
36109,Tompkins,2015,41010
36109,Tompkins,2016,41008
36109,Tompkins,2017,43311
36109,Tompkins,2018,44692
36109,Tompkins,2019,46052
36109,Tompkins,2020,49486
36111,Ulster,2015,44812
36111,Ulster,2016,46273
36111,Ulster,2017,48502
36111,Ulster,2018,50378
36111,Ulster,2019,52554
36111,Ulster,2020,56071
36113,Warren,2015,47106
36113,Warren,2016,48329
36113,Warren,2017,51055
36113,Warren,2018,52542
36113,Warren,2019,54650
36113,Warren,2020,59509
36115,Washington,2015,35997
36115,Washington,2016,36863
36115,Washington,2017,39281
36115,Washington,2018,40089
36115,Washington,2019,42122
36115,Washington,2020,46305
36117,Wayne,2015,41084
36117,Wayne,2016,42352
36117,Wayne,2017,44767
36117,Wayne,2018,45732
36117,Wayne,2019,48162
36117,Wayne,2020,51282
36119,Westchester,2015,93495
36119,Westchester,2016,96251
36119,Westchester,2017,102861
36119,Westchester,2018,107252
36119,Westchester,2019,112037
36119,Westchester,2020,115386
36121,Wyoming,2015,36389
36121,Wyoming,2016,37057
36121,Wyoming,2017,39312
36121,Wyoming,2018,39872
36121,Wyoming,2019,42682
36121,Wyoming,2020,47331
36123,Yates,2015,35411
36123,Yates,2016,36655
36123,Yates,2017,38682
36123,Yates,2018,39082
36123,Yates,2019,41632
36123,Yates,2020,45258
