fips,year,pincp
36001,1969,4272
36001,1970,4821
36001,1971,5304
36001,1972,5709
36001,1973,6154
36001,1974,6641
36001,1975,7184
36001,1976,7623
36001,1977,8200
36001,1978,8859
36001,1979,9649
36001,1980,10720
36001,1981,11769
36001,1982,12824
36001,1983,13885
36001,1984,15348
36001,1985,16455
36001,1986,17645
36001,1987,18643
36001,1988,20287
36001,1989,22399
36001,1990,23687
36001,1991,24029
36001,1992,25165
36001,1993,25663
36001,1994,26180
36001,1995,26999
36001,1996,27956
36001,1997,29505
36001,1998,31101
36001,1999,33361
36001,2000,35841
36001,2001,35673
36001,2002,35259
36001,2003,36353
36001,2004,37386
36001,2005,38186
36001,2006,39764
36001,2007,41260
36001,2008,43673
36001,2009,44279
36001,2010,46559
36001,2011,48417
36001,2012,50190
36001,2013,50809
36001,2014,53790
36001,2015,55793
36001,2016,55805
36001,2017,59640
36001,2018,60637
36001,2019,63037
36003,1969,2928
36003,1970,3208
36003,1971,3424
36003,1972,3511
36003,1973,3831
36003,1974,4211
36003,1975,4513
36003,1976,4808
36003,1977,5102
36003,1978,5546
36003,1979,6218
36003,1980,6985
36003,1981,7555
36003,1982,8187
36003,1983,8467
36003,1984,9191
36003,1985,9706
36003,1986,10304
36003,1987,11040
36003,1988,12077
36003,1989,12838
36003,1990,13610
36003,1991,14031
36003,1992,15011
36003,1993,15439
36003,1994,15612
36003,1995,16295
36003,1996,17251
36003,1997,17601
36003,1998,18398
36003,1999,19058
36003,2000,19910
36003,2001,20194
36003,2002,20647
36003,2003,21271
36003,2004,22355
36003,2005,23148
36003,2006,24015
36003,2007,25027
36003,2008,27537
36003,2009,27406
36003,2010,28206
36003,2011,28939
36003,2012,30005
36003,2013,29997
36003,2014,31457
36003,2015,32377
36003,2016,32497
36003,2017,34116
36003,2018,34784
36003,2019,36164
36005,1969,3632
36005,1970,3839
36005,1971,3999
36005,1972,4199
36005,1973,4497
36005,1974,4894
36005,1975,5373
36005,1976,5633
36005,1977,6069
36005,1978,6615
36005,1979,7224
36005,1980,8127
36005,1981,9062
36005,1982,9825
36005,1983,10387
36005,1984,11282
36005,1985,11815
36005,1986,12367
36005,1987,12741
36005,1988,13526
36005,1989,14480
36005,1990,15643
36005,1991,15801
36005,1992,16119
36005,1993,16341
36005,1994,16759
36005,1995,17223
36005,1996,17631
36005,1997,17953
36005,1998,18356
36005,1999,18978
36005,2000,20121
36005,2001,21664
36005,2002,22020
36005,2003,22745
36005,2004,24111
36005,2005,24546
36005,2006,26288
36005,2007,28263
36005,2008,28284
36005,2009,28825
36005,2010,29901
36005,2011,30546
36005,2012,30537
36005,2013,30827
36005,2014,31833
36005,2015,33162
36005,2016,33794
36005,2017,36140
36005,2018,37459
36005,2019,39711
36007,1969,3895
36007,1970,4153
36007,1971,4412
36007,1972,4700
36007,1973,5061
36007,1974,5517
36007,1975,5991
36007,1976,6393
36007,1977,7000
36007,1978,7705
36007,1979,8440
36007,1980,9457
36007,1981,10542
36007,1982,11602
36007,1983,12430
36007,1984,13847
36007,1985,14527
36007,1986,15203
36007,1987,16102
36007,1988,17030
36007,1989,18281
36007,1990,19027
36007,1991,19536
36007,1992,20194
36007,1993,20162
36007,1994,20460
36007,1995,21242
36007,1996,22139
36007,1997,23156
36007,1998,23720
36007,1999,24702
36007,2000,26308
36007,2001,26584
36007,2002,27071
36007,2003,27213
36007,2004,28207
36007,2005,28541
36007,2006,30238
36007,2007,32184
36007,2008,34042
36007,2009,34588
36007,2010,35558
36007,2011,36651
36007,2012,37786
36007,2013,37802
36007,2014,38282
36007,2015,39980
36007,2016,40696
36007,2017,43055
36007,2018,44332
36007,2019,46361
36009,1969,3139
36009,1970,3318
36009,1971,3473
36009,1972,3630
36009,1973,4108
36009,1974,4556
36009,1975,4920
36009,1976,5245
36009,1977,5653
36009,1978,6140
36009,1979,6949
36009,1980,7636
36009,1981,8305
36009,1982,8936
36009,1983,9390
36009,1984,10366
36009,1985,10958
36009,1986,11595
36009,1987,12353
36009,1988,13174
36009,1989,14154
36009,1990,14930
36009,1991,15250
36009,1992,16235
36009,1993,16386
36009,1994,16928
36009,1995,17707
36009,1996,18537
36009,1997,19432
36009,1998,20103
36009,1999,21152
36009,2000,22019
36009,2001,23089
36009,2002,23884
36009,2003,24963
36009,2004,26387
36009,2005,26827
36009,2006,28030
36009,2007,29230
36009,2008,31074
36009,2009,31820
36009,2010,33224
36009,2011,33307
36009,2012,34342
36009,2013,34511
36009,2014,35539
36009,2015,36900
36009,2016,36897
36009,2017,39168
36009,2018,39796
36009,2019,41774
36011,1969,3372
36011,1970,3568
36011,1971,3793
36011,1972,4036
36011,1973,4474
36011,1974,4898
36011,1975,5269
36011,1976,5536
36011,1977,5917
36011,1978,6391
36011,1979,7162
36011,1980,8065
36011,1981,8966
36011,1982,9593
36011,1983,10087
36011,1984,11223
36011,1985,11838
36011,1986,12604
36011,1987,13270
36011,1988,14020
36011,1989,15179
36011,1990,16155
36011,1991,16365
36011,1992,17276
36011,1993,17844
36011,1994,18543
36011,1995,19224
36011,1996,20388
36011,1997,21051
36011,1998,21387
36011,1999,22564
36011,2000,23560
36011,2001,24215
36011,2002,24912
36011,2003,26156
36011,2004,26897
36011,2005,27039
36011,2006,27787
36011,2007,29964
36011,2008,31206
36011,2009,31223
36011,2010,32613
36011,2011,34560
36011,2012,36061
36011,2013,36688
36011,2014,37808
36011,2015,38573
36011,2016,39315
36011,2017,41286
36011,2018,42209
36011,2019,44520
36013,1969,3495
36013,1970,3709
36013,1971,3907
36013,1972,4113
36013,1973,4505
36013,1974,4979
36013,1975,5352
36013,1976,5741
36013,1977,6160
36013,1978,6817
36013,1979,7622
36013,1980,8533
36013,1981,9406
36013,1982,10108
36013,1983,10646
36013,1984,11798
36013,1985,12219
36013,1986,12729
36013,1987,13247
36013,1988,14088
36013,1989,15046
36013,1990,15732
36013,1991,16269
36013,1992,17244
36013,1993,17648
36013,1994,18209
36013,1995,18586
