FIPS,county_name,year,pincp,pop_18_24,pop_25_over
36001,Albany,2015,55120,44478,204024
36001,Albany,2016,55126,45357,204003
36001,Albany,2017,58814,45589,204833
36001,Albany,2018,59547,45521,204509
36001,Albany,2019,61876,45150,204918
36001,Albany,2020,66632,44608,205082
36003,Allegany,2015,32205,7461,30568
36003,Allegany,2016,32417,7493,30449
36003,Allegany,2017,34001,7377,30331
36003,Allegany,2018,34553,7284,30155
36003,Allegany,2019,37131,7209,30038
36003,Allegany,2020,40840,7182,29906
36005,Bronx,2015,31831,165551,895181
36005,Bronx,2016,32502,164203,905151
36005,Bronx,2017,34574,161311,927374
36005,Bronx,2018,35819,152655,924137
36005,Bronx,2019,38096,147118,929546
36005,Bronx,2020,43919,142191,930184
36007,Broome,2015,39538,27733,131269
36007,Broome,2016,40052,27999,130537
36007,Broome,2017,42341,27828,129802
36007,Broome,2018,43487,27491,128950
36007,Broome,2019,45174,27496,128064
36007,Broome,2020,49314,27307,127556
36009,Cattaraugus,2015,36578,7483,53408
36009,Cattaraugus,2016,36614,7395,53233
36009,Cattaraugus,2017,38818,7307,53201
36009,Cattaraugus,2018,39239,7216,53030
36009,Cattaraugus,2019,41122,7088,52849
36009,Cattaraugus,2020,45200,6966,52725
36011,Cayuga,2015,38663,7209,55593
36011,Cayuga,2016,39251,7240,55396
36011,Cayuga,2017,41212,6976,55476
36011,Cayuga,2018,42031,6715,55526
36011,Cayuga,2019,44415,6595,55436
36011,Cayuga,2020,48585,6202,55612
36013,Chautauqua,2015,36932,14424,90321
36013,Chautauqua,2016,37313,13959,90235
36013,Chautauqua,2017,39533,13450,90242
36013,Chautauqua,2018,39900,13050,89858
36013,Chautauqua,2019,41443,12659,89517
36013,Chautauqua,2020,45357,12201,89393
36015,Chemung,2015,39899,8155,60733
36015,Chemung,2016,40281,8142,60379
36015,Chemung,2017,42356,7813,60124
36015,Chemung,2018,43941,7159,59921
36015,Chemung,2019,45658,6964,59604
36015,Chemung,2020,49439,6813,59312
36017,Chenango,2015,37993,4003,34918
36017,Chenango,2016,38746,4030,34728
36017,Chenango,2017,40934,3883,34561
36017,Chenango,2018,41715,3749,34458
36017,Chenango,2019,43286,3614,34344
36017,Chenango,2020,47842,3540,34132
36019,Clinton,2015,40809,11432,55148
36019,Clinton,2016,41163,11378,55217
