fips,geoname,pincp1969,pincp1970,pincp1971,pincp1972,pincp1973,pincp1974,pincp1975,pincp1976,pincp1977,pincp1978,pincp1979,pincp1980,pincp1981,pincp1982,pincp1983,pincp1984,pincp1985,pincp1986,pincp1987,pincp1988,pincp1989,pincp1990,pincp1991,pincp1992,pincp1993,pincp1994,pincp1995,pincp1996,pincp1997,pincp1998,pincp1999,pincp2000,pincp2001,pincp2002,pincp2003,pincp2004,pincp2005,pincp2006,pincp2007,pincp2008,pincp2009,pincp2010,pincp2011,pincp2012,pincp2013,pincp2014,pincp2015,pincp2016,pincp2017,pincp2018,pincp2019
36000,New York,4619,4920,5234,5603,6022,6533,7066,7510,8158,8949,9831,11001,12277,13327,14286,15749,16815,17915,19064,20827,22461,23990,23868,25061,25581,26259,27576,28936,30443,32022,33673,36028,37194,37008,37459,39185,40905,44179,47520,48328,47277,48973,51496,53986,54501,56758,59243,61401,65814,68657,71717
36001,"Albany, NY",4272,4821,5304,5709,6154,6641,7184,7623,8200,8859,9649,10720,11769,12824,13885,15348,16455,17645,18643,20287,22399,23687,24029,25165,25663,26180,26999,27956,29505,31101,33361,35841,35673,35259,36353,37386,38186,39764,41260,43673,44279,46559,48417,50190,50809,53790,55793,55805,59640,60637,63037
36003,"Allegany, NY",2928,3208,3424,3511,3831,4211,4513,4808,5102,5546,6218,6985,7555,8187,8467,9191,9706,10304,11040,12077,12838,13610,14031,15011,15439,15612,16295,17251,17601,18398,19058,19910,20194,20647,21271,22355,23148,24015,25027,27537,27406,28206,28939,30005,29997,31457,32377,32497,34116,34784,36164
36005,"Bronx, NY",3632,3839,3999,4199,4497,4894,5373,5633,6069,6615,7224,8127,9062,9825,10387,11282,11815,12367,12741,13526,14480,15643,15801,16119,16341,16759,17223,17631,17953,18356,18978,20121,21664,22020,22745,24111,24546,26288,28263,28284,28825,29901,30546,30537,30827,31833,33162,33794,36140,37459,39711
36007,"Broome, NY",3895,4153,4412,4700,5061,5517,5991,6393,7000,7705,8440,9457,10542,11602,12430,13847,14527,15203,16102,17030,18281,19027,19536,20194,20162,20460,21242,22139,23156,23720,24702,26308,26584,27071,27213,28207,28541,30238,32184,34042,34588,35558,36651,37786,37802,38282,39980,40696,43055,44332,46361
36009,"Cattaraugus, NY",3139,3318,3473,3630,4108,4556,4920,5245,5653,6140,6949,7636,8305,8936,9390,10366,10958,11595,12353,13174,14154,14930,15250,16235,16386,16928,17707,18537,19432,20103,21152,22019,23089,23884,24963,26387,26827,28030,29230,31074,31820,33224,33307,34342,34511,35539,36900,36897,39168,39796,41774
36011,"Cayuga, NY",3372,3568,3793,4036,4474,4898,5269,5536,5917,6391,7162,8065,8966,9593,10087,11223,11838,12604,13270,14020,15179,16155,16365,17276,17844,18543,19224,20388,21051,21387,22564,23560,24215,24912,26156,26897,27039,27787,29964,31206,31223,32613,34560,36061,36688,37808,38573,39315,41286,42209,44520
36013,"Chautauqua, NY",3495,3709,3907,4113,4505,4979,5352,5741,6160,6817,7622,8533,9406,10108,10646,11798,12219,12729,13247,14088,15046,15732,16269,17244,17648,18209,18586,19108,19761,20654,21257,22137,22436,22566,23385,24772,25464,26593,27972,29936,30084,31459,33019,34152,34808,36107,37437,37905,40199,40472,42355
36015,"Chemung, NY",3661,3911,4135,4433,4915,5344,5707,6190,6681,7235,7793,8892,9850,10393,11046,12120,12574,13388,14154,14977,16219,16919,17532,18203,18553,19342,20178,21060,21946,22795,23841,25304,25559,25451,26053,27038,28438,29967,31321,33629,33611,35207,36843,37574,38155,39518,40253,40709,42869,44510,46421
36017,"Chenango, NY",3368,3486,3660,3910,4405,4724,5394,5432,5800,6413,7218,8074,8810,9565,10112,11138,11896,12783,13237,14099,15241,15766,16086,17267,17508,17760,18138,18658,19254,20156,21431,22398,23023,23137,23785,25337,25885,26514,27656,29238,29805,31242,32835,34632,35629,36638,37949,38703,41015,42019,44146
36019,"Clinton, NY",2959,3402,3699,3816,4259,4647,5039,5291,5586,6239,6970,7660,8567,9221,10007,11145,11925,12709,13541,14185,15242,16239,16603,17409,17825,18212,19026,19731,20550,21821,22943,24277,25339,25839,26758,27839,28359,29450,31413,32750,33787,35275,35614,36850,37529,38467,40826,41046,43136,43437,45112
36021,"Columbia, NY",3533,3838,4134,4397,4918,5381,5940,6373,6832,7614,8686,9738,10542,11263,11820,13141,14003,14893,15803,16857,18261,18576,18846,20037,20759,21197,22266,23271,24405,26125,27561,29749,30335,30076,30980,33436,34185,36682,37720,40182,40184,41884,43677,45767,46498,48848,50631,51780,54184,55630,58123
36023,"Cortland, NY",3237,3428,3754,3996,4373,4699,5070,5435,5671,6239,6789,7389,8067,8779,9451,10486,10971,11838,12739,13750,15063,15308,15950,16925,17269,17686,18379,18999,19919,20551,21432,23406,22981,23350,24146,25224,25726,26587,27973,29582,30453,31558,32560,34020,34326,35084,37466,37624,39735,40833,42252
36025,"Delaware, NY",3090,3223,3445,3677,3956,4197,4550,4784,5049,5670,6197,7092,7905,8657,9140,10300,10738,11707,12186,12856,14242,14548,15107,16036,16248,16724,17163,18253,19265,20361,21624,22774,22409,22722,23581,24805,25430,26222,27165,28782,29287,30090,31076,32327,33352,34594,35231,35643,38216,39586,42220
36027,"Dutchess, NY",4057,4379,4641,5039,5508,6075,6636,7077,7661,8481,9455,10529,11917,13350,14361,16055,17247,18359,19034,20092,21884,23054,23409,23751,23846,23931,25190,26308,27993,28828,30228,32320,33726,33322,33984,35255,36673,38844,41033,42247,41342,42082,43761,45812,46092,47551,49965,51642,54113,55911,58478
36029,"Erie, NY",4008,4231,4530,4823,5299,5787,6272,6812,7482,8177,9048,10024,11037,11719,12404,13696,14564,15459,16190,17335,18511,19686,19987,20918,21301,22094,23119,23887,24929,25953,27132,28751,28891,29459,30468,31831,32408,34217,36128,37829,38244,39626,41242,42804,43179,44433,46479,47458,50032,51406,53498
36031,"Essex, NY",3039,3360,3669,3775,4095,4539,5055,5327,5677,6341,7002,7766,8680,9343,9889,11066,11696,12468,13294,14386,15720,16200,16500,17540,17687,18169,18844,19262,19994,20998,22104,23337,24464,24807,25570,26875,27438,28676,30135,32687,33171,34284,35300,37438,38300,39487,40348,41723,44447,45917,48181
36033,"Franklin, NY",2650,2885,3127,3316,3692,4099,4554,4848,5245,5639,6270,7104,7647,8457,9103,9831,10458,11169,11700,12351,13534,14264,14679,15577,15880,16391,16787,17539,17951,18681,19050,20586,21251,21800,22675,23869,24482,25838,27205,29240,29954,31151,31845,32587,33196,33582,34545,34669,37065,37390,39649
36035,"Fulton, NY",3428,3661,3835,4019,4318,4707,5190,5550,6152,6607,7319,8380,9421,10224,10934,11501,12055,12782,13500,14004,15460,15923,16516,17626,18143,18773,19389,20522,21419,22501,23489,25076,25038,25429,26691,27788,28011,29044,30181,31649,32372,33564,34399,35069,35815,36905,38843,40075,42094,43430,45459
36037,"Genesee, NY",3771,4054,4281,4520,5120,5646,5948,6332,6874,7523,8341,9280,10253,10852,11094,12363,13052,13763,14796,15781,16936,17920,18238,19033,19436,20080,20827,21186,22119,23253,24326,25237,25720,26009,27215,28009,28953,30065,31738,33489,33551,34775,36018,36990,37901,39303,40744,40964,42887,44080,46181
36039,"Greene, NY",3488,3790,4141,4299,4663,5000,5390,5719,6140,6894,7578,8664,9525,10190,10933,12029,12673,13686,14669,15345,16361,16868,17144,17859,18083,18804,19337,20383,21676,22349,23271,24878,26068,26106,27582,28274,28452,29311,30138,32025,32820,34976,36823,38663,39961,41751,43491,44102,46101,46982,49100
36041,"Hamilton, NY",2865,3247,3729,4048,4115,4406,4967,5466,5802,6201,6596,7851,8915,10094,10480,11691,12210,13431,14100,15119,16417,16740,17629,18881,20319,19673,20715,21151,22660,23066,23930,24570,26258,27088,28103,29262,30806,32056,33921,37194,39012,39548,40597,41425,42119,46726,47082,49069,52259,53781,55578
