FIPS,year,county_name,pincp,c02_055,c02_056,c02_057,c02_058,c04_055,c04_056,c04_057,c04_058,c06_055,c06_056,c06_057,c06_058,c01_001,c01_002,c01_003,c01_004,c01_005,c01_006,c01_007,c01_008,c01_009,c01_010,c01_011,c01_012,c01_013,c01_014,c01_015,c01_016,c01_017,c01_018,c01_019,c01_020,c01_021,c01_022,c01_023,c01_024,c01_025,c01_026,c01_027,c01_028,c01_029,c01_030,c01_031,c01_032,c01_033,c01_034,c01_035,c01_036,c01_037,c01_038,c01_039,c01_040,c01_041,c01_042,c01_043,c01_044,c01_045,c01_046,c01_047,c01_048,c01_049,c01_050,c01_051,c01_052,c01_053,c01_054,c03_001,c03_002,c03_003,c03_004,c03_005,c03_006,c03_007,c03_008,c03_009,c03_010,c03_011,c03_012,c03_013,c03_014,c03_015,c03_016,c03_017,c03_018,c03_019,c03_020,c03_021,c03_022,c03_023,c03_024,c03_025,c03_026,c03_027,c03_028,c03_029,c03_030,c03_031,c03_032,c03_033,c03_034,c03_035,c03_036,c03_037,c03_038,c03_039,c03_040,c03_041,c03_042,c03_043,c03_044,c03_045,c03_046,c03_047,c03_048,c03_049,c03_050,c03_051,c03_052,c03_053,c03_054,c05_001,c05_002,c05_003,c05_004,c05_005,c05_006,c05_007,c05_008,c05_009,c05_010,c05_011,c05_012,c05_013,c05_014,c05_015,c05_016,c05_017,c05_018,c05_019,c05_020,c05_021,c05_022,c05_023,c05_024,c05_025,c05_026,c05_027,c05_028,c05_029,c05_030,c05_031,c05_032,c05_033,c05_034,c05_035,c05_036,c05_037,c05_038,c05_039,c05_040,c05_041,c05_042,c05_043,c05_044,c05_045,c05_046,c05_047,c05_048,c05_049,c05_050,c05_051,c05_052,c05_053,c05_054
36001,2015,Albany,55793,30.9,13.9,8.199999999999999,4.6,30.3,13.2,6.3,4.2,31.4,14.5,9.9,5,44478,3195,10485,23049,7749,204024,4979,9778,54012,33904,22667,41084,37600,,,39963,38299,19570,35118,32997,14438,83278,77812,30698,45665,40159,13978,166485,156861,66878,161497,152580,64946,21968,19015,3768,333,251,23,10089,8788,6356,87,87,6,2060,1656,434,3002,2609,1219,8052,6767,2596,21960,1912,5678,11338,3032,96713,2407,4792,24534,16656,10123,21153,17048,,,19941,19075,9292,17289,16228,6550,40378,37328,15222,19105,16883,7137,79367,74555,32606,76844,72403,31717,10087,8559,1572,124,,0,4748,4211,3225,21,21,0,889,795,176,1477,1305,622,3817,3288,1209,22518,1283,4807,11711,4717,107311,2572,4986,29478,17248,12544,19931,20552,(X),(X),20022,19224,10278,17829,16769,7888,42900,40484,15476,26560,23276,6841,87118,82306,34272,84653,80177,33229,11881,10456,2196,209,183,23,5341,4577,3131,66,66,6,1171,861,258,1525,1304,597,4235,3479,1387
36001,2016,Albany,55805,28,14.4,8.300000000000001,4.1,28.2,13.9,6.7,3.5,27.8,14.8,9.800000000000001,4.5,45357,2868,10506,23686,8297,204003,4916,9965,52410,32656,23009,42048,38999,,,39900,38238,19845,34873,32863,15260,82389,76775,30869,46841,41246,15073,165619,156195,69172,160360,151696,67232,22161,19119,3632,317,223,19,10716,9300,6623,72,72,5,2088,1561,403,3030,2652,1193,8278,6836,2584,22410,1746,5687,11838,3139,96727,2242,4735,24409,16074,10285,21106,17876,,,19925,18958,9261,17121,16174,7013,39950,37063,15090,19731,17555,7618,79005,74504,33204,76330,72213,32360,10106,8651,1594,109,,0,5079,4488,3342,18,18,0,868,691,152,1542,1360,690,3921,3322,1147,22947,1122,4819,11848,5158,107276,2674,5230,28001,16582,12724,20942,21123,(X),(X),19975,19280,10584,17752,16689,8247,42439,39712,15779,27110,23691,7455,86614,81691,35968,84030,79483,34872,12055,10468,2038,208,185,19,5637,4812,3281,54,54,5,1220,870,251,1488,1292,503,4357,3514,1437
36001,2017,Albany,59640,28,14,8.1,3.7,26.5,13.7,7,3.4,29.4,14.3,9.1,4.1,45589,2932,10996,22975,8686,204833,5104,10151,50589,32704,23228,43162,39895,,,40246,38565,20259,34876,32812,16059,81576,75694,31029,48135,42507,15710,165177,155927,70289,159610,151318,68400,22142,18785,3759,333,254,30,11549,10038,7206,98,98,5,2229,1609,476,3305,2867,1292,8603,6864,2580,22494,1740,5909,11368,3477,97245,2374,4890,23591,16052,10217,21895,18226,,,20144,19222,9496,17128,16137,7445,39606,36577,15230,20367,18045,7950,78814,74315,33897,75985,71955,32979,10178,8547,1704,121,,0,5516,4913,3638,25,25,0,883,649,176,1708,1475,706,4093,3316,1216,23095,1192,5087,11607,5209,107588,2730,5261,26998,16652,13011,21267,21669,(X),(X),20102,19343,10763,17748,16675,8614,41970,39117,15799,27768,24462,7760,86363,81612,36392,83625,79363,35421,11964,10238,2055,212,197,30,6033,5125,3568,73,73,5,1346,960,300,1597,1392,586,4510,3548,1364
36001,2018,Albany,60637,26.4,12.8,8.5,3.8,23.6,12.9,7,3.4,29.1,12.7,9.800000000000001,4.2,45521,3186,11880,21174,9281,204509,5083,9947,49310,33017,22729,43077,41346,189479,84423,40071,38346,19967,34776,32659,16492,80246,74645,31444,49416,43829,16520,164020,155138,70909,158579,150646,69093,22278,18682,4127,340,229,39,11708,10220,7668,92,92,0,2419,1912,574,3652,3206,1106,8906,7309,2636,22424,1806,6234,10646,3738,97216,2426,4867,22999,16040,10054,21861,18969,,,20092,19138,9447,17101,16058,7571,39006,36002,15316,21017,18725,8496,78326,73878,34043,75570,71587,33204,10135,8452,2046,146,,0,5607,4999,3877,31,31,0,981,754,206,1990,1751,658,4266,3494,1233,23097,1380,5646,10528,5543,107293,2657,5080,26311,16977,12675,21216,22377,(X),(X),19979,19208,10520,17675,16601,8921,41240,38643,16128,28399,25104,8024,85694,81260,36866,83009,79059,35889,12143,10230,2081,194,171,39,6101,5221,3791,61,61,0,1438,1158,368,1662,1455,448,4640,3815,1403
36001,2019,Albany,63037,27.1,11.9,7.6,4.1,23.6,12,6,3.3,30.7,11.9,8.9,4.9,45150,3012,12787,19767,9584,204918,5303,10803,47042,31977,24091,43895,41807,188812,85702,40297,37948,19750,34918,32796,16920,79012,72902,31341,50691,45166,17691,163660,154734,71999,157695,149763,70120,22252,18313,4255,299,187,28,12059,10234,7582,94,94,0,2217,1606,524,4337,3644,1314,9261,7522,2668,22198,1688,6485,10183,3842,97391,2580,5506,22090,15546,10565,22150,18954,89305,41104,20198,18903,8960,17151,15984,7670,38419,35087,15218,21623,19331,9256,78102,73491,34638,75167,71076,33783,10169,8229,1912,131,,0,5767,4962,3657,42,42,0,887,613,162,2293,1931,735,4417,3503,1188,22952,1324,6302,9584,5742,107527,2723,5297,24952,16431,13526,21745,22853,,,20099,19045,10790,17767,16812,9250,40593,37815,16123,29068,25835,8435,85558,81243,37361,82528,78687,36337,12083,10084,2343,168,150,28,6292,5272,3925,52,52,0,1330,993,362,2044,1713,579,4844,4019,1480
36003,2015,Allegany,32377,26.5,14.9,10.4,3.9,23,12.9,8.6,2.8,31.3,17,12.1,4.8,7461,540,1594,4899,428,30568,1035,2455,11837,5147,3976,3006,3112,,,4930,4327,1154,4874,4476,1021,12894,11600,2455,7870,6675,1488,29881,26526,5862,29721,26371,5810,101,58,18,98,94,7,273,226,192,0,0,0,77,65,8,138,109,31,245,221,68,4032,341,1006,2470,215,15066,645,1387,5991,2401,1908,1338,1396,,,2471,2090,473,2439,2180,366,6464,5700,1140,3692,3064,755,14718,12768,2631,14677,12728,2621,58,37,1,74,,0,135,110,102,0,0,0,31,21,0,50,28,0,66,55,10,3429,199,588,2429,213,15502,390,1068,5846,2746,2068,1668,1716,(X),(X),2459,2237,681,2435,2296,655,6430,5900,1315,4178,3611,733,15163,13758,3231,15044,13643,3189,43,21,17,24,24,7,138,116,90,0,0,0,46,44,8,88,81,31,179,166,58
36003,2016,Allegany,32497,25.9,14.4,11.2,4,23.2,11.3,9.300000000000001,3.5,29.5,17.9,12.8,4.4,7493,526,1545,5043,379,30449,1067,2268,11508,5477,3893,3085,3151,,,4875,4316,1170,4809,4405,1095,12755,11507,2417,8010,6886,1554,29719,26513,5925,29574,26372,5884,104,62,27,69,69,8,334,288,243,0,0,0,53,37,7,170,145,26,199,174,51,4032,301,968,2592,171,15062,620,1292,5937,2609,1813,1422,1369,,,2502,2134,505,2417,2165,405,6370,5657,1109,3773,3194,772,14651,12811,2629,14614,12776,2625,58,40,8,54,,0,185,165,154,0,0,0,32,18,0,82,62,0,61,45,4,3461,225,577,2451,208,15387,447,976,5571,2868,2080,1663,1782,(X),(X),2373,2182,665,2392,2240,690,6385,5850,1308,4237,3692,782,15068,13702,3296,14960,13596,3259,46,22,19,15,15,8,149,123,89,0,0,0,21,19,7,88,83,26,138,129,47
36003,2017,Allegany,34116,25.8,13.9,11.4,4.1,23.9,11.1,10.2,4,28.3,17.1,12.3,4.2,7377,512,1438,5107,320,30331,1082,2137,11464,5687,3958,3012,2991,,,4801,4271,1043,4720,4364,1148,12581,11328,2226,8229,7149,1586,29571,26519,5712,29491,26443,5690,116,69,31,71,71,6,365,277,211,0,0,0,50,36,20,158,140,23,123,105,44,4000,263,919,2665,153,15009,663,1185,5997,2679,1762,1413,1310,,,2437,2075,396,2389,2164,497,6284,5571,1030,3899,3351,800,14591,12835,2565,14566,12812,2563,58,37,16,41,,0,179,133,111,0,0,0,36,29,18,104,86,13,54,45,20,3377,249,519,2442,167,15322,419,952,5467,3008,2196,1599,1681,(X),(X),2364,2196,647,2331,2200,651,6297,5757,1196,4330,3798,786,14980,13684,3147,14925,13631,3127,58,32,15,30,30,6,186,144,100,0,0,0,14,7,2,54,54,10,69,60,24
36003,2018,Allegany,34784,26.9,14.3,12,4.9,24,11.2,9.9,5,30.5,17.8,13.8,4.9,7284,585,1370,5005,324,30155,968,2055,11052,5852,4126,3030,3072,27132,6102,4761,4255,1056,4648,4342,1177,12302,11160,2173,8444,7375,1696,29427,26520,5824,29352,26448,5802,150,83,13,78,78,0,304,291,221,0,0,0,59,43,24,137,117,20,122,103,47,3904,314,845,2588,157,14911,554,1124,5796,2829,1907,1390,1311,,,2414,2110,393,2342,2160,472,6143,5503,998,4012,3460,838,14536,12913,2545,14505,12883,2541,75,52,7,41,,0,140,136,120,0,0,0,45,37,24,74,54,5,67,58,28,3380,271,525,2417,167,15244,414,931,5256,3023,2219,1640,1761,(X),(X),2347,2145,663,2306,2182,705,6159,5657,1175,4432,3915,858,14891,13607,3279,14847,13565,3261,75,31,6,37,37,0,164,155,101,0,0,0,14,6,0,63,63,15,55,45,19
36003,2019,Allegany,36164,28.9,14.9,11.5,5.1,24.8,11.6,9.1,5,33.9,18.6,13.6,5.2,7209,518,1537,4838,316,30038,939,1831,11012,5802,4186,3189,3079,27268,6268,4731,4344,1211,4587,4222,1120,12124,11175,2144,8596,7527,1793,29306,26623,5972,29216,26539,5955,152,115,18,59,59,0,355,335,232,0,0,0,43,27,24,123,109,22,140,117,43,3902,261,995,2497,149,14874,535,1016,5813,2796,1908,1448,1358,13323,2806,2394,2155,463,2290,2085,437,6094,5532,1016,4096,3551,890,14493,12995,2633,14451,12955,2625,92,77,12,23,,0,165,150,132,0,0,0,36,24,23,65,54,6,78,66,31,3307,257,542,2341,167,15164,404,815,5199,3006,2278,1741,1721,,,2337,2189,748,2297,2137,683,6030,5643,1128,4500,3976,903,14813,13628,3339,14765,13584,3330,60,38,6,36,36,0,190,185,100,0,0,0,7,3,1,58,55,16,62,51,12
36005,2015,Bronx,33162,40.2,25.5,19.7,10.4,32.3,20.1,15.2,9.300000000000001,46.5,30.5,23.2,11.2,165551,40047,43773,70508,11223,895181,134663,128441,244763,156301,61591,110355,59067,,,216168,169310,49360,184597,137451,38114,336421,237685,60802,157995,87631,21146,212363,156627,52230,108860,91281,38234,303573,238137,62281,4800,3222,642,35642,26870,12889,369,307,36,311654,187538,35816,26780,19376,5528,462073,285214,57869,83888,22578,24690,32620,4000,400937,59397,59831,118460,71125,24290,45221,22613,,,102783,78582,18657,84805,61836,14615,152646,107077,25656,60703,34214,8906,98229,73013,23345,51817,43722,18089,132105,102558,22650,2324,,329,16738,13148,6422,160,143,31,139851,82989,13089,11530,8300,1968,205973,125623,20881,81663,17469,19083,37888,7223,494244,75266,68610,126303,85176,37301,65134,36454,(X),(X),113385,90728,30703,99792,75615,23499,183775,130608,35146,97292,53417,12240,114134,83614,28885,57043,47559,20145,171468,135579,39631,2476,1664,313,18904,13722,6467,209,164,5,171803,104549,22727,15250,11076,3560,256100,159591,36988
