fips,year,unempl_rate
36001,2012,7.1999998
36001,2013,6.1999998
36001,2014,4.9000001
36001,2015,4.4000001
36001,2016,4.0999999
36001,2017,4.1999998
36001,2018,3.7
36001,2019,3.5
36001,2020,7.1999998
36003,2012,8.5
36003,2013,7.6999998
36003,2014,6.3000002
36003,2015,6.5
36003,2016,6.4000001
36003,2017,6.5999999
36003,2018,5.5999999
36003,2019,5.3000002
36003,2020,8.1000004
36005,2012,12.5
36005,2013,11.7
36005,2014,9.5
36005,2015,7.5999999
36005,2016,7.0999999
36005,2017,6.1999998
36005,2018,5.5999999
36005,2019,5.3000002
36005,2020,16
36007,2012,8.8000002
36007,2013,8
36007,2014,6.6999998
36007,2015,6
36007,2016,5.5
36007,2017,5.5
36007,2018,4.9000001
36007,2019,4.5
36007,2020,8.6999998
36009,2012,9.5
36009,2013,8.6999998
36009,2014,7.0999999
36009,2015,6.3000002
36009,2016,6.0999999
36009,2017,6.1999998
36009,2018,5.3000002
36009,2019,4.8000002
36009,2020,9.3999996
36011,2012,8.3999996
36011,2013,7.5999999
36011,2014,6
36011,2015,5.4000001
36011,2016,5.0999999
36011,2017,5
36011,2018,4.5
36011,2019,4.0999999
36011,2020,7.9000001
36013,2012,8.6000004
36013,2013,8.1999998
36013,2014,6.9000001
36013,2015,6.0999999
36013,2016,5.9000001
36013,2017,6
36013,2018,5
36013,2019,4.5
36013,2020,8.8999996
36015,2012,8.5
36015,2013,8.1000004
36015,2014,6.3000002
36015,2015,5.9000001
36015,2016,5.8000002
36015,2017,5.5
36015,2018,4.5999999
36015,2019,4
36015,2020,8.8000002
36017,2012,8.8000002
36017,2013,7.5
36017,2014,6.3000002
36017,2015,5.5
36017,2016,5.0999999
36017,2017,5.3000002
36017,2018,4.6999998
36017,2019,4.3000002
36017,2020,6.9000001
36019,2012,9.5
36019,2013,8.5
36019,2014,6.6999998
36019,2015,5.9000001
36019,2016,5.5
36019,2017,5.1999998
36019,2018,4.4000001
36019,2019,4.1999998
36019,2020,8
36021,2012,7.1999998
36021,2013,6.1999998
36021,2014,4.8000002
36021,2015,4
36021,2016,3.7
36021,2017,3.8
36021,2018,3.3
36021,2019,3.0999999
36021,2020,6.1999998
36023,2012,8.8000002
36023,2013,7.9000001
36023,2014,6.5999999
36023,2015,5.9000001
36023,2016,5.8000002
36023,2017,5.8000002
36023,2018,5.0999999
36023,2019,4.6999998
36023,2020,7.9000001
36025,2012,8.8999996
36025,2013,8.1000004
36025,2014,6.5999999
36025,2015,6
36025,2016,5.5999999
36025,2017,5.5
36025,2018,4.8000002
36025,2019,4.5
36025,2020,7.1999998
36027,2012,7.9000001
36027,2013,6.8000002
36027,2014,5.4000001
36027,2015,4.5
36027,2016,4.1999998
36027,2017,4.3000002
36027,2018,3.7
36027,2019,3.5
36027,2020,7.6999998
36029,2012,8.3999996
36029,2013,7.5999999
36029,2014,6.1999998
36029,2015,5.4000001
36029,2016,5
36029,2017,5.0999999
36029,2018,4.4000001
36029,2019,4.0999999
36029,2020,9.5
36031,2012,9.6999998
36031,2013,8.5
36031,2014,6.9000001
36031,2015,6.0999999
36031,2016,5.4000001
36031,2017,5.5
36031,2018,4.8000002
36031,2019,4.5
36031,2020,8.1000004
36033,2012,9.6999998
36033,2013,9.1000004
36033,2014,7.3000002
36033,2015,6.5999999
36033,2016,5.8000002
36033,2017,6
36033,2018,5.0999999
36033,2019,4.6999998
36033,2020,8.1999998
36035,2012,11.2
