QoB,YoB,logW,Educ,Q4,YoBQ
1,30,5.889133363,12.280405,FALSE,30
1,31,5.902136132,12.54043444,FALSE,31
1,32,5.899809243,12.53393117,FALSE,32
1,33,5.89194606,12.67319007,FALSE,33
1,34,5.895157121,12.64726291,FALSE,34
1,35,5.879843227,12.65090682,FALSE,35
1,36,5.884937522,12.74304199,FALSE,36
1,37,5.893044611,12.8322951,FALSE,37
1,38,5.894380271,12.93867708,FALSE,38
1,39,5.88634301,13.00298851,FALSE,39
2,30,5.898006549,12.42841829,FALSE,30.25
2,31,5.900507583,12.53104532,FALSE,31.25
2,32,5.900542697,12.60959876,FALSE,32.25
2,33,5.90049193,12.63470681,FALSE,33.25
2,34,5.892411399,12.72796733,FALSE,34.25
2,35,5.8866425,12.79692577,FALSE,35.25
2,36,5.886672318,12.81107615,FALSE,36.25
2,37,5.888091998,12.84404791,FALSE,37.25
2,38,5.904968823,13.00766329,FALSE,38.25
2,39,5.90243935,13.01339858,FALSE,39.25
3,30,5.909365253,12.49185967,FALSE,30.5
3,31,5.911184367,12.68671679,FALSE,31.5
3,32,5.910271495,12.66045001,FALSE,32.5
3,33,5.91150267,12.7539518,FALSE,33.5
3,34,5.906088664,12.70804815,FALSE,34.5
3,35,5.908398227,12.86135123,FALSE,35.5
3,36,5.911827865,12.88623383,FALSE,36.5
3,37,5.906132755,12.96217212,FALSE,37.5
3,38,5.905870859,12.98655426,FALSE,38.5
3,39,5.887899138,12.98925953,FALSE,39.5
4,30,5.914354457,12.62467549,TRUE,30.75
4,31,5.910587446,12.61211956,TRUE,31.75
4,32,5.89055329,12.72711156,TRUE,32.75
4,33,5.902947148,12.69226743,TRUE,33.75
4,34,5.907582091,12.79786839,TRUE,34.75
4,35,5.896256432,12.81963928,TRUE,35.75
4,36,5.909518318,12.92801508,TRUE,36.75
4,37,5.903191723,12.97098161,TRUE,37.75
4,38,5.910036972,13.03013161,TRUE,38.75
4,39,5.905519966,13.11652902,TRUE,39.75
