day,month,year,bib6,bib8
1,July,1929,141,169
2,July,1929,141,169
3,July,1929,141,169
4,July,1929,141,169
5,July,1929,141,169
6,July,1929,141,169
7,July,1929,141,169
8,July,1929,141,169
9,July,1929,141,169
10,July,1929,141,169
11,July,1929,141,169
12,July,1929,141,169
13,July,1929,141,169
14,July,1929,141,169
15,July,1929,141,169
16,July,1929,141,169
17,July,1929,141,169
18,July,1929,141,169
19,July,1929,141,169
20,July,1929,141,169
21,July,1929,141,169
22,July,1929,141,169
23,July,1929,141,169
24,July,1929,141,169
25,July,1929,141,169
26,July,1929,141,169
27,July,1929,141,169
28,July,1929,141,169
29,July,1929,141,169
30,July,1929,141,169
31,July,1929,141,169
1,August,1929,141,169
2,August,1929,141,169
3,August,1929,141,169
4,August,1929,141,169
5,August,1929,141,169
6,August,1929,141,169
7,August,1929,141,169
8,August,1929,141,169
9,August,1929,141,169
10,August,1929,141,169
11,August,1929,141,169
12,August,1929,141,169
13,August,1929,141,169
14,August,1929,141,169
15,August,1929,141,169
16,August,1929,141,169
17,August,1929,141,169
18,August,1929,141,169
19,August,1929,141,169
20,August,1929,141,169
21,August,1929,141,169
22,August,1929,141,169
23,August,1929,141,169
24,August,1929,141,169
25,August,1929,141,169
26,August,1929,141,169
27,August,1929,141,169
28,August,1929,141,169
29,August,1929,141,169
30,August,1929,141,169
31,August,1929,141,169
1,September,1929,141,169
2,September,1929,141,169
3,September,1929,141,169
4,September,1929,141,169
5,September,1929,141,169
6,September,1929,141,169
7,September,1929,141,169
8,September,1929,141,169
9,September,1929,141,169
10,September,1929,141,169
11,September,1929,141,169
12,September,1929,141,169
13,September,1929,141,169
14,September,1929,141,169
15,September,1929,141,169
16,September,1929,141,169
17,September,1929,141,169
18,September,1929,141,169
19,September,1929,141,170
20,September,1929,141,170
21,September,1929,141,170
22,September,1929,141,170
23,September,1929,141,170
24,September,1929,141,170
25,September,1929,141,170
26,September,1929,141,170
27,September,1929,141,170
28,September,1929,141,170
29,September,1929,141,170
30,September,1929,141,170
1,October,1929,141,170
2,October,1929,141,170
3,October,1929,141,170
4,October,1929,141,170
5,October,1929,141,170
6,October,1929,141,170
7,October,1929,141,170
8,October,1929,141,170
9,October,1929,141,170
10,October,1929,141,170
11,October,1929,141,170
12,October,1929,141,170
13,October,1929,141,170
14,October,1929,141,170
15,October,1929,141,170
16,October,1929,141,170
17,October,1929,141,170
18,October,1929,141,170
19,October,1929,141,170
20,October,1929,141,170
21,October,1929,141,170
22,October,1929,141,170
23,October,1929,141,170
24,October,1929,141,170
25,October,1929,141,170
26,October,1929,141,170
27,October,1929,141,170
28,October,1929,141,170
29,October,1929,141,170
30,October,1929,141,170
31,October,1929,141,170
1,November,1929,141,170
2,November,1929,141,170
3,November,1929,141,170
4,November,1929,141,170
5,November,1929,141,170
6,November,1929,141,170
7,November,1929,141,170
8,November,1929,141,170
9,November,1929,141,170
10,November,1929,141,170
11,November,1929,141,170
12,November,1929,141,170
13,November,1929,141,170
14,November,1929,141,170
15,November,1929,141,170
16,November,1929,141,170
17,November,1929,141,170
18,November,1929,141,170
19,November,1929,141,170
20,November,1929,141,170
21,November,1929,141,170
22,November,1929,141,170
23,November,1929,141,170
24,November,1929,141,170
25,November,1929,141,170
26,November,1929,141,170
27,November,1929,141,170
28,November,1929,141,170
29,November,1929,141,170
30,November,1929,141,170
1,December,1929,141,170
2,December,1929,141,170
3,December,1929,141,170
4,December,1929,141,170
5,December,1929,141,170
6,December,1929,141,170
7,December,1929,141,170
8,December,1929,141,170
9,December,1929,141,170
10,December,1929,141,170
11,December,1929,141,170
12,December,1929,141,170
13,December,1929,141,170
14,December,1929,141,170
15,December,1929,141,170
16,December,1929,141,170
17,December,1929,141,170
18,December,1929,141,170
19,December,1929,141,170
20,December,1929,141,170
21,December,1929,141,170
22,December,1929,141,170
23,December,1929,141,170
24,December,1929,141,170
25,December,1929,141,170
26,December,1929,141,170
27,December,1929,141,170
28,December,1929,141,170
29,December,1929,141,170
30,December,1929,141,170
31,December,1929,141,169
1,January,1930,141,169
2,January,1930,141,169
3,January,1930,141,169
4,January,1930,141,169
5,January,1930,141,169
6,January,1930,141,169
7,January,1930,141,169
8,January,1930,141,169
9,January,1930,141,169
10,January,1930,141,169
11,January,1930,141,169
12,January,1930,141,169
13,January,1930,141,169
14,January,1930,141,169
15,January,1930,141,169
16,January,1930,141,169
17,January,1930,141,169
18,January,1930,141,169
19,January,1930,141,169
20,January,1930,141,169
21,January,1930,141,169
22,January,1930,141,169
23,January,1930,141,169
24,January,1930,141,169
25,January,1930,141,169
26,January,1930,141,169
27,January,1930,141,169
28,January,1930,141,169
29,January,1930,141,169
30,January,1930,141,169
31,January,1930,141,169
1,February,1930,141,169
2,February,1930,141,169
3,February,1930,141,168
4,February,1930,141,168
5,February,1930,141,168
6,February,1930,141,168
7,February,1930,141,168
8,February,1930,141,168
9,February,1930,141,168
10,February,1930,141,168
11,February,1930,141,168
12,February,1930,141,168
13,February,1930,141,168
14,February,1930,141,168
15,February,1930,141,168
16,February,1930,141,168
17,February,1930,141,168
18,February,1930,141,167
19,February,1930,141,167
20,February,1930,141,167
21,February,1930,141,167
22,February,1930,141,167
23,February,1930,141,166
24,February,1930,141,166
25,February,1930,141,166
26,February,1930,141,166
27,February,1930,141,166
28,February,1930,141,166
1,March,1930,141,166
2,March,1930,141,166
3,March,1930,141,166
4,March,1930,141,166
5,March,1930,141,166
6,March,1930,141,166
7,March,1930,141,166
8,March,1930,141,166
9,March,1930,141,166
10,March,1930,141,166
11,March,1930,142,166
12,March,1930,142,166
13,March,1930,142,166
14,March,1930,142,166
15,March,1930,141,166
16,March,1930,141,166
17,March,1930,141,166
18,March,1930,141,166
19,March,1930,141,166
20,March,1930,141,166
21,March,1930,141,166
22,March,1930,141,166
23,March,1930,141,166
24,March,1930,141,166
25,March,1930,141,166
26,March,1930,141,166
27,March,1930,141,166
28,March,1930,141,166
29,March,1930,141,166
30,March,1930,141,166
31,March,1930,141,166
1,April,1930,141,166
2,April,1930,141,166
3,April,1930,141,166
4,April,1930,140,166
5,April,1930,139,166
6,April,1930,139,166
7,April,1930,139,166
8,April,1930,139,166
9,April,1930,139,166
10,April,1930,139,166
11,April,1930,139,166
12,April,1930,139,166
13,April,1930,139,166
14,April,1930,139,166
15,April,1930,139,166
16,April,1930,139,166
17,April,1930,139,166
18,April,1930,139,166
19,April,1930,139,166
20,April,1930,139,165
21,April,1930,139,165
22,April,1930,139,165
23,April,1930,139,165
24,April,1930,139,165
25,April,1930,139,165
26,April,1930,139,165
27,April,1930,139,165
28,April,1930,139,165
29,April,1930,139,165
30,April,1930,139,165
1,May,1930,139,165
2,May,1930,139,165
3,May,1930,139,165
4,May,1930,139,165
5,May,1930,139,165
6,May,1930,139,166
7,May,1930,139,166
8,May,1930,139,166
9,May,1930,139,166
10,May,1930,139,166
11,May,1930,139,166
12,May,1930,139,166
13,May,1930,139,165
14,May,1930,139,165
15,May,1930,139,165
16,May,1930,138,165
17,May,1930,137,165
18,May,1930,137,165
19,May,1930,137,165
20,May,1930,137,165
21,May,1930,137,165
22,May,1930,137,165
23,May,1930,136,165
24,May,1930,136,165
25,May,1930,136,165
26,May,1930,136,165
27,May,1930,136,165
28,May,1930,136,165
29,May,1930,136,165
30,May,1930,136,165
31,May,1930,136,165
1,June,1930,136,165
2,June,1930,136,165
3,June,1930,136,165
4,June,1930,136,165
5,June,1930,136,165
6,June,1930,136,165
7,June,1930,136,165
8,June,1930,136,165
9,June,1930,136,165
10,June,1930,136,165
11,June,1930,136,165
12,June,1930,136,165
13,June,1930,136,165
14,June,1930,136,165
15,June,1930,136,165
16,June,1930,136,165
17,June,1930,136,165
18,June,1930,136,165
19,June,1930,136,165
20,June,1930,135,165
21,June,1930,135,165
22,June,1930,135,165
23,June,1930,135,165
24,June,1930,135,165
25,June,1930,135,165
26,June,1930,135,165
27,June,1930,135,165
28,June,1930,135,165
29,June,1930,135,165
30,June,1930,135,165
1,July,1930,135,165
2,July,1930,135,165
3,July,1930,135,165
4,July,1930,135,165
5,July,1930,135,165
6,July,1930,135,165
7,July,1930,135,165
8,July,1930,135,165
9,July,1930,135,165
10,July,1930,135,165
11,July,1930,135,165
12,July,1930,135,165
13,July,1930,135,165
14,July,1930,135,165
15,July,1930,135,165
16,July,1930,135,165
17,July,1930,135,165
18,July,1930,135,165
19,July,1930,135,165
20,July,1930,135,165
21,July,1930,135,165
22,July,1930,135,165
23,July,1930,135,165
24,July,1930,135,165
25,July,1930,135,165
26,July,1930,135,165
27,July,1930,135,165
28,July,1930,135,165
29,July,1930,135,165
30,July,1930,135,165
