"holiday","temp","hum","windspeed","year","month","date","cnt","over_load","seasons","weather_cond","wkday","bizday","hour","mnth"
0,-1.33460918694128,0.947345243330896,-1.5538438052971,2011,1,1,16,FALSE,"spring","Clear or Few Cloudy","saturday","weekend or holiday","0-3 hr","Jan"
0,-1.43847500990342,0.895512927978679,-1.5538438052971,2011,1,1,40,FALSE,"spring","Clear or Few Cloudy","saturday","weekend or holiday","0-3 hr","Jan"
0,-1.43847500990342,0.895512927978679,-1.5538438052971,2011,1,1,32,FALSE,"spring","Clear or Few Cloudy","saturday","weekend or holiday","0-3 hr","Jan"
0,-1.33460918694128,0.636351351217591,-1.5538438052971,2011,1,1,13,FALSE,"spring","Clear or Few Cloudy","saturday","weekend or holiday","0-3 hr","Jan"
0,-1.33460918694128,0.636351351217591,-1.5538438052971,2011,1,1,1,FALSE,"spring","Clear or Few Cloudy","saturday","weekend or holiday","4-7 hr","Jan"
0,-1.33460918694128,0.636351351217591,-0.821460017517193,2011,1,1,1,FALSE,"spring","Mist or Cloudy","saturday","weekend or holiday","4-7 hr","Jan"
0,-1.43847500990342,0.895512927978679,-1.5538438052971,2011,1,1,2,FALSE,"spring","Clear or Few Cloudy","saturday","weekend or holiday","4-7 hr","Jan"
0,-1.54234083286556,1.20650682009198,-1.5538438052971,2011,1,1,3,FALSE,"spring","Clear or Few Cloudy","saturday","weekend or holiday","4-7 hr","Jan"
0,-1.33460918694128,0.636351351217591,-1.5538438052971,2011,1,1,8,FALSE,"spring","Clear or Few Cloudy","saturday","weekend or holiday","8-11 hr","Jan"
0,-0.919145895092722,0.688183666569809,-1.5538438052971,2011,1,1,14,FALSE,"spring","Clear or Few Cloudy","saturday","weekend or holiday","8-11 hr","Jan"
0,-0.607548426206302,0.688183666569809,0.519881272378821,2011,1,1,36,FALSE,"spring","Clear or Few Cloudy","saturday","weekend or holiday","8-11 hr","Jan"
0,-0.711414249168442,0.947345243330896,0.764281665845554,2011,1,1,56,FALSE,"spring","Clear or Few Cloudy","saturday","weekend or holiday","8-11 hr","Jan"
0,-0.399816780282022,0.740015981922026,0.764281665845554,2011,1,1,84,FALSE,"spring","Clear or Few Cloudy","saturday","weekend or holiday","12-15 hr","Jan"
0,-0.192085134357741,0.480854405160939,0.886073166268775,2011,1,1,94,FALSE,"spring","Mist or Cloudy","saturday","weekend or holiday","12-15 hr","Jan"
0,-0.192085134357741,0.480854405160939,0.764281665845554,2011,1,1,106,FALSE,"spring","Mist or Cloudy","saturday","weekend or holiday","12-15 hr","Jan"
0,-0.295950957319881,0.740015981922026,0.886073166268775,2011,1,1,110,FALSE,"spring","Mist or Cloudy","saturday","weekend or holiday","12-15 hr","Jan"
0,-0.399816780282022,0.999177558683113,0.886073166268775,2011,1,1,93,FALSE,"spring","Mist or Cloudy","saturday","weekend or holiday","16-19 hr","Jan"
0,-0.295950957319881,0.999177558683113,0.764281665845554,2011,1,1,67,FALSE,"spring","Mist or Cloudy","saturday","weekend or holiday","16-19 hr","Jan"
0,-0.399816780282022,1.31017145079642,0.519881272378821,2011,1,1,35,FALSE,"spring","Light Snow or Light Rain","saturday","weekend or holiday","16-19 hr","Jan"
0,-0.399816780282022,1.31017145079642,0.519881272378821,2011,1,1,37,FALSE,"spring","Light Snow or Light Rain","saturday","weekend or holiday","16-19 hr","Jan"
0,-0.503682603244161,1.2583391354442,0.519881272378821,2011,1,1,36,FALSE,"spring","Mist or Cloudy","saturday","weekend or holiday","20-23 hr","Jan"
0,-0.503682603244161,1.2583391354442,0.0318978780656464,2011,1,1,34,FALSE,"spring","Mist or Cloudy","saturday","weekend or holiday","20-23 hr","Jan"
0,-0.503682603244161,1.62116534290972,0.276298271532379,2011,1,1,28,FALSE,"spring","Mist or Cloudy","saturday","weekend or holiday","20-23 hr","Jan"
0,-0.192085134357741,1.31017145079642,0.886073166268775,2011,1,1,39,FALSE,"spring","Mist or Cloudy","saturday","weekend or holiday","20-23 hr","Jan"
0,-0.192085134357741,1.31017145079642,0.886073166268775,2011,1,2,17,FALSE,"spring","Mist or Cloudy","sunday","weekend or holiday","0-3 hr","Jan"
0,-0.295950957319881,1.62116534290972,0.519881272378821,2011,1,2,17,FALSE,"spring","Mist or Cloudy","sunday","weekend or holiday","0-3 hr","Jan"
0,-0.399816780282022,1.93215923502303,0.764281665845554,2011,1,2,9,FALSE,"spring","Mist or Cloudy","sunday","weekend or holiday","0-3 hr","Jan"
0,-0.192085134357741,1.62116534290972,0.0318978780656464,2011,1,2,6,FALSE,"spring","Mist or Cloudy","sunday","weekend or holiday","0-3 hr","Jan"
0,-0.192085134357741,1.62116534290972,0.0318978780656464,2011,1,2,3,FALSE,"spring","Mist or Cloudy","sunday","weekend or holiday","4-7 hr","Jan"
0,-0.399816780282022,0.740015981922026,0.886073166268775,2011,1,2,2,FALSE,"spring","Light Snow or Light Rain","sunday","weekend or holiday","4-7 hr","Jan"
0,-0.503682603244161,0.688183666569809,0.0318978780656464,2011,1,2,1,FALSE,"spring","Mist or Cloudy","sunday","weekend or holiday","4-7 hr","Jan"
0,-0.503682603244161,0.429022089808721,0.276298271532379,2011,1,2,8,FALSE,"spring","Light Snow or Light Rain","sunday","weekend or holiday","8-11 hr","Jan"
0,-0.607548426206302,0.688183666569809,0.276298271532379,2011,1,2,20,FALSE,"spring","Mist or Cloudy","sunday","weekend or holiday","8-11 hr","Jan"
0,-0.711414249168442,0.947345243330896,0.276298271532379,2011,1,2,53,FALSE,"spring","Mist or Cloudy","sunday","weekend or holiday","8-11 hr","Jan"
0,-0.711414249168442,0.429022089808721,0.519881272378821,2011,1,2,70,FALSE,"spring","Mist or Cloudy","sunday","weekend or holiday","8-11 hr","Jan"
0,-0.711414249168442,0.169860513047634,0.886073166268775,2011,1,2,93,FALSE,"spring","Mist or Cloudy","sunday","weekend or holiday","12-15 hr","Jan"
0,-0.711414249168442,0.169860513047634,-0.456085516247529,2011,1,2,75,FALSE,"spring","Mist or Cloudy","sunday","weekend or holiday","12-15 hr","Jan"
0,-0.711414249168442,0.688183666569809,0.0318978780656464,2011,1,2,59,FALSE,"spring","Light Snow or Light Rain","sunday","weekend or holiday","12-15 hr","Jan"
0,-0.815280072130582,0.947345243330896,-0.211685122780796,2011,1,2,74,FALSE,"spring","Light Snow or Light Rain","sunday","weekend or holiday","12-15 hr","Jan"
0,-0.815280072130582,0.429022089808721,-0.211685122780796,2011,1,2,76,FALSE,"spring","Light Snow or Light Rain","sunday","weekend or holiday","16-19 hr","Jan"
0,-0.815280072130582,-0.296630325122323,0.0318978780656464,2011,1,2,65,FALSE,"spring","Clear or Few Cloudy","sunday","weekend or holiday","16-19 hr","Jan"
0,-0.711414249168442,-0.866785793996715,1.13047355973551,2011,1,2,53,FALSE,"spring","Mist or Cloudy","sunday","weekend or holiday","16-19 hr","Jan"
0,-0.919145895092722,-1.07411505540558,2.10644034836186,2011,1,2,30,FALSE,"spring","Clear or Few Cloudy","sunday","weekend or holiday","16-19 hr","Jan"
0,-1.02301171805486,-1.22961200146224,1.37405656058195,2011,1,2,22,FALSE,"spring","Clear or Few Cloudy","sunday","weekend or holiday","20-23 hr","Jan"
0,-1.23074336397914,-0.97045042470115,1.13047355973551,2011,1,2,31,FALSE,"spring","Clear or Few Cloudy","sunday","weekend or holiday","20-23 hr","Jan"
0,-1.33460918694128,-0.97045042470115,0.886073166268775,2011,1,2,9,FALSE,"spring","Clear or Few Cloudy","sunday","weekend or holiday","20-23 hr","Jan"
0,-1.43847500990342,-0.814953478644498,-0.211685122780796,2011,1,2,8,FALSE,"spring","Clear or Few Cloudy","sunday","weekend or holiday","20-23 hr","Jan"
0,-1.43847500990342,-0.97045042470115,1.37405656058195,2011,1,3,5,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","0-3 hr","Jan"
0,-1.54234083286556,-0.97045042470115,1.86203995489513,2011,1,3,2,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","0-3 hr","Jan"
0,-1.75007247878984,-0.814953478644498,1.61845695404868,2011,1,3,1,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","4-7 hr","Jan"
0,-1.75007247878984,-0.814953478644498,0.764281665845554,2011,1,3,3,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","4-7 hr","Jan"
0,-1.85393830175198,-0.659456532587845,1.61845695404868,2011,1,3,30,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","4-7 hr","Jan"
0,-1.85393830175198,-0.659456532587845,0.0318978780656464,2011,1,3,64,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","4-7 hr","Jan"
0,-1.85393830175198,-0.659456532587845,0.764281665845554,2011,1,3,154,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","8-11 hr","Jan"
0,-1.75007247878984,-1.02228274005337,1.61845695404868,2011,1,3,88,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","8-11 hr","Jan"
0,-1.6462066558277,-1.02228274005337,0.519881272378821,2011,1,3,44,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","8-11 hr","Jan"
0,-1.54234083286556,-1.17777968611002,1.13047355973551,2011,1,3,51,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","8-11 hr","Jan"
0,-1.43847500990342,-1.43694126287111,0.886073166268775,2011,1,3,61,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","12-15 hr","Jan"
0,-1.33460918694128,-1.43694126287111,0.764281665845554,2011,1,3,61,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","12-15 hr","Jan"
0,-1.23074336397914,-1.69610283963219,0.764281665845554,2011,1,3,77,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","12-15 hr","Jan"
0,-1.23074336397914,-1.69610283963219,0.519881272378821,2011,1,3,72,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","12-15 hr","Jan"
0,-1.23074336397914,-1.69610283963219,0.519881272378821,2011,1,3,76,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","16-19 hr","Jan"
0,-1.33460918694128,-1.69610283963219,0.276298271532379,2011,1,3,157,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","16-19 hr","Jan"
0,-1.33460918694128,-1.59243820892776,-0.699668517093971,2011,1,3,157,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","16-19 hr","Jan"
0,-1.54234083286556,-0.814953478644498,-1.5538438052971,2011,1,3,110,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","16-19 hr","Jan"
0,-1.54234083286556,-0.814953478644498,-0.699668517093971,2011,1,3,52,FALSE,"spring","Clear or Few Cloudy","monday-thursday","neither weekend nor holiday","20-23 hr","Jan"
