"cnt","year","month","date","hr","wkday","holiday","seasons","weather_cond","temp","hum","windspeed"
16,"2011","01","01",0,"saturday",0,"spring","Clear or Few Cloudy",-1.33460918694128,0.947345243330896,-1.5538438052971
40,"2011","01","01",1,"saturday",0,"spring","Clear or Few Cloudy",-1.43847500990342,0.895512927978679,-1.5538438052971
32,"2011","01","01",2,"saturday",0,"spring","Clear or Few Cloudy",-1.43847500990342,0.895512927978679,-1.5538438052971
13,"2011","01","01",3,"saturday",0,"spring","Clear or Few Cloudy",-1.33460918694128,0.636351351217591,-1.5538438052971
1,"2011","01","01",4,"saturday",0,"spring","Clear or Few Cloudy",-1.33460918694128,0.636351351217591,-1.5538438052971
1,"2011","01","01",5,"saturday",0,"spring","Mist or Cloudy",-1.33460918694128,0.636351351217591,-0.821460017517193
2,"2011","01","01",6,"saturday",0,"spring","Clear or Few Cloudy",-1.43847500990342,0.895512927978679,-1.5538438052971
3,"2011","01","01",7,"saturday",0,"spring","Clear or Few Cloudy",-1.54234083286556,1.20650682009198,-1.5538438052971
8,"2011","01","01",8,"saturday",0,"spring","Clear or Few Cloudy",-1.33460918694128,0.636351351217591,-1.5538438052971
14,"2011","01","01",9,"saturday",0,"spring","Clear or Few Cloudy",-0.919145895092722,0.688183666569809,-1.5538438052971
36,"2011","01","01",10,"saturday",0,"spring","Clear or Few Cloudy",-0.607548426206302,0.688183666569809,0.519881272378821
56,"2011","01","01",11,"saturday",0,"spring","Clear or Few Cloudy",-0.711414249168442,0.947345243330896,0.764281665845554
84,"2011","01","01",12,"saturday",0,"spring","Clear or Few Cloudy",-0.399816780282022,0.740015981922026,0.764281665845554
94,"2011","01","01",13,"saturday",0,"spring","Mist or Cloudy",-0.192085134357741,0.480854405160939,0.886073166268775
106,"2011","01","01",14,"saturday",0,"spring","Mist or Cloudy",-0.192085134357741,0.480854405160939,0.764281665845554
110,"2011","01","01",15,"saturday",0,"spring","Mist or Cloudy",-0.295950957319881,0.740015981922026,0.886073166268775
93,"2011","01","01",16,"saturday",0,"spring","Mist or Cloudy",-0.399816780282022,0.999177558683113,0.886073166268775
67,"2011","01","01",17,"saturday",0,"spring","Mist or Cloudy",-0.295950957319881,0.999177558683113,0.764281665845554
35,"2011","01","01",18,"saturday",0,"spring","Light Snow or Light Rain",-0.399816780282022,1.31017145079642,0.519881272378821
37,"2011","01","01",19,"saturday",0,"spring","Light Snow or Light Rain",-0.399816780282022,1.31017145079642,0.519881272378821
36,"2011","01","01",20,"saturday",0,"spring","Mist or Cloudy",-0.503682603244161,1.2583391354442,0.519881272378821
34,"2011","01","01",21,"saturday",0,"spring","Mist or Cloudy",-0.503682603244161,1.2583391354442,0.0318978780656464
28,"2011","01","01",22,"saturday",0,"spring","Mist or Cloudy",-0.503682603244161,1.62116534290972,0.276298271532379
39,"2011","01","01",23,"saturday",0,"spring","Mist or Cloudy",-0.192085134357741,1.31017145079642,0.886073166268775
17,"2011","01","02",0,"sunday",0,"spring","Mist or Cloudy",-0.192085134357741,1.31017145079642,0.886073166268775
17,"2011","01","02",1,"sunday",0,"spring","Mist or Cloudy",-0.295950957319881,1.62116534290972,0.519881272378821
9,"2011","01","02",2,"sunday",0,"spring","Mist or Cloudy",-0.399816780282022,1.93215923502303,0.764281665845554
6,"2011","01","02",3,"sunday",0,"spring","Mist or Cloudy",-0.192085134357741,1.62116534290972,0.0318978780656464
3,"2011","01","02",4,"sunday",0,"spring","Mist or Cloudy",-0.192085134357741,1.62116534290972,0.0318978780656464
2,"2011","01","02",6,"sunday",0,"spring","Light Snow or Light Rain",-0.399816780282022,0.740015981922026,0.886073166268775
1,"2011","01","02",7,"sunday",0,"spring","Mist or Cloudy",-0.503682603244161,0.688183666569809,0.0318978780656464
8,"2011","01","02",8,"sunday",0,"spring","Light Snow or Light Rain",-0.503682603244161,0.429022089808721,0.276298271532379
20,"2011","01","02",9,"sunday",0,"spring","Mist or Cloudy",-0.607548426206302,0.688183666569809,0.276298271532379
53,"2011","01","02",10,"sunday",0,"spring","Mist or Cloudy",-0.711414249168442,0.947345243330896,0.276298271532379
70,"2011","01","02",11,"sunday",0,"spring","Mist or Cloudy",-0.711414249168442,0.429022089808721,0.519881272378821
93,"2011","01","02",12,"sunday",0,"spring","Mist or Cloudy",-0.711414249168442,0.169860513047634,0.886073166268775
75,"2011","01","02",13,"sunday",0,"spring","Mist or Cloudy",-0.711414249168442,0.169860513047634,-0.456085516247529
59,"2011","01","02",14,"sunday",0,"spring","Light Snow or Light Rain",-0.711414249168442,0.688183666569809,0.0318978780656464
74,"2011","01","02",15,"sunday",0,"spring","Light Snow or Light Rain",-0.815280072130582,0.947345243330896,-0.211685122780796
76,"2011","01","02",16,"sunday",0,"spring","Light Snow or Light Rain",-0.815280072130582,0.429022089808721,-0.211685122780796
65,"2011","01","02",17,"sunday",0,"spring","Clear or Few Cloudy",-0.815280072130582,-0.296630325122323,0.0318978780656464
53,"2011","01","02",18,"sunday",0,"spring","Mist or Cloudy",-0.711414249168442,-0.866785793996715,1.13047355973551
30,"2011","01","02",19,"sunday",0,"spring","Clear or Few Cloudy",-0.919145895092722,-1.07411505540558,2.10644034836186
22,"2011","01","02",20,"sunday",0,"spring","Clear or Few Cloudy",-1.02301171805486,-1.22961200146224,1.37405656058195
31,"2011","01","02",21,"sunday",0,"spring","Clear or Few Cloudy",-1.23074336397914,-0.97045042470115,1.13047355973551
9,"2011","01","02",22,"sunday",0,"spring","Clear or Few Cloudy",-1.33460918694128,-0.97045042470115,0.886073166268775
8,"2011","01","02",23,"sunday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-0.814953478644498,-0.211685122780796
5,"2011","01","03",0,"monday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-0.97045042470115,1.37405656058195
2,"2011","01","03",1,"monday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-0.97045042470115,1.86203995489513
1,"2011","01","03",4,"monday",0,"spring","Clear or Few Cloudy",-1.75007247878984,-0.814953478644498,1.61845695404868
3,"2011","01","03",5,"monday",0,"spring","Clear or Few Cloudy",-1.75007247878984,-0.814953478644498,0.764281665845554
30,"2011","01","03",6,"monday",0,"spring","Clear or Few Cloudy",-1.85393830175198,-0.659456532587845,1.61845695404868
64,"2011","01","03",7,"monday",0,"spring","Clear or Few Cloudy",-1.85393830175198,-0.659456532587845,0.0318978780656464
154,"2011","01","03",8,"monday",0,"spring","Clear or Few Cloudy",-1.85393830175198,-0.659456532587845,0.764281665845554
88,"2011","01","03",9,"monday",0,"spring","Clear or Few Cloudy",-1.75007247878984,-1.02228274005337,1.61845695404868
44,"2011","01","03",10,"monday",0,"spring","Clear or Few Cloudy",-1.6462066558277,-1.02228274005337,0.519881272378821
51,"2011","01","03",11,"monday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-1.17777968611002,1.13047355973551
61,"2011","01","03",12,"monday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-1.43694126287111,0.886073166268775
61,"2011","01","03",13,"monday",0,"spring","Clear or Few Cloudy",-1.33460918694128,-1.43694126287111,0.764281665845554
77,"2011","01","03",14,"monday",0,"spring","Clear or Few Cloudy",-1.23074336397914,-1.69610283963219,0.764281665845554
72,"2011","01","03",15,"monday",0,"spring","Clear or Few Cloudy",-1.23074336397914,-1.69610283963219,0.519881272378821
76,"2011","01","03",16,"monday",0,"spring","Clear or Few Cloudy",-1.23074336397914,-1.69610283963219,0.519881272378821
157,"2011","01","03",17,"monday",0,"spring","Clear or Few Cloudy",-1.33460918694128,-1.69610283963219,0.276298271532379
157,"2011","01","03",18,"monday",0,"spring","Clear or Few Cloudy",-1.33460918694128,-1.59243820892776,-0.699668517093971
110,"2011","01","03",19,"monday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-0.814953478644498,-1.5538438052971
52,"2011","01","03",20,"monday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-0.814953478644498,-0.699668517093971
52,"2011","01","03",21,"monday",0,"spring","Clear or Few Cloudy",-1.6462066558277,0.0661958823431994,-0.456085516247529
20,"2011","01","03",22,"monday",0,"spring","Clear or Few Cloudy",-1.85393830175198,0.325357459104286,-0.456085516247529
12,"2011","01","03",23,"monday",0,"spring","Clear or Few Cloudy",-1.6462066558277,-0.400294955826758,-0.699668517093971
5,"2011","01","04",0,"tuesday",0,"spring","Clear or Few Cloudy",-1.75007247878984,-0.400294955826758,-0.699668517093971
2,"2011","01","04",1,"tuesday",0,"spring","Clear or Few Cloudy",-1.75007247878984,-0.192965694417888,-0.699668517093971
1,"2011","01","04",2,"tuesday",0,"spring","Clear or Few Cloudy",-1.85393830175198,0.0143635669909819,-0.456085516247529
2,"2011","01","04",4,"tuesday",0,"spring","Clear or Few Cloudy",-1.85393830175198,0.0143635669909819,-0.821460017517193
4,"2011","01","04",5,"tuesday",0,"spring","Clear or Few Cloudy",-1.95780412471412,0.273525143752069,-0.699668517093971
36,"2011","01","04",6,"tuesday",0,"spring","Clear or Few Cloudy",-1.95780412471412,0.584519035865374,-0.699668517093971
94,"2011","01","04",7,"tuesday",0,"spring","Clear or Few Cloudy",-1.95780412471412,0.584519035865374,-0.456085516247529
179,"2011","01","04",8,"tuesday",0,"spring","Clear or Few Cloudy",-1.85393830175198,0.325357459104286,-0.211685122780796
100,"2011","01","04",9,"tuesday",0,"spring","Clear or Few Cloudy",-1.75007247878984,0.0661958823431994,0.276298271532379
42,"2011","01","04",10,"tuesday",0,"spring","Mist or Cloudy",-1.75007247878984,0.325357459104286,1.13047355973551
57,"2011","01","04",11,"tuesday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-0.607624217235628,0.886073166268775
78,"2011","01","04",12,"tuesday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-0.607624217235628,-0.211685122780796
97,"2011","01","04",13,"tuesday",0,"spring","Clear or Few Cloudy",-1.33460918694128,-0.34846264047454,0.0318978780656464
63,"2011","01","04",14,"tuesday",0,"spring","Clear or Few Cloudy",-1.23074336397914,-0.55579190188341,0.276298271532379
65,"2011","01","04",15,"tuesday",0,"spring","Clear or Few Cloudy",-1.126877541017,-0.55579190188341,0.519881272378821
83,"2011","01","04",16,"tuesday",0,"spring","Clear or Few Cloudy",-1.02301171805486,-0.711288847940063,0.519881272378821
212,"2011","01","04",17,"tuesday",0,"spring","Clear or Few Cloudy",-1.126877541017,-0.76312116329228,0.276298271532379
182,"2011","01","04",18,"tuesday",0,"spring","Clear or Few Cloudy",-1.23074336397914,-0.76312116329228,0.0318978780656464
112,"2011","01","04",19,"tuesday",0,"spring","Clear or Few Cloudy",-1.33460918694128,-0.76312116329228,-0.699668517093971
54,"2011","01","04",20,"tuesday",0,"spring","Clear or Few Cloudy",-1.33460918694128,-0.76312116329228,-0.699668517093971
48,"2011","01","04",21,"tuesday",0,"spring","Clear or Few Cloudy",-1.43847500990342,0.0661958823431994,-1.5538438052971
35,"2011","01","04",22,"tuesday",0,"spring","Clear or Few Cloudy",-1.43847500990342,0.0661958823431994,-0.821460017517193
11,"2011","01","04",23,"tuesday",0,"spring","Clear or Few Cloudy",-1.54234083286556,0.325357459104286,-0.821460017517193
6,"2011","01","05",0,"wednesday",0,"spring","Clear or Few Cloudy",-1.54234083286556,0.0661958823431994,-1.5538438052971
6,"2011","01","05",1,"wednesday",0,"spring","Clear or Few Cloudy",-1.75007247878984,0.584519035865374,-0.821460017517193
2,"2011","01","05",2,"wednesday",0,"spring","Clear or Few Cloudy",-1.75007247878984,0.584519035865374,-0.821460017517193
2,"2011","01","05",4,"wednesday",0,"spring","Clear or Few Cloudy",-1.33460918694128,-0.76312116329228,0.276298271532379
3,"2011","01","05",5,"wednesday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-0.814953478644498,-0.211685122780796
33,"2011","01","05",6,"wednesday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-0.814953478644498,0.276298271532379
88,"2011","01","05",7,"wednesday",0,"spring","Clear or Few Cloudy",-1.6462066558277,-1.02228274005337,0.0318978780656464
195,"2011","01","05",8,"wednesday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-1.17777968611002,0.886073166268775
115,"2011","01","05",9,"wednesday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-1.33327663216667,1.13047355973551
57,"2011","01","05",10,"wednesday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-1.33327663216667,1.13047355973551
46,"2011","01","05",11,"wednesday",0,"spring","Clear or Few Cloudy",-1.23074336397914,-1.54060589357554,1.13047355973551
79,"2011","01","05",12,"wednesday",0,"spring","Clear or Few Cloudy",-1.23074336397914,-1.54060589357554,1.13047355973551
71,"2011","01","05",13,"wednesday",0,"spring","Clear or Few Cloudy",-1.126877541017,-1.69610283963219,0.886073166268775
62,"2011","01","05",14,"wednesday",0,"spring","Clear or Few Cloudy",-1.02301171805486,-1.79976747033663,0.0318978780656464
62,"2011","01","05",15,"wednesday",0,"spring","Clear or Few Cloudy",-1.02301171805486,-1.79976747033663,0.0318978780656464
89,"2011","01","05",16,"wednesday",0,"spring","Clear or Few Cloudy",-1.02301171805486,-1.79976747033663,-0.821460017517193
190,"2011","01","05",17,"wednesday",0,"spring","Clear or Few Cloudy",-1.33460918694128,-1.28144431681445,0.0318978780656464
169,"2011","01","05",18,"wednesday",0,"spring","Clear or Few Cloudy",-1.33460918694128,-1.28144431681445,-0.456085516247529
132,"2011","01","05",19,"wednesday",0,"spring","Clear or Few Cloudy",-1.33460918694128,-1.28144431681445,-0.699668517093971
89,"2011","01","05",20,"wednesday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-0.814953478644498,-0.211685122780796
43,"2011","01","05",21,"wednesday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-0.607624217235628,0.0318978780656464
42,"2011","01","05",22,"wednesday",0,"spring","Clear or Few Cloudy",-1.6462066558277,-0.400294955826758,-0.456085516247529
19,"2011","01","05",23,"wednesday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-0.814953478644498,-1.5538438052971
11,"2011","01","06",0,"thursday",0,"spring","Clear or Few Cloudy",-1.6462066558277,-0.400294955826758,-1.5538438052971
4,"2011","01","06",1,"thursday",0,"spring","Clear or Few Cloudy",-1.75007247878984,0.0661958823431994,-1.5538438052971
2,"2011","01","06",2,"thursday",0,"spring","Clear or Few Cloudy",-1.75007247878984,0.0661958823431994,-1.5538438052971
1,"2011","01","06",4,"thursday",0,"spring","Mist or Cloudy",-1.75007247878984,0.0661958823431994,-0.821460017517193
4,"2011","01","06",5,"thursday",0,"spring","Mist or Cloudy",-1.85393830175198,0.325357459104286,-0.821460017517193
36,"2011","01","06",6,"thursday",0,"spring","Mist or Cloudy",-1.85393830175198,0.0143635669909819,-0.699668517093971
95,"2011","01","06",7,"thursday",0,"spring","Mist or Cloudy",-1.75007247878984,-0.192965694417888,-1.5538438052971
219,"2011","01","06",8,"thursday",0,"spring","Clear or Few Cloudy",-1.75007247878984,-0.192965694417888,-1.5538438052971
122,"2011","01","06",9,"thursday",0,"spring","Mist or Cloudy",-1.6462066558277,-0.607624217235628,-1.5538438052971
45,"2011","01","06",10,"thursday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-0.814953478644498,-1.5538438052971
59,"2011","01","06",11,"thursday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-0.97045042470115,-0.821460017517193
84,"2011","01","06",12,"thursday",0,"spring","Clear or Few Cloudy",-1.23074336397914,-1.43694126287111,-1.5538438052971
67,"2011","01","06",13,"thursday",0,"spring","Clear or Few Cloudy",-1.23074336397914,-1.43694126287111,-0.699668517093971
70,"2011","01","06",14,"thursday",0,"spring","Clear or Few Cloudy",-1.126877541017,-1.38510894751889,-0.211685122780796
62,"2011","01","06",15,"thursday",0,"spring","Clear or Few Cloudy",-1.126877541017,-1.38510894751889,-1.5538438052971
86,"2011","01","06",16,"thursday",0,"spring","Clear or Few Cloudy",-1.23074336397914,-1.28144431681445,-0.211685122780796
172,"2011","01","06",17,"thursday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-0.607624217235628,-0.211685122780796
163,"2011","01","06",18,"thursday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-0.607624217235628,-0.456085516247529
112,"2011","01","06",19,"thursday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-0.400294955826758,-0.821460017517193
69,"2011","01","06",20,"thursday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-0.607624217235628,-0.211685122780796
48,"2011","01","06",21,"thursday",0,"spring","Mist or Cloudy",-1.43847500990342,-0.400294955826758,0.276298271532379
52,"2011","01","06",22,"thursday",0,"spring","Mist or Cloudy",-1.43847500990342,-0.607624217235628,0.764281665845554
23,"2011","01","06",23,"thursday",0,"spring","Mist or Cloudy",-1.54234083286556,-0.192965694417888,0.0318978780656464
17,"2011","01","07",0,"friday",0,"spring","Mist or Cloudy",-1.54234083286556,0.0661958823431994,0.0318978780656464
7,"2011","01","07",1,"friday",0,"spring","Mist or Cloudy",-1.54234083286556,0.325357459104286,0.276298271532379
1,"2011","01","07",2,"friday",0,"spring","Mist or Cloudy",-1.54234083286556,0.325357459104286,0.276298271532379
1,"2011","01","07",4,"friday",0,"spring","Mist or Cloudy",-1.54234083286556,0.325357459104286,-0.456085516247529
5,"2011","01","07",5,"friday",0,"spring","Light Snow or Light Rain",-1.43847500990342,-0.400294955826758,-1.5538438052971
34,"2011","01","07",6,"friday",0,"spring","Mist or Cloudy",-1.54234083286556,0.325357459104286,-1.5538438052971
84,"2011","01","07",7,"friday",0,"spring","Clear or Few Cloudy",-1.54234083286556,0.325357459104286,-0.456085516247529
210,"2011","01","07",8,"friday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-0.607624217235628,0.519881272378821
134,"2011","01","07",9,"friday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-0.814953478644498,0.886073166268775
63,"2011","01","07",10,"friday",0,"spring","Clear or Few Cloudy",-1.43847500990342,-1.33327663216667,1.13047355973551
67,"2011","01","07",11,"friday",0,"spring","Mist or Cloudy",-1.54234083286556,-1.17777968611002,0.276298271532379
59,"2011","01","07",12,"friday",0,"spring","Mist or Cloudy",-1.54234083286556,-1.33327663216667,0.519881272378821
73,"2011","01","07",13,"friday",0,"spring","Mist or Cloudy",-1.54234083286556,-1.33327663216667,0.764281665845554
50,"2011","01","07",14,"friday",0,"spring","Mist or Cloudy",-1.54234083286556,-1.17777968611002,0.519881272378821
72,"2011","01","07",15,"friday",0,"spring","Mist or Cloudy",-1.54234083286556,-1.33327663216667,-0.211685122780796
87,"2011","01","07",16,"friday",0,"spring","Mist or Cloudy",-1.54234083286556,-1.33327663216667,-0.211685122780796
187,"2011","01","07",17,"friday",0,"spring","Mist or Cloudy",-1.54234083286556,-1.33327663216667,-1.5538438052971
123,"2011","01","07",18,"friday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-1.17777968611002,-0.821460017517193
95,"2011","01","07",19,"friday",0,"spring","Clear or Few Cloudy",-1.75007247878984,-0.400294955826758,-0.821460017517193
51,"2011","01","07",20,"friday",0,"spring","Clear or Few Cloudy",-1.6462066558277,-0.814953478644498,-0.699668517093971
39,"2011","01","07",21,"friday",0,"spring","Clear or Few Cloudy",-1.6462066558277,-0.814953478644498,-0.456085516247529
36,"2011","01","07",22,"friday",0,"spring","Mist or Cloudy",-1.6462066558277,-1.02228274005337,-0.211685122780796
15,"2011","01","07",23,"friday",0,"spring","Mist or Cloudy",-1.6462066558277,-0.607624217235628,-0.211685122780796
25,"2011","01","08",0,"saturday",0,"spring","Mist or Cloudy",-1.6462066558277,-0.607624217235628,-0.211685122780796
16,"2011","01","08",1,"saturday",0,"spring","Mist or Cloudy",-1.6462066558277,-0.400294955826758,-0.821460017517193
16,"2011","01","08",2,"saturday",0,"spring","Mist or Cloudy",-1.6462066558277,-0.400294955826758,-1.5538438052971
7,"2011","01","08",3,"saturday",0,"spring","Light Snow or Light Rain",-1.6462066558277,-0.400294955826758,-0.211685122780796
1,"2011","01","08",4,"saturday",0,"spring","Light Snow or Light Rain",-1.6462066558277,-0.400294955826758,-0.211685122780796
5,"2011","01","08",5,"saturday",0,"spring","Mist or Cloudy",-1.75007247878984,0.584519035865374,-0.211685122780796
2,"2011","01","08",6,"saturday",0,"spring","Mist or Cloudy",-1.75007247878984,0.584519035865374,-0.211685122780796
9,"2011","01","08",7,"saturday",0,"spring","Mist or Cloudy",-1.75007247878984,0.584519035865374,-0.699668517093971
15,"2011","01","08",8,"saturday",0,"spring","Light Snow or Light Rain",-1.75007247878984,1.56933302755751,-0.699668517093971
20,"2011","01","08",9,"saturday",0,"spring","Light Snow or Light Rain",-1.75007247878984,1.56933302755751,-0.699668517093971
61,"2011","01","08",10,"saturday",0,"spring","Mist or Cloudy",-1.6462066558277,0.895512927978679,-0.211685122780796
62,"2011","01","08",11,"saturday",0,"spring","Mist or Cloudy",-1.54234083286556,0.325357459104286,1.61845695404868
98,"2011","01","08",12,"saturday",0,"spring","Mist or Cloudy",-1.54234083286556,-0.192965694417888,1.37405656058195
102,"2011","01","08",13,"saturday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-0.97045042470115,1.13047355973551
95,"2011","01","08",14,"saturday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-1.59243820892776,2.47181484963152
74,"2011","01","08",15,"saturday",0,"spring","Clear or Few Cloudy",-1.54234083286556,-1.59243820892776,2.10644034836186
