sheet,time,time_n,state,empft,wage_st
1,Before,1,NJ,16,4.5
1,After,2,NJ,20,5.0500002
2,Before,1,NJ,10,4.75
2,After,2,NJ,7.5,5.25
3,Before,1,NJ,6,4.25
3,After,2,NJ,4,5.0500002
4,Before,1,NJ,10,4.75
4,After,2,NJ,5,5.0500002
5,Before,1,NJ,5,4.5
5,After,2,NJ,10,5.1500001
6,Before,1,NJ,2,5
6,After,2,NJ,5,5.0500002
8,Before,1,NJ,,4.8000002
8,After,2,NJ,15,5.0500002
9,Before,1,NJ,12,4.3699999
9,After,2,NJ,0,5.0500002
10,Before,1,NJ,15,4.25
10,After,2,NJ,15,5.0500002
11,Before,1,NJ,10,4.25
11,After,2,NJ,12,5.0500002
12,Before,1,NJ,6.5,4.3699999
12,After,2,NJ,15,5.0500002
13,Before,1,NJ,0,4.5
13,After,2,NJ,2,5
14,Before,1,NJ,10,5.1199999
14,After,2,NJ,4,5.0500002
15,Before,1,NJ,3,4.5999999
15,After,2,NJ,5,5.0500002
16,Before,1,NJ,6,4.5
16,After,2,NJ,7,5.0500002
17,Before,1,NJ,0,4.3699999
17,After,2,NJ,4,5.0500002
18,Before,1,NJ,15,4.25
18,After,2,NJ,8,5.0500002
19,Before,1,NJ,4,4.25
19,After,2,NJ,6,5.0500002
21,Before,1,NJ,5,4.4499998
21,After,2,NJ,0,5.0500002
22,Before,1,NJ,3,4.3499999
22,After,2,NJ,3,5.0500002
23,Before,1,NJ,0,4.5
23,After,2,NJ,14,5.0500002
24,Before,1,NJ,15,4.75
24,After,2,NJ,15,5.0500002
26,Before,1,NJ,30,5.5599999
26,After,2,NJ,10,5.0500002
27,Before,1,NJ,4,5
27,After,2,NJ,0,5.0500002
28,Before,1,NJ,0,4.5
28,After,2,NJ,6,
29,Before,1,NJ,0,4.5
29,After,2,NJ,0,5.0500002
30,Before,1,NJ,6,5
30,After,2,NJ,4,5.0500002
31,Before,1,NJ,4,5.25
31,After,2,NJ,6,5.0500002
32,Before,1,NJ,10,4.5
32,After,2,NJ,2,5.0500002
33,Before,1,NJ,12,5
33,After,2,NJ,6,5.0500002
34,Before,1,NJ,5,4.9499998
34,After,2,NJ,11,5.0500002
35,Before,1,NJ,25,4.5
35,After,2,NJ,13,5.0500002
36,Before,1,NJ,8,5.5
36,After,2,NJ,10,5.0500002
37,Before,1,PA,21,4.25
37,After,2,PA,6,4.25
38,Before,1,NJ,15,4.25
38,After,2,NJ,10,5.0500002
39,Before,1,PA,1,4.25
39,After,2,PA,5,
40,Before,1,PA,10,4.25
40,After,2,PA,7,4.25
41,Before,1,PA,0,4.25
41,After,2,PA,0,4.25
42,Before,1,PA,17,4.5
42,After,2,PA,0,4.25
45,Before,1,PA,0,4.25
45,After,2,PA,11,4.25
46,Before,1,PA,30,
46,After,2,PA,3.5,4.3000002
47,Before,1,PA,25,4.5
47,After,2,PA,0,4.25
48,Before,1,PA,6,4.25
48,After,2,PA,7.5,4.3800001
49,Before,1,PA,6.5,
49,After,2,PA,0,4.4499998
50,Before,1,PA,6,4.5
50,After,2,PA,4,4.75
51,Before,1,PA,0,4.25
51,After,2,PA,6,4.25
56,Before,1,PA,20,5
56,After,2,PA,0,5.25
57,Before,1,PA,30,4.6700001
57,After,2,PA,7,4.5
58,Before,1,PA,8,4.75
58,After,2,PA,0,4.5
59,Before,1,PA,0,4.25
59,After,2,PA,0,4.25
60,Before,1,PA,10,4.25
60,After,2,PA,10,4.25
61,Before,1,PA,6,5.5
61,After,2,PA,28,4.75
62,Before,1,PA,0,5
62,After,2,PA,,
63,Before,1,NJ,26,4.25
63,After,2,NJ,15,5.0500002
64,Before,1,NJ,20,4.5
64,After,2,NJ,13,5.0500002
65,Before,1,NJ,0,4.8000002
65,After,2,NJ,,5.0500002
66,Before,1,NJ,15,4.25
66,After,2,NJ,26,5.0500002
67,Before,1,NJ,5,4.5
67,After,2,NJ,4,5.0500002
68,Before,1,NJ,30,4.25
68,After,2,NJ,13,5.0500002
69,Before,1,NJ,0,4.25
69,After,2,NJ,0,5.0500002
70,Before,1,NJ,35,4.5
70,After,2,NJ,10,5.0500002
71,Before,1,NJ,0,4.75
71,After,2,NJ,29,5.0500002
73,Before,1,NJ,0,4.25
73,After,2,NJ,14,5.0500002
75,Before,1,NJ,3,4.25
75,After,2,NJ,4,5.0500002
76,Before,1,NJ,8,4.25
76,After,2,NJ,25,5.0500002
77,Before,1,NJ,6,5
77,After,2,NJ,4,5.0500002
78,Before,1,NJ,13,5
78,After,2,NJ,10,5.0500002
79,Before,1,NJ,6,4.5
79,After,2,NJ,8,5.0500002
80,Before,1,NJ,4.5,4.25
80,After,2,NJ,11,5.0500002
81,Before,1,NJ,25,5
81,After,2,NJ,0,5.0500002
82,Before,1,NJ,8,5
82,After,2,NJ,25,5.0500002
83,Before,1,NJ,12.5,5
83,After,2,NJ,,5.0500002
84,Before,1,NJ,4,4.5
