score,lagdemvoteshare,range_voteshare
18.90983436977007,0.01,"(-0.001,0.01]"
NA,0.02,"(0.01,0.02]"
NA,0.03,"(0.02,0.03]"
NA,0.04,"(0.03,0.04]"
NA,0.05,"(0.04,0.05]"
NA,0.060000000000000005,"(0.05,0.06]"
NA,0.06999999999999999,"(0.06,0.07]"
11.235000133514404,0.08,"(0.07,0.08]"
NA,0.09,"(0.08,0.09]"
NA,0.09999999999999999,"(0.09,0.1]"
NA,0.11,"(0.1,0.11]"
-1.929999977350235,0.12,"(0.11,0.12]"
NA,0.13,"(0.12,0.13]"
-5.779999852180481,0.14,"(0.13,0.14]"
5.234999924898148,0.15000000000000002,"(0.14,0.15]"
4.0149999260902405,0.16,"(0.15,0.16]"
7.6725000739097595,0.17,"(0.16,0.17]"
3.285000056028366,0.18000000000000002,"(0.17,0.18]"
5.511666655540466,0.19,"(0.18,0.19]"
22.260000036312984,0.2,"(0.19,0.2]"
17.77681825919585,0.21000000000000002,"(0.2,0.21]"
21.086136373606596,0.22,"(0.21,0.22]"
17.5780554678705,0.23,"(0.22,0.23]"
16.77219980955124,0.24000000000000002,"(0.23,0.24]"
17.05043476128924,0.25,"(0.24,0.25]"
24.138777660661273,0.26,"(0.25,0.26]"
15.817280760459733,0.27,"(0.26,0.27]"
23.179236748291334,0.28,"(0.27,0.28]"
18.004178036667714,0.29000000000000004,"(0.28,0.29]"
17.42118876317998,0.3,"(0.29,0.3]"
18.770762725401735,0.31,"(0.3,0.31]"
17.496375051885842,0.32,"(0.31,0.32]"
24.61541469649571,0.33,"(0.32,0.33]"
22.373195855042983,0.34,"(0.33,0.34]"
21.32802817883066,0.35000000000000003,"(0.34,0.35]"
20.137466088948745,0.36000000000000004,"(0.35,0.36]"
19.874041697693368,0.37,"(0.36,0.37]"
20.927595430430564,0.38,"(0.37,0.38]"
21.22638296421538,0.39,"(0.38,0.39]"
22.714514696265308,0.4,"(0.39,0.4]"
20.811862375089515,0.41000000000000003,"(0.4,0.41]"
21.204854738910168,0.42000000000000004,"(0.41,0.42]"
24.360505987234152,0.43,"(0.42,0.43]"
26.040706355332443,0.44,"(0.43,0.44]"
27.760891075574918,0.45,"(0.44,0.45]"
27.93791512678949,0.46,"(0.45,0.46]"
33.34764010977745,0.47000000000000003,"(0.46,0.47]"
32.74800811155859,0.48000000000000004,"(0.47,0.48]"
30.774679928064348,0.49,"(0.48,0.49]"
31.709268380737885,0.5,"(0.49,0.5]"
55.675733365217845,0.51,"(0.5,0.51]"
49.4195320084374,0.52,"(0.51,0.52]"
54.86662129981526,0.53,"(0.52,0.53]"
56.34983858496191,0.54,"(0.53,0.54]"
57.058488954438104,0.55,"(0.54,0.55]"
59.72209526044982,0.56,"(0.55,0.56]"
61.298538809837815,0.5700000000000001,"(0.56,0.57]"
62.97027173476375,0.5800000000000001,"(0.57,0.58]"
59.63384621811437,0.59,"(0.58,0.59]"
60.62987185982812,0.6,"(0.59,0.6]"
56.403730867749054,0.61,"(0.6,0.61]"
59.81738400861684,0.62,"(0.61,0.62]"
59.442070760510184,0.63,"(0.62,0.63]"
59.50340008020401,0.64,"(0.63,0.64]"
63.631818276643756,0.65,"(0.64,0.65]"
64.37543779172107,0.66,"(0.65,0.66]"
61.833513579188704,0.67,"(0.66,0.67]"
62.25868706691145,0.68,"(0.67,0.68]"
62.13149361022107,0.6900000000000001,"(0.68,0.69]"
63.50016487930175,0.7000000000000001,"(0.69,0.7]"
62.44763167727935,0.7100000000000001,"(0.7,0.71]"
65.44000014245819,0.72,"(0.71,0.72]"
66.5391193177416,0.73,"(0.72,0.73]"
62.7095201663971,0.74,"(0.73,0.74]"
64.9454284960883,0.75,"(0.74,0.75]"
62.685703348368406,0.76,"(0.75,0.76]"
63.75736359249462,0.77,"(0.76,0.77]"
64.80150536055206,0.78,"(0.77,0.78]"
62.18647109527214,0.79,"(0.78,0.79]"
62.917887445906516,0.8,"(0.79,0.8]"
68.5688888894187,0.81,"(0.8,0.81]"
61.35633819875583,0.8200000000000001,"(0.81,0.82]"
58.952778147326576,0.8300000000000001,"(0.82,0.83]"
67.12781292945147,0.8400000000000001,"(0.83,0.84]"
76.08539965152741,0.85,"(0.84,0.85]"
76.49195123881829,0.86,"(0.85,0.86]"
74.8064152879535,0.87,"(0.86,0.87]"
64.47053989848575,0.88,"(0.87,0.88]"
53.35974381825863,0.89,"(0.88,0.89]"
56.90173948329428,0.9,"(0.89,0.9]"
71.45222207793483,0.91,"(0.9,0.91]"
62.83842157062731,0.92,"(0.91,0.92]"
53.486667235692344,0.93,"(0.92,0.93]"
53.77913104969522,0.9400000000000001,"(0.93,0.94]"
34.248461200640754,0.9500000000000001,"(0.94,0.95]"
NA,0.9600000000000001,"(0.95,0.96]"
96.45499992370605,0.97,"(0.96,0.97]"
NA,0.98,"(0.97,0.98]"
NA,0.99,"(0.98,0.99]"
33.014483642933,1,"(0.99,1]"
