year,state,county,n_mines_underground,production_underground,n_mines_surface,production_surface
2011,Alabama,Bibb,0,0,2,175
2011,Alabama,Blount,0,0,3,288
2011,Alabama,Fayette,1,2707,0,0
2011,Alabama,Franklin,0,0,2,198
2011,Alabama,Jackson,0,0,2,29
2011,Alabama,Jefferson,3,2339,9,1101
2011,Alabama,Marion,0,0,1,119
2011,Alabama,Shelby,1,66,1,257
2011,Alabama,Tuscaloosa,2,5733,7,2555
2011,Alabama,Walker,2,33,14,2774
2011,Alabama,Winston,0,0,2,697
2011,Alaska,Yukon-Koyukuk Division,0,0,1,2149
2011,Arizona,Navajo,0,0,1,8111
2011,Arkansas,Sebastian,1,127,1,7
2011,Colorado,Delta,1,2235,0,0
2011,Colorado,Gunnison,2,8904,0,0
2011,Colorado,La Plata,1,618,0,0
2011,Colorado,Las Animas,1,18,0,0
2011,Colorado,Moffat,0,0,2,5022
2011,Colorado,Montrose,0,0,1,360
2011,Colorado,Rio Blanco,1,1984,0,0
2011,Colorado,Routt,1,7749,0,0
2011,Illinois,Franklin,1,893,0,0
2011,Illinois,Gallatin,0,0,2,1950
2011,Illinois,Jackson,0,0,1,381
2011,Illinois,Macoupin,2,2764,0,0
2011,Illinois,Mcdonough,0,0,1,166
2011,Illinois,Montgomery,1,491,0,0
2011,Illinois,Perry,2,2710,2,840
2011,Illinois,Randolph,1,3335,1,140
2011,Illinois,Saline,4,9999,1,301
2011,Illinois,Sangamon,1,2098,0,0
2011,Illinois,Wabash,0,0,1,1275
2011,Illinois,Washington,1,1002,0,0
2011,Illinois,White,1,2199,0,0
2011,Illinois,Williamson,1,7227,0,0
2011,Indiana,Daviess,0,0,3,2743
2011,Indiana,Dubois,0,0,1,1152
2011,Indiana,Gibson,2,6344,2,4339
2011,Indiana,Knox,4,4370,2,510
2011,Indiana,Pike,1,2458,5,1580
2011,Indiana,Sullivan,1,3297,1,6616
2011,Indiana,Vigo,0,0,1,426
2011,Indiana,Warrick,0,0,5,3590
2011,Kansas,Bourbon,0,0,1,37
2011,Kentucky,Bell,5,575,14,1020
2011,Kentucky,Boyd,0,0,1,406
2011,Kentucky,Breathitt,1,744,4,91
2011,Kentucky,Clay,1,3,8,377
2011,Kentucky,Daviess,0,0,1,405
2011,Kentucky,Elliott,0,0,1,47
2011,Kentucky,Floyd,13,965,20,2194
2011,Kentucky,Harlan,30,7017,26,2857
2011,Kentucky,Henderson,1,1240,1,1206
2011,Kentucky,Hopkins,4,12386,0,0
2011,Kentucky,Johnson,0,0,5,236
2011,Kentucky,Knott,11,2749,10,1793
2011,Kentucky,Knox,2,13,8,303
2011,Kentucky,Lawrence,0,0,5,63
2011,Kentucky,Leslie,6,1862,10,2356
2011,Kentucky,Letcher,20,3324,13,1064
2011,Kentucky,Magoffin,1,105,5,2893
2011,Kentucky,Martin,8,3837,9,1696
2011,Kentucky,Muhlenberg,2,3204,5,2390
2011,Kentucky,Ohio,2,610,5,4932
2011,Kentucky,Owsley,0,0,4,69
2011,Kentucky,Perry,7,3944,21,9539
2011,Kentucky,Pike,50,8106,45,7125
2011,Kentucky,Union,3,12333,0,0
2011,Kentucky,Webster,1,2130,0,0
2011,Kentucky,Whitley,1,103,10,456
2011,Louisiana,De Soto,0,0,1,3865
2011,Maryland,Allegany,1,618,12,1448
2011,Maryland,Garrett,2,255,7,617
2011,Mississippi,Choctaw,0,0,1,2747
2011,Missouri,Bates,0,0,2,465
2011,Montana,Big Horn,0,0,3,27733
2011,Montana,Musselshell,1,5136,0,0
2011,Montana,Richland,0,0,1,355
2011,Montana,Rosebud,0,0,1,8785
2011,New Mexico,Mckinley,0,0,2,10073
2011,New Mexico,San Juan,1,3983,1,7867
2011,North Dakota,Mclean,0,0,1,7477
2011,North Dakota,Mercer,0,0,2,16563
2011,North Dakota,Oliver,0,0,1,4191
2011,Ohio,Belmont,1,6416,2,1008
2011,Ohio,Carroll,1,189,1,10
2011,Ohio,Columbiana,0,0,2,130
2011,Ohio,Coshocton,0,0,1,165
2011,Ohio,Guernsey,0,0,1,213
2011,Ohio,Harrison,1,1345,7,2594
2011,Ohio,Jackson,0,0,1,391
2011,Ohio,Jefferson,2,423,5,952
2011,Ohio,Mahoning,0,0,1,5
2011,Ohio,Meigs,1,444,0,0
2011,Ohio,Monroe,1,7081,0,0
2011,Ohio,Muskingum,0,0,1,36
2011,Ohio,Noble,0,0,2,740
2011,Ohio,Perry,2,2502,1,777
2011,Ohio,Stark,0,0,2,226
2011,Ohio,Tuscarawas,1,573,7,1027
2011,Ohio,Vinton,0,0,2,921
2011,Oklahoma,Craig,0,0,1,75
2011,Oklahoma,Haskell,0,0,1,204
2011,Oklahoma,Le Flore,1,408,1,201
2011,Oklahoma,Nowata,0,0,1,254
2011,Oklahoma,Okmulgee,0,0,1,3
2011,Pennsylvania,Allegheny,0,0,3,65
2011,Pennsylvania,Armstrong,7,2543,8,290
