id,name,state,census_region,pop_dens,pct_aa,pop,female,caucasian,african_american,travel_time,land_area,hh_income,fips,votes_dem_2016,votes_gop_2016,total_votes_2016,partywinner12
1001,Autauga County,AL,South,"[ 45,  118)","[15.0,25.0)",55395,51.5,78.1,18.4,26.2,594.44,53682,1001,5908,18110,24661,Republican
1003,Baldwin County,AL,South,"[118,71672]","[ 5.0,10.0)",200111,51.2,87.3,9.5,25.9,1589.78,50221,1003,18409,72780,94090,Republican
1005,Barbour County,AL,South,"[ 17,   45)","[25.0,50.0)",26887,46.5,50.2,47.6,24.6,884.88,32911,1005,4848,5431,10390,Democrat
1007,Bibb County,AL,South,"[ 17,   45)","[15.0,25.0)",22506,46,76.3,22.1,27.6,622.58,36447,1007,1874,6733,8748,Republican
1009,Blount County,AL,South,"[ 45,  118)","[ 0.0, 2.0)",57719,50.6,96,1.8,33.9,644.78,44145,1009,2150,22808,25384,Republican
1011,Bullock County,AL,South,"[ 17,   45)","[50.0,85.3]",10764,45.2,27.2,69.9,26.9,622.81,32033,1011,3530,1139,4701,Democrat
1013,Butler County,AL,South,"[ 17,   45)","[25.0,50.0)",20296,53.4,54.3,43.6,24,776.83,29918,1013,3716,4891,8685,Republican
1015,Calhoun County,AL,South,"[118,71672]","[15.0,25.0)",115916,51.7,76,20.9,22.5,605.87,39962,1015,13197,32803,47376,Republican
1017,Chambers County,AL,South,"[ 45,  118)","[25.0,50.0)",34076,52,58.8,39.1,24.6,596.53,32402,1017,5763,7803,13778,Republican
1019,Cherokee County,AL,South,"[ 45,  118)","[ 2.0, 5.0)",26037,50.4,93.2,4.5,26.9,553.7,34907,1019,1524,8809,10503,Republican
1021,Chilton County,AL,South,"[ 45,  118)","[10.0,15.0)",43931,50.8,87.5,10.3,31.8,692.85,41250,1021,2909,15068,18255,Republican
1023,Choctaw County,AL,South,"[  0,   17)","[25.0,50.0)",13323,52.5,56.2,42.7,33.4,913.5,33941,1023,3109,4102,7268,Republican
1025,Clarke County,AL,South,"[ 17,   45)","[25.0,50.0)",24945,52.7,54.1,44.2,25.5,1238.47,29357,1025,5712,7109,12936,Republican
1027,Clay County,AL,South,"[ 17,   45)","[10.0,15.0)",13552,50.8,83,14.4,30.7,603.96,34002,1027,1234,5230,6572,Republican
1029,Cleburne County,AL,South,"[ 17,   45)","[ 2.0, 5.0)",15080,50.4,94.7,3.6,31.4,560.1,38019,1029,684,5738,6532,Republican
1031,Coffee County,AL,South,"[ 45,  118)","[15.0,25.0)",50909,50.3,76.7,17.5,21.3,678.97,43768,1031,4194,15825,20513,Republican
1033,Colbert County,AL,South,"[ 45,  118)","[15.0,25.0)",54543,51.9,80.8,16.4,22.7,592.62,39077,1033,7296,16718,24626,Republican
1035,Conecuh County,AL,South,"[  0,   17)","[25.0,50.0)",12670,51.7,52.1,46,27.2,850.16,24658,1035,3069,3413,6543,Democrat
1037,Coosa County,AL,South,"[  0,   17)","[25.0,50.0)",10886,50.2,66.5,31.3,30.2,650.93,37277,1037,1780,3376,5223,Republican
1039,Covington County,AL,South,"[ 17,   45)","[10.0,15.0)",37914,51.6,84.6,12.7,23.3,1030.46,35869,1039,2379,13222,15818,Republican
