fips,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017
1001,54590,54907,55136,55221,55049,55036
1003,183226,187114,191205,195121,199510,203360
1005,27469,27321,27119,26932,26614,26201
1007,22769,22754,22653,22604,22572,22580
1009,57466,57623,57645,57710,57704,57667
1011,10779,10746,10693,10678,10552,10478
1013,20730,20624,20523,20354,20280,20126
1015,117834,117714,117186,116648,115883,115527
1017,34228,34145,34091,34079,34018,33895
1019,25917,26034,26042,26008,25897,25855
1021,43611,43744,43781,43819,43817,43805
1023,13838,13687,13546,13395,13287,13188
1025,25768,25573,25331,25070,24847,24625
1027,13828,13703,13617,13537,13483,13407
1029,14905,14945,14990,15002,14991,14939
1031,49966,50468,50726,50884,50991,51073
1033,54451,54456,54491,54444,54377,54435
1035,13188,13104,12985,12865,12697,12649
1037,11305,11198,11247,11027,10864,10955
1039,37803,37847,37881,37886,37729,37519
1041,13971,13955,13938,13938,13896,13866
1043,80403,80499,80668,80965,81316,81703
1045,50129,50102,50013,49866,49607,49393
1047,43572,43091,42743,42154,41426,40755
1049,70949,71076,71074,71068,70937,71194
1051,79330,79895,80321,80763,80957,80989
1053,38122,38169,38042,37935,37875,37621
1055,104317,104260,104126,103766,103363,103132
1057,17219,17110,17019,16896,16783,16657
1059,31664,31666,31663,31634,31573,31507
1061,26769,26791,26816,26815,26765,26572
1063,9067,8934,8798,8697,8587,8533
1065,15750,15594,15393,15256,15159,14995
1067,17275,17308,17270,17252,17187,17110
1069,101459,102326,103079,103534,103891,104108
1071,53279,53171,53012,52860,52608,52326
1073,658464,658552,658834,659026,659096,659460
1075,14513,14396,14268,14133,14066,14021
1077,92528,92666,92780,92737,92641,92590
1079,34148,34009,33835,33586,33433,33288
1081,140938,144405,147790,150982,153947,156597
1083,83313,85264,87167,88805,90257,91695
1085,11304,11086,10918,10742,10565,10362
1087,21214,20803,20505,20018,19684,19358
1089,334661,339279,343229,346438,349973,353213
1091,20909,20669,20489,20306,20066,19743
1093,30641,30615,30527,30387,30239,30058
1095,93070,93699,94121,94318,94534,94738
1097,412297,413188,414045,414251,414291,414328
1099,22993,22778,22509,22217,21975,21745
1101,229376,228980,228850,228138,227392,227120
1103,119330,119673,119744,119786,119555,119157
1105,10525,10390,10203,10038,9856,9680
1107,19646,19516,19629,19856,20042,20170
1109,32750,32977,33216,33155,33277,33287
1111,22843,22819,22724,22648,22615,22530
1113,53938,55544,56980,58302,58636,58480
