skim_variable,mean,sd,p0,p25,p50,p75,p100,hist
score,90.58,7.97,60.42,87.5,93.75,95.83,100,▁▁▂▅▇
g_code_1,0.8,0.25,0.5,0.5,1,1,1,▆▁▁▁▇
g_code_2_1,0.93,0.19,0,1,1,1,1,▁▁▁▁▇
g_code_2_2,0.94,0.18,0,1,1,1,1,▁▁▁▁▇
g_code_2_3,0.91,0.2,0,1,1,1,1,▁▁▂▁▇
g_code_3_1,0.74,0.3,0,0.5,1,1,1,▁▁▆▁▇
g_code_3_2,0.74,0.27,0,0.5,0.75,1,1,▁▁▇▁▇
g_code_4,0.71,0.27,0,0.5,0.5,1,1,▁▁▇▁▇
g_code_5_1,0.9,0.26,0,1,1,1,1,▁▁▁▁▇
g_code_5_2,0.86,0.28,0,1,1,1,1,▁▁▂▁▇
g_code_6,0.69,0.27,0,0.5,0.5,1,1,▁▁▇▁▆
g_q1,0.98,0.09,0.5,1,1,1,1,▁▁▁▁▇
g_q2,1,0,1,1,1,1,1,▁▁▇▁▁
g_q3,0.99,0.06,0.5,1,1,1,1,▁▁▁▁▇
g_q4,0.96,0.13,0.5,1,1,1,1,▁▁▁▁▇
g_q5,0.9,0.21,0,1,1,1,1,▁▁▂▁▇
g_q6,0.97,0.12,0.5,1,1,1,1,▁▁▁▁▇
g_q7,0.99,0.08,0.5,1,1,1,1,▁▁▁▁▇
g_q8,0.92,0.18,0.5,1,1,1,1,▂▁▁▁▇
g_q9,0.96,0.14,0.5,1,1,1,1,▁▁▁▁▇
g_q10,0.99,0.08,0.5,1,1,1,1,▁▁▁▁▇
g_q11,1,0,1,1,1,1,1,▁▁▇▁▁
g_q12,1,0,1,1,1,1,1,▁▁▇▁▁
g_q13,1,0,1,1,1,1,1,▁▁▇▁▁
g_q14,1,0,1,1,1,1,1,▁▁▇▁▁
