skim_type,skim_variable,n_missing,complete_rate,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
numeric,g_code_1_manhattan,7,0.9166666666666666,0.7922077922077922,0.24802707501094012,0.5,0.5,1,1,1,▆▁▁▁▇
numeric,g_code_1_queens,7,0.9166666666666666,0.8051948051948052,0.24542986129394312,0.5,0.5,1,1,1,▅▁▁▁▇
numeric,g_output_1_mean_manhattan,0,1,0.7083333333333333,0.35743676948057107,0,0.5,1,1,1,▂▁▅▁▇
numeric,g_output_1_sd_manhattan,0,1,0.7023809523809523,0.36503051216787313,0,0.5,1,1,1,▂▁▅▁▇
numeric,g_output_1_mean_queens,0,1,0.7023809523809523,0.37319079731295884,0,0.5,1,1,1,▂▁▅▁▇
numeric,g_output_1_sd_queens,0,1,0.7023809523809523,0.37319079731295884,0,0.5,1,1,1,▂▁▅▁▇
numeric,g_code_2,0,1,0.8511904761904762,0.27746444366542855,0,0.875,1,1,1,▁▁▂▁▇
numeric,g_code_3,0,1,0.8690476190476191,0.291641052887282,0,1,1,1,1,▁▁▁▁▇
numeric,g_code_4,0,1,0.8869047619047619,0.2835998206810152,0,1,1,1,1,▁▁▁▁▇
numeric,g_code_5,0,1,0.8690476190476191,0.30179231288212854,0,1,1,1,1,▁▁▁▁▇
numeric,g_code_6_1,0,1,0.8988095238095238,0.2774644436654286,0,1,1,1,1,▁▁▁▁▇
numeric,g_code_6_2,0,1,0.9285714285714286,0.2590861737702311,0,1,1,1,1,▁▁▁▁▇
numeric,g_code_7_1,0,1,0.8988095238095238,0.2881156258936817,0,1,1,1,1,▁▁▁▁▇
numeric,g_code_7_2,0,1,0.9166666666666666,0.27804538648895305,0,1,1,1,1,▁▁▁▁▇
numeric,g_code_8,0,1,0.8452380952380952,0.310229127101812,0,1,1,1,1,▁▁▂▁▇
numeric,g_code_9,0,1,0.8392857142857142,0.31201554531201026,0,1,1,1,1,▁▁▂▁▇
numeric,g_q1,0,1,1,0,1,1,1,1,1,▁▁▇▁▁
numeric,g_q2,0,1,0.9761904761904762,0.10711894933108052,0.5,1,1,1,1,▁▁▁▁▇
numeric,g_q3,0,1,1,0,1,1,1,1,1,▁▁▇▁▁
numeric,g_q4,0,1,1,0,1,1,1,1,1,▁▁▇▁▁
numeric,g_q5,0,1,0.9940476190476191,0.054554472558998056,0.5,1,1,1,1,▁▁▁▁▇
numeric,g_q6,0,1,0.9940476190476191,0.054554472558998056,0.5,1,1,1,1,▁▁▁▁▇
numeric,g_q7,0,1,0.9761904761904762,0.1071189493310805,0.5,1,1,1,1,▁▁▁▁▇
numeric,g_q8,0,1,0.9821428571428571,0.09334572903506502,0.5,1,1,1,1,▁▁▁▁▇
numeric,g_q9,0,1,0.9583333333333334,0.13902269324447658,0.5,1,1,1,1,▁▁▁▁▇
numeric,g_q10,0,1,0.9880952380952381,0.07668549745042888,0.5,1,1,1,1,▁▁▁▁▇
numeric,g_q11,0,1,0.9880952380952381,0.10910894511799615,0,1,1,1,1,▁▁▁▁▇
numeric,g_q12,0,1,1,0,1,1,1,1,1,▁▁▇▁▁
numeric,g_q13,0,1,0.9880952380952381,0.10910894511799615,0,1,1,1,1,▁▁▁▁▇
