sales,price,brand,ad
8256,3.87,tropicana,0
6144,3.87,tropicana,0
3840,3.87,tropicana,0
8000,3.87,tropicana,0
8896,3.87,tropicana,0
7168,3.87,tropicana,0
10880,3.29,tropicana,0
7744,3.29,tropicana,0
8512,3.29,tropicana,0
5504,3.29,tropicana,0
5888,3.56,tropicana,0
8384,3.56,tropicana,0
5952,3.56,tropicana,0
6848,3.56,tropicana,0
9216,3.87,tropicana,0
12160,2.99,tropicana,0
12672,2.99,tropicana,0
6528,3.59,tropicana,0
6144,3.59,tropicana,0
21120,2.39,tropicana,0
12416,2.39,tropicana,0
9472,3.59,tropicana,0
17920,2.59,tropicana,0
9408,2.59,tropicana,0
6272,3.59,tropicana,0
6912,3.59,tropicana,0
16768,2.49,tropicana,0
6272,3.59,tropicana,0
7936,3.59,tropicana,0
6144,3.59,tropicana,0
7936,3.59,tropicana,0
7808,3.59,tropicana,0
6080,3.59,tropicana,0
42176.00001,1.69,tropicana,1
4928,3.59,tropicana,0
29503.99999,1.99,tropicana,1
9984,3.59,tropicana,0
35200.00001,1.99,tropicana,1
23936.00001,1.99,tropicana,0
7104,3.59,tropicana,0
24512.00001,2.29,tropicana,1
6336,3.59,tropicana,0
6080,3.59,tropicana,0
33536.00001,1.99,tropicana,0
13248,1.99,tropicana,0
6208,3.59,tropicana,0
10624,3.59,tropicana,0
44671.99999,1.99,tropicana,0
20096,1.99,tropicana,0
9152,3.59,tropicana,1
21952,2.19,tropicana,0
13568,2.19,tropicana,0
4160,3.59,tropicana,0
39424,1.99,tropicana,1
5632,3.59,tropicana,0
9024,2.68,tropicana,1
6016,3.44,tropicana,0
7744,3.14,tropicana,0
6784,3.07,tropicana,0
6784,3.07,tropicana,0
6272,3.07,tropicana,0
5312,3.07,tropicana,0
9216,3.11,tropicana,0
7296,3.19,tropicana,0
34239.99999,1.99,tropicana,1
7168,2.64,tropicana,0
6080,3.19,tropicana,0
5120,3.19,tropicana,0
8320,2.74,tropicana,0
17728,2.39,tropicana,0
13120,2.35,tropicana,0
13120,2.29,tropicana,0
9792,2.43,tropicana,0
3520,3.19,tropicana,0
5504,3.19,tropicana,0
6720,3.19,tropicana,0
20224,1.99,tropicana,1
5056,3.19,tropicana,0
43584.00002,1.99,tropicana,1
25728,1.79,tropicana,0
31807.99999,1.79,tropicana,0
20736,1.91,tropicana,0
15168,2.81,tropicana,0
28095.99999,2.5,tropicana,1
12416,2.58,tropicana,0
5376,3.19,tropicana,0
9792,2.67,tropicana,0
16960,2.39,tropicana,1
8320,3.19,tropicana,0
6912,3.19,tropicana,0
6976,3.19,tropicana,0
7232,3.19,tropicana,0
51520.00001,2.49,tropicana,1
22272,2.21,tropicana,0
46144.00002,1.99,tropicana,1
4352,3.19,tropicana,1
17280,2.69,tropicana,0
5696,3.19,tropicana,0
6848,3.19,tropicana,0
4416,3.19,tropicana,0
4672,3.16,tropicana,0
7168,3.09,tropicana,1
5056,3.19,tropicana,0
13376,2.79,tropicana,1
8128,2.75,tropicana,0
19456,2.49,tropicana,1
10048,2.64,tropicana,0
6336,3.19,tropicana,0
16192,2.79,tropicana,1
5824,2.97,tropicana,0
4480,3.17,minute.maid,0
4672,3.17,minute.maid,0
20160,2.39,minute.maid,1
2688,3.17,minute.maid,0
3008,3.17,minute.maid,0
4672,3.17,minute.maid,0
2752,3.17,minute.maid,0
26175.99999,2.19,minute.maid,1
3712,3.17,minute.maid,0
30656.00001,1.99,minute.maid,1
3840,2.98,minute.maid,0
2816,3.17,minute.maid,0
23104.00001,1.99,minute.maid,1
3392,3.17,minute.maid,0
26304,1.99,minute.maid,1
6336,1.99,minute.maid,0
9920,3.17,minute.maid,0
25279.99999,1.99,minute.maid,1
14848,1.99,minute.maid,0
12288,1.99,minute.maid,0
6272,1.99,minute.maid,0
9152,1.99,minute.maid,0
4160,2.59,minute.maid,0
10176,2.59,minute.maid,0
29055.99999,1.99,minute.maid,1
7104,2.59,minute.maid,0
7488,2.49,minute.maid,0
4224,2.49,minute.maid,0
8960,2.49,minute.maid,0
22464,1.99,minute.maid,1
3840,2.59,minute.maid,0
12992,2.59,minute.maid,0
70144.00001,1.69,minute.maid,1
21248,1.69,minute.maid,0
5696,2.59,minute.maid,1
7680,2.09,minute.maid,0
6336,2.09,minute.maid,0
8576,2.09,minute.maid,0
15104,2.09,minute.maid,0
76480.00002,1.39,minute.maid,1
5056,2.39,minute.maid,0
4736,2.39,minute.maid,0
4480,2.39,minute.maid,0
4032,2.39,minute.maid,0
14784,1.79,minute.maid,1
12096,2.39,minute.maid,0
41792.00002,1.69,minute.maid,1
10560,1.69,minute.maid,0
4224,2.39,minute.maid,0
2880,2.39,minute.maid,0
3968,2.39,minute.maid,0
3712,2.39,minute.maid,0
2816,2.39,minute.maid,0
4288,2.39,minute.maid,0
18240,1.99,minute.maid,1
7360,1.95,minute.maid,0
7808,1.83,minute.maid,0
13504,1.79,minute.maid,0
10048,1.91,minute.maid,0
135936,1.69,minute.maid,1
5056,2.39,minute.maid,0
27967.99999,1.49,minute.maid,0
4736,2.39,minute.maid,0
7808,2.14,minute.maid,0
12480,1.99,minute.maid,0
9664,1.99,minute.maid,0
7168,2.06,minute.maid,0
4480,2.39,minute.maid,0
5952,2.22,minute.maid,0
21696,1.99,minute.maid,1
12032,1.99,minute.maid,0
7040,2.12,minute.maid,0
10240,2.49,minute.maid,1
6848,2.49,minute.maid,1
3968,2.61,minute.maid,0
5888,2.26,minute.maid,0
6208,1.99,minute.maid,0
72256.00004,1.99,minute.maid,1
11520,2.11,minute.maid,0
5824,2.35,minute.maid,0
19392,1.99,minute.maid,1
9536,2.1,minute.maid,0
5312,2.28,minute.maid,0
14528,1.9,minute.maid,1
12416,2.12,minute.maid,0
5376,2.79,minute.maid,0
19008,2.09,minute.maid,1
3904,2.79,minute.maid,0
6336,2.79,minute.maid,0
5440,2.79,minute.maid,0
22400,2.09,minute.maid,1
3968,2.84,minute.maid,0
3264,2.89,minute.maid,0
4352,2.89,minute.maid,0
4480,2.89,minute.maid,0
3840,2.52,minute.maid,0
13312,2,minute.maid,1
3776,2.33,minute.maid,1
4800,2.89,minute.maid,0
24959.99999,2.29,minute.maid,1
4544,2.86,minute.maid,0
3968,2.81,minute.maid,1
49600.00001,1.99,minute.maid,1
23487.99999,1.94,minute.maid,1
19008,1.69,minute.maid,0
11584,1.81,minute.maid,0
26752,1.99,minute.maid,1
3904,2.83,minute.maid,0
3712,2.67,minute.maid,0
41215.99998,2.19,minute.maid,1
10560,1.59,dominicks,1
8000,2.69,dominicks,0
6848,2.09,dominicks,1
2880,2.09,dominicks,0
1600,2.09,dominicks,0
25344.00001,1.89,dominicks,1
10752,1.89,dominicks,0
6656,1.89,dominicks,0
6592,1.79,dominicks,0
1728,2.69,dominicks,0
33792,1.24,dominicks,1
1920,1.59,dominicks,0
8960,1.59,dominicks,1
11392,1.29,dominicks,0
28416.00001,0.99,dominicks,0
17152,1.59,dominicks,1
26560.00001,2.49,dominicks,1
6336,2.69,dominicks,0
26368.00001,1.39,dominicks,1
896,2.69,dominicks,0
1472,2.69,dominicks,0
1344,2.69,dominicks,0
111680,0.99,dominicks,1
1856,2.69,dominicks,0
5568,2.69,dominicks,0
32063.99999,1.49,dominicks,1
4352,1.49,dominicks,0
704,2.69,dominicks,0
13760,2.69,dominicks,0
43327.99999,1.09,dominicks,1
57600.00002,1.09,dominicks,1
704,2.69,dominicks,0
6016,2.69,dominicks,0
10368,1.59,dominicks,1
12608,1.59,dominicks,0
6336,1.59,dominicks,0
140736,0.99,dominicks,1
960,2.69,dominicks,1
1216,2.69,dominicks,0
1664,2.69,dominicks,0
4992,2.69,dominicks,0
27967.99999,1.59,dominicks,1
12160,1.59,dominicks,0
2240,2.69,dominicks,0
5504,1.49,dominicks,1
8832,1.29,dominicks,0
2624,1.99,dominicks,0
10432,1.99,dominicks,0
8320,1.59,dominicks,0
6784,1.99,dominicks,0
60543.99998,0.99,dominicks,1
20608,0.99,dominicks,0
16064,1.39,dominicks,0
12480,1.39,dominicks,0
17024,1.39,dominicks,0
13440,1.59,dominicks,1
10112,1.59,dominicks,0
9088,1.56,dominicks,0
22848,1.49,dominicks,1
6976,1.65,dominicks,0
4160,1.99,dominicks,0
3328,1.83,dominicks,0
12096,1.69,dominicks,1
6208,1.76,dominicks,0
3008,1.99,dominicks,0
19456,1.5,dominicks,1
16768,1.59,dominicks,0
