"sales","price","brand","feat","feat_char"
8255.99999982379,3.87,"tropicana",0,"No Ad"
6143.99999983099,3.87,"tropicana",0,"No Ad"
3840.00000007,3.87,"tropicana",0,"No Ad"
8000.00000030421,3.87,"tropicana",0,"No Ad"
8896.00000008573,3.87,"tropicana",0,"No Ad"
7168.00000032424,3.87,"tropicana",0,"No Ad"
10879.9999998919,3.29,"tropicana",0,"No Ad"
7744.00000033754,3.29,"tropicana",0,"No Ad"
8512.0000001581,3.29,"tropicana",0,"No Ad"
5503.99999992746,3.29,"tropicana",0,"No Ad"
5887.9999999487,3.56,"tropicana",0,"No Ad"
8384.00000032845,3.56,"tropicana",0,"No Ad"
5951.99999992306,3.56,"tropicana",0,"No Ad"
6847.99999985223,3.56,"tropicana",0,"No Ad"
9215.99999967124,3.87,"tropicana",0,"No Ad"
12159.9999997549,2.99,"tropicana",0,"No Ad"
12672.0000005803,2.99,"tropicana",0,"No Ad"
6527.99999971314,3.59,"tropicana",0,"No Ad"
6143.99999983099,3.59,"tropicana",0,"No Ad"
21119.9999995734,2.39,"tropicana",0,"No Ad"
12415.9999997144,2.39,"tropicana",0,"No Ad"
9471.99999977469,3.59,"tropicana",0,"No Ad"
17919.9999994817,2.59,"tropicana",0,"No Ad"
9407.99999963866,2.59,"tropicana",0,"No Ad"
6271.99999981031,3.59,"tropicana",0,"No Ad"
6912.00000011134,3.59,"tropicana",0,"No Ad"
16767.9999996517,2.49,"tropicana",0,"No Ad"
6271.99999981031,3.59,"tropicana",0,"No Ad"
7936.00000028007,3.59,"tropicana",0,"No Ad"
6143.99999983099,3.59,"tropicana",0,"No Ad"
7936.00000028007,3.59,"tropicana",0,"No Ad"
7808.00000005521,3.59,"tropicana",0,"No Ad"
6080.00000024191,3.59,"tropicana",0,"No Ad"
42176.0000058127,1.69,"tropicana",1,"Ad"
4927.99999993418,3.59,"tropicana",0,"No Ad"
29503.9999894871,1.99,"tropicana",1,"Ad"
9983.99999990806,3.59,"tropicana",0,"No Ad"
35200.0000145662,1.99,"tropicana",1,"Ad"
23936.0000054047,1.99,"tropicana",0,"No Ad"
7104.00000019887,3.59,"tropicana",0,"No Ad"
24512.0000112677,2.29,"tropicana",1,"Ad"
6336.00000003636,3.59,"tropicana",0,"No Ad"
6080.00000024191,3.59,"tropicana",0,"No Ad"
33536.0000107076,1.99,"tropicana",0,"No Ad"
13247.9999996683,1.99,"tropicana",0,"No Ad"
6208.00000022936,3.59,"tropicana",0,"No Ad"
10623.9999998277,3.59,"tropicana",0,"No Ad"
44671.999994548,1.99,"tropicana",0,"No Ad"
20096.0000006446,1.99,"tropicana",0,"No Ad"
9151.99999982081,3.59,"tropicana",1,"Ad"
21951.9999994378,2.19,"tropicana",0,"No Ad"
13567.9999995701,2.19,"tropicana",0,"No Ad"
4160.00000018591,3.59,"tropicana",0,"No Ad"
39424.0000042108,1.99,"tropicana",1,"Ad"
5631.99999978667,3.59,"tropicana",0,"No Ad"
9023.99999965854,2.68,"tropicana",1,"Ad"
6015.99999982147,3.44,"tropicana",0,"No Ad"
7744.00000033754,3.14,"tropicana",0,"No Ad"
6784.00000019172,3.07,"tropicana",0,"No Ad"
6784.00000019172,3.07,"tropicana",0,"No Ad"
6271.99999981031,3.07,"tropicana",0,"No Ad"
5312.00000023229,3.07,"tropicana",0,"No Ad"
9215.99999967124,3.11,"tropicana",0,"No Ad"
7296.0000003344,3.19,"tropicana",0,"No Ad"
34239.9999912456,1.99,"tropicana",1,"Ad"
7168.00000032424,2.64,"tropicana",0,"No Ad"
6080.00000024191,3.19,"tropicana",0,"No Ad"
5119.99999982821,3.19,"tropicana",0,"No Ad"
8319.99999987309,2.74,"tropicana",0,"No Ad"
17727.9999991666,2.39,"tropicana",0,"No Ad"
13120.0000000252,2.35,"tropicana",0,"No Ad"
13120.0000000252,2.29,"tropicana",0,"No Ad"
9792.00000046896,2.43,"tropicana",0,"No Ad"
3520.00000002766,3.19,"tropicana",0,"No Ad"
5503.99999992746,3.19,"tropicana",0,"No Ad"
6719.99999988444,3.19,"tropicana",0,"No Ad"
20223.9999990579,1.99,"tropicana",1,"Ad"
5055.99999986504,3.19,"tropicana",0,"No Ad"
