energy,label,iso3c,year,value
Coal,Electricity from coal (TWH),CHN,1985,260.645443
Coal,Electricity from coal (TWH),CHN,1986,299.6103564
Coal,Electricity from coal (TWH),CHN,1987,339.8617198
Coal,Electricity from coal (TWH),CHN,1988,373.6529812
Coal,Electricity from coal (TWH),CHN,1989,405.0600158
Coal,Electricity from coal (TWH),CHN,1990,441.2510072
Coal,Electricity from coal (TWH),CHN,1991,498.4339575
Coal,Electricity from coal (TWH),CHN,1992,567.3296095
Coal,Electricity from coal (TWH),CHN,1993,589.228472
Coal,Electricity from coal (TWH),CHN,1994,693.4083966
Coal,Electricity from coal (TWH),CHN,1995,741.8859008
Coal,Electricity from coal (TWH),CHN,1996,824.1841076
Coal,Electricity from coal (TWH),CHN,1997,867.026518
Coal,Electricity from coal (TWH),CHN,1998,891.674139
Coal,Electricity from coal (TWH),CHN,1999,969.6844324
Coal,Electricity from coal (TWH),CHN,2000,1034.310436
Coal,Electricity from coal (TWH),CHN,2001,1120.039759
Coal,Electricity from coal (TWH),CHN,2002,1264.724054
Coal,Electricity from coal (TWH),CHN,2003,1467.811272
Coal,Electricity from coal (TWH),CHN,2004,1684.861509
Coal,Electricity from coal (TWH),CHN,2005,1890.023667
Coal,Electricity from coal (TWH),CHN,2006,2207.127934
Coal,Electricity from coal (TWH),CHN,2007,2571.080178
Coal,Electricity from coal (TWH),CHN,2008,2651.488896
Coal,Electricity from coal (TWH),CHN,2009,2866.547
Coal,Electricity from coal (TWH),CHN,2010,3260.754
Coal,Electricity from coal (TWH),CHN,2011,3696.1
Coal,Electricity from coal (TWH),CHN,2012,3713.1
Coal,Electricity from coal (TWH),CHN,2013,3980.5
Coal,Electricity from coal (TWH),CHN,2014,3951
Coal,Electricity from coal (TWH),CHN,2015,3897.7
Coal,Electricity from coal (TWH),CHN,2016,3945.7
Coal,Electricity from coal (TWH),CHN,2017,4178.2
Coal,Electricity from coal (TWH),CHN,2018,4482.9
Coal,Electricity from coal (TWH),CHN,2019,4553.8
Coal,Electricity from coal (TWH),CHN,2020,4631.21459999999
Coal,Electricity from coal (TWH),USA,1985,1507.664651
Coal,Electricity from coal (TWH),USA,1986,1490.141346
Coal,Electricity from coal (TWH),USA,1987,1573.958375
Coal,Electricity from coal (TWH),USA,1988,1656.615886
Coal,Electricity from coal (TWH),USA,1989,1711.442534
Coal,Electricity from coal (TWH),USA,1990,1725.155171
Coal,Electricity from coal (TWH),USA,1991,1722.535851
Coal,Electricity from coal (TWH),USA,1992,1757.501372
Coal,Electricity from coal (TWH),USA,1993,1831.210785
Coal,Electricity from coal (TWH),USA,1994,1832.271952
Coal,Electricity from coal (TWH),USA,1995,1853.006902
Coal,Electricity from coal (TWH),USA,1996,1945.7542
Coal,Electricity from coal (TWH),USA,1997,1998.243409
Coal,Electricity from coal (TWH),USA,1998,2029.040774
Coal,Electricity from coal (TWH),USA,1999,2037.863243
Coal,Electricity from coal (TWH),USA,2000,1966.265
Coal,Electricity from coal (TWH),USA,2001,1903.955943
Coal,Electricity from coal (TWH),USA,2002,1933.130354
Coal,Electricity from coal (TWH),USA,2003,1973.73675
