Symbol,Company Name,Sector,Industry,Country,Market Cap
A,"Agilent Technologies, Inc.",Industrials,Diagnostics & Research,United States,40365434818.0
AA,Alcoa Corporation,Industrials,Aluminum,United States,6622135551.0
AAL,American Airlines Group Inc.,Consumer Discretionary,Airlines,United States,9088024606.0
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Specialty Retail,United States,4474665296.0
AAPL,Apple Inc,Technology,Consumer Electronics,United States,2614310453300.0
ABBV,AbbVie Inc.,Health Care,Drug Manufacturers - General,United States,281964477564.0
ABT,Abbott Laboratories,Health Care,Medical Devices,United States,186584366596.0
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,Bermuda,34010345444.0
ACM,AECOM,Consumer Discretionary,Engineering & Construction,United States,12793010269.0
ACN,Accenture plc,Consumer Discretionary,Information Technology Services,Ireland,193751749421.0
ADBE,Adobe Inc.,Technology,Software - Infrastructure,United States,213946880000.0
ADI,"Analog Devices, Inc.",Technology,Semiconductors,United States,100158569056.0
ADM,Archer-Daniels-Midland Company,Consumer Staples,Farm Products,United States,30641934095.0
ADP,"Automatic Data Processing, Inc.",Technology,Staffing & Employment Services,United States,99850863121.0
ADSK,"Autodesk, Inc.",Technology,Software - Application,United States,46618566777.0
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,United States,19614837943.0
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,32690590929.0
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,United States,44862497717.0
AER,AerCap Holdings N.V.,Consumer Discretionary,Rental & Leasing Services,Netherlands,17311140932.0
AES,The AES Corporation,Utilities,Utilities - Diversified,United States,12224040698.0
AFG,"American Financial Group, Inc.",Financial Services,Insurance - Property & Casualty,United States,10653479732.0
AFL,Aflac Incorporated,Financial Services,Insurance - Life,United States,48243666304.0
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,United States,6484491266.0
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,United States,50751475684.0
AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,United States,1165733911.0
AIZ,"Assurant, Inc.",Financial Services,Insurance - Specialty,United States,8985893366.0
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,United States,50755048000.0
AKAM,"Akamai Technologies, Inc.",Consumer Discretionary,Software - Infrastructure,United States,15407600904.0
ALB,Albemarle Corporation,Industrials,Specialty Chemicals,United States,13722056679.0
ALKS,Alkermes plc,Health Care,Drug Manufacturers - Specialty & Generic,Ireland,4123438962.0
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,United States,44739875269.0
ALLE,Allegion plc,Consumer Discretionary,Security & Protection Services,United States,10843610954.0
ALLY,Ally Financial Inc.,Financial Services,Credit Services,United States,11945605678.0
ALV,"Autoliv, Inc.",Consumer Discretionary,Auto Parts,Sweden,10106785332.0
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,United States,168987904263.0
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,United States,41007061714.0
AMG,"Affiliated Managers Group, Inc.",Financial Services,Asset Management,United States,5253619145.0
AMGN,Amgen Inc.,Health Care,Drug Manufacturers - General,United States,144687384892.0
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,United States,41120154646.0
AMT,American Tower Corporation,Real Estate,REIT - Specialty,United States,80068010592.0
AMZN,"Amazon.com, Inc.",Consumer Discretionary,Internet Retail,United States,1865781427489.0
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,United States,82754117096.0
ANSS,"ANSYS, Inc.",Technology,Software - Application,United States,29042193086.0
AOS,A. O. Smith Corporation,Consumer Discretionary,Specialty Industrial Machinery,United States,12248103855.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,United States,9806093462.0
APD,"Air Products and Chemicals, Inc.",Industrials,Specialty Chemicals,United States,52480832120.0
APH,Amphenol Corporation,Technology,Electronic Components,United States,72276511238.0
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts,United Kingdom,19870156480.0
AR,Antero Resources Corporation,Energy,Oil & Gas Exploration & Production,United States,10260598400.0
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,United States,20328415961.0
ARMK,Aramark,Consumer Discretionary,Specialty Business Services,United States,8490380139.0
ARW,"Arrow Electronics, Inc.",Technology,Electronics & Computer Distribution,United States,6919395248.0
ASH,Ashland Inc.,Consumer Discretionary,Specialty Chemicals,United States,4812124355.0
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,United States,17637687173.0
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,United States,27190746174.0
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,622870582015.0
AVT,"Avnet, Inc.",Technology,Electronics & Computer Distribution,United States,4527218615.0
AVY,Avery Dennison Corporation,Consumer Discretionary,Packaging & Containers,United States,17633812457.0
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,United States,23522547550.0
AXP,American Express Company,Financial Services,Credit Services,United States,169496571409.0
AXS,AXIS Capital Holdings Limited,Financial Services,Insurance - Specialty,Bermuda,5120866929.0
AXTA,Axalta Coating Systems Ltd.,Consumer Discretionary,Specialty Chemicals,United States,6872774265.0
AYI,"Acuity Brands, Inc.",Consumer Discretionary,Electrical Equipment & Parts,United States,7765991404.0
AZO,"AutoZone, Inc.",Consumer Discretionary,Specialty Retail,United States,50973994396.0
BA,The Boeing Company,Industrials,Aerospace & Defense,United States,102026808980.0
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,United States,297822634814.0
BAH,Booz Allen Hamilton Holding Corporation,Consumer Discretionary,Consulting Services,United States,18830016662.0
BALL,Ball Corporation,Industrials,Packaging & Containers,United States,22031845523.0
BAM,Brookfield Asset Management Inc.,Consumer Discretionary,Asset Management,,15485571250.0
BAP,Credicorp Ltd.,Financial Services,Banks - Regional,Peru,13286281800.0
BAX,Baxter International Inc.,Health Care,Medical Instruments & Supplies,United States,20379115047.0
BBWI,"Bath & Body Works, Inc.",Miscellaneous,Specialty Retail,United States,10354235551.0
BBY,"Best Buy Co., Inc.",Consumer Discretionary,Specialty Retail,United States,16164373695.0
BCE,BCE Inc.,Communication Services,Telecom Services,Canada,29758395658.0
BDX,"Becton, Dickinson and Company",Health Care,Medical Instruments & Supplies,United States,66895311820.0
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,United States,13158682496.0
BEP,Brookfield Renewable Partners L.P.,Utilities,Utilities - Renewable,Canada,10046725309.0
BFH,"Bread Financial Holdings, Inc.",Consumer Discretionary,Credit Services,United States,1827214412.0
BG,Bunge Limited,Consumer Staples,Farm Products,United States,14733352816.0
BHC,Bausch Health Companies Inc.,Health Care,Drug Manufacturers - Specialty & Generic,Canada,3182738111.0
BIDU,"Baidu, Inc.",Technology,Internet Content & Information,China,35247229941.0
BIIB,Biogen Inc.,Health Care,Drug Manufacturers - General,United States,30365870702.0
BIO,"Bio-Rad Laboratories, Inc.",Industrials,Medical Devices,United States,7869377230.0
BK,The Bank of New York Mellon Corporation,Financial Services,Asset Management,United States,43244351252.0
BKNG,Booking Holdings Inc.,Consumer Discretionary,Travel Services,United States,120318919749.0
BLK,"BlackRock, Inc.",Financial Services,Asset Management,United States,113625247534.0
BMO,Bank of Montreal,Financial Services,Banks - Diversified,Canada,65942769512.0
BMRN,BioMarin Pharmaceutical Inc.,Health Care,Biotechnology,United States,15265744576.0
BMY,Bristol-Myers Squibb Company,Health Care,Drug Manufacturers - General,United States,90695374483.0
BN,Brookfield Corporation,Consumer Discretionary,Asset Management,Canada,62022720061.0
BNS,The Bank of Nova Scotia,Financial Services,Banks - Diversified,Canada,56525908195.0
BOKF,BOK Financial Corporation,Financial Services,Banks - Regional,United States,5909790278.0
BR,"Broadridge Financial Solutions, Inc.",Consumer Discretionary,Information Technology Services,United States,22865476319.0
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,United States,23281419760.0
BRX,Brixmor Property Group Inc.,Real Estate,REIT - Retail,United States,6544074686.0
BSX,Boston Scientific Corporation,Health Care,Medical Devices,United States,107347387028.0
BWA,BorgWarner Inc.,Consumer Discretionary,Auto Parts,United States,7626399959.0
BX,Blackstone Inc.,Financial Services,Asset Management,United States,87536798068.0
BXP,"Boston Properties, Inc.",Real Estate,REIT - Office,United States,9657745380.0
C,Citigroup Inc.,Financial Services,Banks - Diversified,United States,119766242623.0
CAG,"Conagra Brands, Inc.",Consumer Staples,Packaged Foods,United States,14858190239.0
CAH,"Cardinal Health, Inc.",Health Care,Medical Distribution,United States,25104093721.0
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,United States,171476166629.0
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,Switzerland,99593496478.0
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,,19948465000.0
CBRE,"CBRE Group, Inc.",Financial Services,Real Estate Services,United States,26696420764.0
CBSH,"Commerce Bancshares, Inc.",Financial Services,Banks - Regional,United States,7196492660.0
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,United States,40633864873.0
CCK,"Crown Holdings, Inc.",Industrials,Packaging & Containers,United States,9733921231.0
CCL,Carnival Corporation & plc,Consumer Discretionary,Travel Services,United States,19754736408.0
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,United States,76883015990.0
CDW,CDW Corporation,Consumer Discretionary,Information Technology Services,United States,32514954729.0
CE,Celanese Corporation,Industrials,Chemicals,United States,16824953753.0
CERS,Cerus Corporation,Technology,Medical Devices,United States,309993460.0
CET,Central Securities Corp.,Financial Services,Asset Management,United States,9954496476.0
CF,"CF Industries Holdings, Inc.",Industrials,Agricultural Inputs,United States,15067031680.0
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,United States,16125298813.0
CFR,Cullen Frost Bankers Inc.,Financial Services,Banks - Regional,United States,6874845568.0
CHD,"Church & Dwight Co., Inc.",Consumer Discretionary,Household & Personal Products,United States,25918364154.0
CHK,Chesapeake Energy Corporation,Energy,Oil & Gas Exploration & Production,United States,12040966526.0
CHKP,Check Point Software Technologies Ltd.,Technology,Software - Infrastructure,Israel,17071451762.0
CHRW,"C.H. Robinson Worldwide, Inc.",Consumer Discretionary,Integrated Freight & Logistics,United States,8208069167.0
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,United States,36975854116.0
CI,Cigna Corporation,Health Care,Healthcare Plans,United States,103631084648.0
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,United States,17371017196.0
CL,Colgate-Palmolive Company,Consumer Discretionary,Household & Personal Products,United States,74914965138.0
CLX,The Clorox Company,Consumer Discretionary,Household & Personal Products,United States,18179095658.0
CM,Canadian Imperial Bank of Commerce,Financial Services,Banks - Diversified,Canada,44532101900.0
CMA,Comerica Incorporated,Financial Services,Banks - Regional,United States,6898736961.0
CMCSA,Comcast Corporation,Communication Services,Telecom Services,United States,153194537565.0
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,United States,75937344456.0
CMG,"Chipotle Mexican Grill, Inc.",Consumer Discretionary,Restaurants,United States,87390442968.0
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,United States,41300202436.0
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,United States,17472284411.0
CNA,CNA Financial Corporation,Financial Services,Insurance - Property & Casualty,United States,11713583902.0
CNC,Centene Corporation,Health Care,Healthcare Plans,United States,39579862000.0
CNHI,CNH Industrial N.V.,Industrials,Farm & Heavy Construction Machinery,United Kingdom,14333888582.0
CNI,Canadian National Railway Company,Industrials,Railroads,Canada,80627237271.0
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,United States,18221507268.0
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas Exploration & Production,Canada,83615651760.0
COF,Capital One Financial Corporation,Financial Services,Credit Services,United States,55590828686.0
COMM,"CommScope Holding Company, Inc.",Technology,Communication Equipment,United States,198664032.0
COO,"The Cooper Companies, Inc.",Health Care,Medical Instruments & Supplies,United States,17657508271.0
COP,Conoco Phillips,Energy,Oil & Gas Exploration & Production,United States,153215425848.0
COR,Cencora,Health Care,Medical Distribution,United States,48051222474.0
COST,Costco Wholesale Corporation,Consumer Discretionary,Discount Stores,United States,323394272970.0
COTY,Coty Inc.,Consumer Discretionary,Household & Personal Products,United States,10258635388.0
CP,Canadian Pacific Railway Limited,Industrials,Railroads,Canada,76101256000.0
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods,United States,13369901655.0
CPG,Veren Inc.,Energy,Oil & Gas Exploration & Production,Canada,5622941874.0
CPRI,Capri Holdings Limited,Consumer Discretionary,Luxury Goods,Hong Kong,4142779203.0
CPRT,"Copart, Inc.",Consumer Discretionary,Specialty Business Services,United States,53582267786.0
CPT,Camden Property Trust,Real Estate,REIT - Residential,United States,10656245504.0
CRM,"Salesforce, Inc.",Technology,Software - Application,United States,266061300000.0
CSCO,"Cisco Systems, Inc.",Communication Services,Communication Equipment,United States,193794093649.0
CSGP,"CoStar Group, Inc.",Financial Services,Real Estate Services,United States,37839123591.0
CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,United States,19126447591.0
CSX,CSX Corporation,Industrials,Railroads,United States,66447974236.0
CTAS,Cintas Corporation,Consumer Discretionary,Specialty Business Services,United States,67597860381.0
CTRA,Coterra Energy Inc.,Energy,Oil & Gas Exploration & Production,United States,21269763851.0
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,United States,33325545622.0
CVE,Cenovus Energy Inc.,Energy,Oil & Gas Integrated,Canada,40054869477.0
CVS,CVS Health Corporation,Consumer Staples,Healthcare Plans,United States,84542640971.0
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,United States,308102380952.0
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,United States,42249012316.0
DAL,"Delta Air Lines, Inc.",Consumer Discretionary,Airlines,United States,32213989167.0
DB,Deutsche Bank Aktiengesellschaft,Financial Services,Banks - Regional,Germany,36250800000.0
DCI,"Donaldson Company, Inc.",Industrials,Specialty Industrial Machinery,United States,8699076808.0
DD,"DuPont de Nemours, Inc.",Industrials,Specialty Chemicals,United States,30780032905.0
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,United States,109486634739.0
DEI,"Douglas Emmett, Inc.",Real Estate,REIT - Office,United States,2237495170.0
DELL,Dell Technologies Inc.,Technology,Computer Hardware,United States,89266619295.0
DFS,Discover Financial Services,Financial Services,Credit Services,United States,31995911044.0
DG,Dollar General Corporation,Consumer Discretionary,Discount Stores,United States,31208703864.0
DGX,Quest Diagnostics Incorporated,Health Care,Diagnostics & Research,United States,14863561158.0
DHI,"D.R. Horton, Inc.",Consumer Discretionary,Residential Construction,United States,47858949002.0
DHR,Danaher Corporation,Industrials,Diagnostics & Research,United States,182638487280.0
DIS,The Walt Disney Company,Consumer Discretionary,Entertainment,United States,206780890952.0
DKS,"DICK'S Sporting Goods, Inc.",Consumer Discretionary,Specialty Retail,United States,17076699145.0
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,United States,44604889603.0
DLTR,"Dollar Tree, Inc.",Consumer Discretionary,Discount Stores,United States,26537252611.0
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,United States,25205183034.0
DOX,Amdocs Limited,Technology,Software - Infrastructure,Guernsey,9972217659.0
DPZ,"Domino's Pizza, Inc.",Consumer Discretionary,Restaurants,United States,17373985668.0
DRI,"Darden Restaurants, Inc.",Consumer Discretionary,Restaurants,United States,18631931627.0
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,United States,22610730917.0
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,United States,75315986389.0
DVA,DaVita Inc.,Health Care,Medical Care Facilities,United States,11708827000.0
DVN,Devon Energy Corporation,Energy,Oil & Gas Exploration & Production,United States,33470850000.0
DXC,DXC Technology Company,Technology,Information Technology Services,United States,3672042572.0
DXCM,"DexCom, Inc.",Health Care,Medical Devices,United States,47934987447.0
EA,Electronic Arts Inc.,Technology,Electronic Gaming & Multimedia,United States,34194123962.0
EBAY,eBay Inc.,Consumer Discretionary,Internet Retail,United States,26946360000.0
ECL,Ecolab Inc.,Consumer Discretionary,Specialty Chemicals,United States,63126958571.0
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,United States,32108247181.0
EDU,New Oriental Education & Technology Group Inc.,Real Estate,Education & Training Services,China,13780564839.0
EFX,Equifax Inc.,Financial Services,Consulting Services,United States,27617238880.0
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,Bermuda,15821259673.0
