skim_variable,mean,sd,p0,p25,p50,p75,p100,hist
1,0.98,0.15,0,1,1,1,1,▁▁▁▁▇
2,0.69,0.47,0,0,1,1,1,▃▁▁▁▇
3,0.64,0.48,0,0,1,1,1,▅▁▁▁▇
4,0.31,0.47,0,0,0,1,1,▇▁▁▁▃
5,0.62,0.49,0,0,1,1,1,▅▁▁▁▇
6,0.79,0.42,0,1,1,1,1,▂▁▁▁▇
7,0.88,0.33,0,1,1,1,1,▁▁▁▁▇
8,0.88,0.33,0,1,1,1,1,▁▁▁▁▇
9,0.81,0.4,0,1,1,1,1,▂▁▁▁▇
10,0.57,0.5,0,0,1,1,1,▆▁▁▁▇
11,0.55,0.5,0,0,1,1,1,▆▁▁▁▇
12,0.45,0.5,0,0,0,1,1,▇▁▁▁▆
13,0.24,0.43,0,0,0,0,1,▇▁▁▁▂
14,0.58,0.27,0,0.5,0.5,0.5,1,▁▁▇▁▃
15,0.46,0.46,0,0,0.25,1,1,▇▃▁▁▇
16,0.63,0.43,0,0,0.75,1,1,▅▁▁▃▇
17,0.83,0.38,0,1,1,1,1,▂▁▁▁▇
18,0.19,0.4,0,0,0,0,1,▇▁▁▁▂
19,0.4,0.49,0,0,0,1,1,▇▁▁▁▅
20,0.74,0.45,0,0.25,1,1,1,▃▁▁▁▇
21,0.6,0.5,0,0,1,1,1,▆▁▁▁▇
22,0.76,0.43,0,1,1,1,1,▂▁▁▁▇
23,0.24,0.43,0,0,0,0,1,▇▁▁▁▂
24,0.88,0.33,0,1,1,1,1,▁▁▁▁▇
25,0.98,0.15,0,1,1,1,1,▁▁▁▁▇
26,0.5,0.51,0,0,0.5,1,1,▇▁▁▁▇
27,0.71,0.46,0,0,1,1,1,▃▁▁▁▇
28,0.95,0.22,0,1,1,1,1,▁▁▁▁▇
29,0.67,0.48,0,0,1,1,1,▃▁▁▁▇
30,0.6,0.5,0,0,1,1,1,▆▁▁▁▇
31,0.48,0.51,0,0,0,1,1,▇▁▁▁▇
32,0.19,0.4,0,0,0,0,1,▇▁▁▁▂
33,0.9,0.3,0,1,1,1,1,▁▁▁▁▇
34,0.48,0.51,0,0,0,1,1,▇▁▁▁▇
35,0.45,0.5,0,0,0,1,1,▇▁▁▁▆
36,0.52,0.51,0,0,1,1,1,▇▁▁▁▇
37,0.86,0.35,0,1,1,1,1,▁▁▁▁▇
38,0.36,0.48,0,0,0,1,1,▇▁▁▁▅
39_sd,1,0,1,1,1,1,1,▁▁▇▁▁
39_unit,0.45,0.37,0,0.25,0.25,0.6875,1.5,▇▁▁▂▁
40_limit,0.6,0.4,0,0.25,0.425,1,1,▁▇▁▁▇
40_sol,0.53,0.42,0,0.25,0.25,1,1,▃▇▁▁▇
