question,mean,sd,p0,p25,p50,p75,p100,hist
1,1,0,1,1,1,1,1,▁▁▇▁▁
2,0.98,0.15,0,1,1,1,1,▁▁▁▁▇
3,0.69,0.47,0,0,1,1,1,▃▁▁▁▇
4,0.5,0.51,0,0,0.5,1,1,▇▁▁▁▇
5,0.67,0.48,0,0,1,1,1,▃▁▁▁▇
6,0.69,0.47,0,0,1,1,1,▃▁▁▁▇
7,0.71,0.46,0,0,1,1,1,▃▁▁▁▇
8,0.69,0.47,0,0,1,1,1,▃▁▁▁▇
9,0.63,0.35,0,0.5,0.5,1,1,▂▁▇▁▇
10,0.15,0.34,0,0,0,0,1,▇▁▁▁▁
11,0.71,0.46,0,0,1,1,1,▃▁▁▁▇
12,0.71,0.46,0,0,1,1,1,▃▁▁▁▇
13,0.68,0.38,0,0.5,1,1,1,▂▁▅▁▇
14,0.69,0.47,0,0,1,1,1,▃▁▁▁▇
15,0.67,0.48,0,0,1,1,1,▃▁▁▁▇
16,0.36,0.48,0,0,0,1,1,▇▁▁▁▅
17,0.71,0.46,0,0,1,1,1,▃▁▁▁▇
18,0.76,0.43,0,1,1,1,1,▂▁▁▁▇
19,0.74,0.45,0,0.25,1,1,1,▃▁▁▁▇
20,0.57,0.5,0,0,1,1,1,▆▁▁▁▇
21,0.62,0.49,0,0,1,1,1,▅▁▁▁▇
22,0.62,0.49,0,0,1,1,1,▅▁▁▁▇
23,0.24,0.43,0,0,0,0,1,▇▁▁▁▂
24,0.38,0.49,0,0,0,1,1,▇▁▁▁▅
25,0.55,0.5,0,0,1,1,1,▆▁▁▁▇
26,0.57,0.5,0,0,1,1,1,▆▁▁▁▇
27,0.79,0.42,0,1,1,1,1,▂▁▁▁▇
28,0.33,0.48,0,0,0,1,1,▇▁▁▁▃
29_sd,0.99,0.08,0.5,1,1,1,1,▁▁▁▁▇
29_unit,0.46,0.36,0,0.25,0.25,0.6875,1.25,▇▂▁▁▁
30_list,0.76,0.35,0,0.5,1,1,1,▂▁▂▂▇
30-description,0.69,0.38,0,0.5,0.875,1,1,▂▁▃▂▇
