name,year_501c3,year_fiscal_sponsor,n_sponsored,project,model_A,model_B,model_C,model_D
AfroPresencia,2008,2009,NA,economic,FALSE,FALSE,FALSE,TRUE
AfroPresencia,2008,2009,NA,sustainable,FALSE,FALSE,FALSE,TRUE
AfroPresencia,2008,2009,NA,international,FALSE,FALSE,FALSE,TRUE
AfroPresencia,2008,2009,NA,political,FALSE,FALSE,FALSE,TRUE
AfroPresencia,2008,2009,NA,social,FALSE,FALSE,FALSE,TRUE
AfroPresencia,2008,2009,NA,social,FALSE,FALSE,FALSE,TRUE
A God Send,2002,2018,7,religious,FALSE,FALSE,TRUE,FALSE
AIDS Connecticut (ACT),1989,2004,1,economic,TRUE,FALSE,FALSE,FALSE
AIDS Connecticut (ACT),1989,2004,1,political,TRUE,FALSE,FALSE,FALSE
AIDS Connecticut (ACT),1989,2004,1,social,TRUE,FALSE,FALSE,FALSE
AIDS Connecticut (ACT),1989,2004,1,social,TRUE,FALSE,FALSE,FALSE
AIDS Connecticut (ACT),1989,2004,1,human,TRUE,FALSE,FALSE,FALSE
AIDS Connecticut (ACT),1989,2004,1,organizational,TRUE,FALSE,FALSE,FALSE
AJ Muste Memorial Institute,1973,1973,15,sustainable,FALSE,FALSE,TRUE,FALSE
AJ Muste Memorial Institute,1973,1973,15,political,FALSE,FALSE,TRUE,FALSE
AJ Muste Memorial Institute,1973,1973,15,social,FALSE,FALSE,TRUE,FALSE
AJ Muste Memorial Institute,1973,1973,15,fiscal,FALSE,FALSE,TRUE,FALSE
"Another Choice, Another Chance",1987,1996,1,religious,TRUE,FALSE,FALSE,FALSE
"Another Choice, Another Chance",1987,1996,1,social,TRUE,FALSE,FALSE,FALSE
Arts Services Inc.,2011,2017,34,special,FALSE,FALSE,TRUE,FALSE
Austin Creative Alliance,1981,NA,80,visual,FALSE,FALSE,TRUE,FALSE
Austin Creative Alliance,1981,NA,80,creative,FALSE,FALSE,TRUE,FALSE
Baltimore Civic Fund,1981,1981,100,economic,FALSE,FALSE,TRUE,FALSE
Baltimore Civic Fund,1981,1981,100,sustainable,FALSE,FALSE,TRUE,FALSE
Baltimore Civic Fund,1981,1981,100,religious,FALSE,FALSE,TRUE,FALSE
Baltimore Civic Fund,1981,1981,100,political,FALSE,FALSE,TRUE,FALSE
Baltimore Civic Fund,1981,1981,100,social,FALSE,FALSE,TRUE,FALSE
Baltimore Civic Fund,1981,1981,100,social,FALSE,FALSE,TRUE,FALSE
BASICS,1997,1997,11,economic,TRUE,TRUE,FALSE,FALSE
BASICS,1997,1997,11,religious,TRUE,TRUE,FALSE,FALSE
BASICS,1997,1997,11,political,TRUE,TRUE,FALSE,FALSE
BASICS,1997,1997,11,social,TRUE,TRUE,FALSE,FALSE
BASICS,1997,1997,11,social,TRUE,TRUE,FALSE,FALSE
BE Meditation Group,2016,2016,3,social,FALSE,TRUE,TRUE,FALSE
BE Meditation Group,2016,2016,3,individual,FALSE,TRUE,TRUE,FALSE
Berkeley Partners for Parks,1994,NA,NA,geographic,TRUE,FALSE,FALSE,FALSE
Berkeley Partners for Parks,1994,NA,NA,environmental,TRUE,FALSE,FALSE,FALSE
Berkeley Partners for Parks,1994,NA,NA,advisory,TRUE,FALSE,FALSE,FALSE
Betty Jean Brown Foundation,2004,2015,1,economic,FALSE,FALSE,TRUE,FALSE
Betty Jean Brown Foundation,2004,2015,1,sustainable,FALSE,FALSE,TRUE,FALSE
Betty Jean Brown Foundation,2004,2015,1,religious,FALSE,FALSE,TRUE,FALSE
Betty Jean Brown Foundation,2004,2015,1,international,FALSE,FALSE,TRUE,FALSE
