Rank,Company,Ticker,Sector,Industry,Revenues_M,Profits_M,Number_of_employees,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,MarketCap_March31_M,RevenuePercentChange,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
1,Walmart,WMT,Retailing,General Merchandisers,611289,11680,2100000,yes,no,no,no,0,no,no,no,yes,no,397475,6.7,-14.6,243197,C. Douglas McMillon,U.S.,Bentonville,AR,www.stock.walmart.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",416986,2023-08-02
2,Amazon,AMZN,Retailing,Internet Services and Retailing,513983,-2722,1541000,no,no,no,no,0,no,no,no,yes,no,1058440,9.4,-108.2,462675,Andrew R. Jassy,U.S.,Seattle,WA,www.amazon.com,Public,"Market value as of July 17, 2023.",1370373,2023-08-02
3,Exxon Mobil,XOM,Energy,Petroleum Refining,413680,55740,62000,yes,no,no,no,3,yes,no,no,yes,no,446424,44.8,141.9,369067,Darren W. Woods,U.S.,Irving,TX,www.exxonmobil.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",409878,2023-08-02
4,Apple,AAPL,Technology,"Computers, Office Equipment",394328,99803,164000,yes,no,no,yes,-1,no,yes,no,yes,no,2609039,7.8,5.4,352755,Timothy D. Cook,U.S.,Cupertino,CA,www.apple.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",3051211,2023-08-02
5,UnitedHealth Group,UNH,Health Care,Health Care: Insurance and Managed Care,324162,20120,400000,yes,no,no,yes,0,no,no,no,yes,no,440854,12.7,16.4,245705,Andrew P. Witty,U.S.,Minnetonka,MN,www.unitedhealthgroup.com,Public,"Market value as of July 17, 2023.",450694,2023-08-02
6,CVS Health,CVS,Health Care,Health Care: Pharmacy and Other Services,322467,4149,259500,yes,no,yes,yes,-2,no,yes,no,yes,no,95422,10.4,-47.5,228275,Karen S. Lynch,U.S.,Woonsocket,RI,www.cvshealth.com,Public,"Market value as of July 17, 2023.",91242,2023-08-02
7,Berkshire Hathaway,BRKA,Financials,Insurance: Property and Casualty (Stock),302089,-22819,383000,no,no,no,yes,0,no,no,no,yes,no,675657,9.4,-125.4,948452,Warren E. Buffett,U.S.,Omaha,NE,www.berkshirehathaway.com,Public,"Market value as of July 17, 2023.",752829,2023-08-02
8,Alphabet,GOOGL,Technology,Internet Services and Retailing,282836,59972,190234,yes,no,no,yes,0,no,no,no,yes,no,1330201,9.8,-21.1,365264,Sundar Pichai,U.S.,Mountain View,CA,www.abc.xyz,Public,"Market value as of July 17, 2023.",1585270,2023-08-02
9,McKesson,MCK,Health Care,Wholesalers: Health Care,263966,1114,66500,yes,no,no,no,0,no,no,no,yes,no,48757,10.8,NA,63298,Brian S. Tyler,U.S.,Irving,TX,www.mckesson.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of July 17, 2023.",55787,2023-08-02
10,Chevron,CVX,Energy,Petroleum Refining,246252,35465,43846,yes,no,no,yes,6,yes,no,no,yes,no,311093,51.6,127,257709,Michael K. Wirth,U.S.,San Ramon,CA,www.chevron.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",290714,2023-08-02
11,AmerisourceBergen,ABC,Health Care,Wholesalers: Health Care,238587,1699,41500,yes,no,no,yes,-1,no,yes,no,yes,no,32384,11.5,10.3,56561,Steven H. Collis,U.S.,Conshohocken,PA,www.amerisourcebergen.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",38809,2023-08-02
12,Costco Wholesale,COST,Retailing,General Merchandisers,226954,5844,304000,yes,no,no,yes,-1,no,yes,no,yes,no,220354,15.8,16.7,64166,W. Craig Jelinek,U.S.,Issaquah,WA,www.costco.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of July 17, 2023.",245043,2023-08-02
13,Microsoft,MSFT,Technology,Computer Software,198270,72738,221000,yes,no,no,yes,1,yes,no,no,yes,no,2146049,18,18.7,364840,Satya Nadella,U.S.,Redmond,WA,www.microsoft.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",2570671,2023-08-02
14,Cardinal Health,CAH,Health Care,Wholesalers: Health Care,181364,-933,46035,no,no,no,no,1,yes,no,no,yes,no,19452,11.6,-252.7,43878,Jason Hollar,U.S.,Dublin,OH,www.cardinalhealth.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",23797,2023-08-02
15,Cigna,CI,Health Care,Health Care: Pharmacy and Other Services,180516,6668,70231,yes,no,no,no,-3,no,yes,no,yes,no,75901,3.7,24.3,143932,David M. Cordani,U.S.,Bloomfield,CT,www.thecignagroup.com,Public,"Market value as of July 17, 2023.",83187,2023-08-02
