"sat","tothrs","cumgpa","season","frstsem","crsgpa","verbmath","trmgpa","hssize","hsrank","id","female","black","white","ctrmgpa","ctothrs","ccrsgpa","ccrspop","cseason","hsperc","football"
920,43,2.03999996185303,1,0,2.50769996643066,0.483869999647141,2.25,10,4,22,1,0,0,0.75,12,-0.138700008392334,-62.25,1,40,0
780,43,2.08999991416931,1,0,2.88389992713928,0.813950002193451,1.60000002384186,123,102,35,0,0,1,-0.600000023841858,15,0.0160000324249268,-73.25,1,82.9268264770508,0
810,14,1.77999997138977,1,0,2.55999994277954,0.883719980716705,1.28999996185303,119,42,36,0,0,1,-0.310000061988831,14,-0.203400135040283,72.3299560546875,1,35.294116973877,0
1080,17,2,0,0,2.47639989852905,0.800000011920929,2.73000001907349,318,31,156,0,0,1,0.730000019073486,17,-0.0385000705718994,-320.199951171875,-1,9.74842739105225,0
960,106,2.41000008583069,0,0,2.74140000343323,1,2.59999990463257,383,66,246,0,0,1,-0.200000047683716,15,-0.112099885940552,-92.8000183105469,-1,17.2323760986328,0
790,12,1.1599999666214,0,0,2.59179997444153,1.13513994216919,0.25,44,27,264,0,1,0,-1.03999996185303,12,0.178099870681763,-661.169982910156,-1,61.3636360168457,0
820,41,1.87000000476837,1,0,2.92890000343323,0.78260999917984,2,344,36,326,1,1,0,0.5,16,0.299200057983398,-780.599975585938,0,10.4651165008545,0
820,42,2.08999991416931,0,0,2.70919990539551,0.906979978084564,1.60000002384186,228,155,410,0,0,1,-0.899999976158142,12,0.0978000164031982,-323,-1,67.9824523925781,0
1040,17,2.17000007629395,1,0,2.56430006027222,0.925930023193359,2.13000011444092,91,8,412,0,0,1,-0.0499999523162842,17,0.166000127792358,-113.5,0,8.79120922088623,0
730,50,1.89999997615814,0,0,2.86960005760193,0.780489981174469,2.5,482,273,428,0,1,0,0.75,16,0.0710000991821289,14.5,-1,56.6390037536621,1
