tconst,title_type,primary_title,simple_title,year,runtime_minutes,average_rating,num_votes
tt0020356,movie,Sailor's Holiday,sailors holiday,1929,58,5.4,55
tt0020823,movie,The Devil's Holiday,the devils holiday,1930,80,6,242
tt0020985,movie,Holiday,holiday,1930,91,6.3,638
tt0021268,movie,Holiday of St. Jorgen,holiday of st jorgen,1930,83,7.4,256
tt0021377,movie,Sin Takes a Holiday,sin takes a holiday,1930,81,6.1,740
tt0021381,movie,Sinners' Holiday,sinners holiday,1930,60,6.3,688
tt0023039,movie,Husband's Holiday,husbands holiday,1931,70,6.4,27
tt0024869,movie,Beggar's Holiday,beggars holiday,1934,60,5.6,15
tt0025006,movie,Cowboy Holiday,cowboy holiday,1934,56,4.8,74
tt0025037,movie,Death Takes a Holiday,death takes a holiday,1934,79,6.9,2361
tt0027456,movie,College Holiday,college holiday,1936,86,5.7,190
tt0027923,movie,Mad Holiday,mad holiday,1936,71,6,212
tt0028310,movie,Stolen Holiday,stolen holiday,1937,80,6.3,615
tt0028576,movie,Angel's Holiday,angels holiday,1937,76,6.4,32
tt0028763,movie,Dangerous Holiday,dangerous holiday,1937,58,5.8,57
tt0028843,movie,Every Day's a Holiday,every days a holiday,1937,79,6.2,466
tt0029894,movie,Bank Holiday,bank holiday,1938,86,6.4,530
tt0029992,movie,A Christmas Carol,a christmas carol,1938,69,7.5,8312
tt0030027,movie,Crime Takes a Holiday,crime takes a holiday,1938,59,6.5,25
tt0030241,movie,Holiday,holiday,1938,95,7.7,17619
tt0030897,movie,Tropic Holiday,tropic holiday,1938,78,5.5,106
tt0031490,movie,Inspector Hornleigh on Holiday,inspector hornleigh on holiday,1939,90,6.8,232
tt0032338,movie,Christmas in July,christmas in july,1940,67,7.4,4172
tt0034862,movie,Holiday Inn,holiday inn,1942,100,7.3,16722
tt0036014,movie,Hoosier Holiday,hoosier holiday,1943,65,6.7,19
tt0036711,movie,Christmas Holiday,christmas holiday,1944,93,6.5,1583
tt0036988,movie,Knickerbocker Holiday,knickerbocker holiday,1944,85,5.3,196
tt0037242,movie,Sailor's Holiday,sailors holiday,1944,60,6,21
tt0037595,movie,Christmas in Connecticut,christmas in connecticut,1945,101,7.3,11196
tt0038125,movie,Strange Holiday,strange holiday,1945,61,5.4,239
tt0038606,movie,Holiday in Mexico,holiday in mexico,1946,128,6.1,490
tt0038833,movie,Perilous Holiday,perilous holiday,1946,89,6,33
tt0039203,movie,Blondie's Holiday,blondies holiday,1947,67,6.5,195
tt0039231,movie,Bush Christmas,bush christmas,1947,80,6.2,515
tt0039266,movie,Christmas Eve,christmas eve,1947,90,5.7,805
tt0039473,movie,Hoppy's Holiday,hoppys holiday,1947,60,6.5,148
tt0039562,movie,A Christmas Carol,a christmas carol,1947,80,5.4,32
tt0040443,movie,Holiday Camp,holiday camp,1947,93,6.6,537
tt0040848,movie,Summer Holiday,summer holiday,1948,93,5.8,638
tt0041099,movie,Holidays in Hell,holidays in hell,1949,NA,5.9,19
tt0041473,movie,Holiday Affair,holiday affair,1949,87,7.1,6591
tt0041475,movie,Holiday in Havana,holiday in havana,1949,73,5.9,125
tt0041528,movie,Johnny Holiday,johnny holiday,1949,92,7.3,104
tt0042568,movie,Holiday Rhythm,holiday rhythm,1950,60,6.6,34
tt0042665,movie,Last Holiday,last holiday,1950,88,7.3,2067
tt0044008,movie,A Christmas Carol,a christmas carol,1951,86,8.1,24671
tt0044708,movie,Holiday Week,holiday week,1952,82,6.1,206
tt0044715,movie,Holiday for Sinners,holiday for sinners,1952,72,5.9,184
tt0046250,movie,Roman Holiday,roman holiday,1953,118,8,145289
tt0046487,movie,Monsieur Hulot's Holiday,monsieur hulots holiday,1953,114,7.3,19875
tt0047673,movie,White Christmas,white christmas,1954,120,7.6,47688
tt0047939,movie,Cinerama Holiday,cinerama holiday,1955,119,7.3,142
tt0048104,movie,Holiday for Henrietta,holiday for henrietta,1952,118,7.4,391
tt0051147,movie,Holiday Island,holiday island,1957,105,6.1,70
tt0051493,movie,Country Music Holiday,country music holiday,1958,81,5.9,82
tt0052047,movie,Paris Holiday,paris holiday,1958,103,5.7,513
tt0052284,movie,"At That Time, at Christmas...",at that time at christmas,1958,85,6.5,20
tt0052897,movie,Holiday for Lovers,holiday for lovers,1959,103,5.6,426
tt0054271,movie,Holiday in Spain,holiday in spain,1960,125,5.5,399
tt0056334,movie,Passion Holiday,passion holiday,1963,75,6.1,12
tt0057541,movie,Summer Holiday,summer holiday,1963,107,6.1,1816
tt0057637,movie,The Night Before Christmas,the night before christmas,1961,68,7.5,1934
tt0057916,tvMovie,Carol for Another Christmas,carol for another christmas,1964,84,6.5,1246
tt0058197,movie,Holiday in St. Tropez,holiday in st tropez,1964,96,5.7,37
tt0059004,movie,Every Day Is a Holiday,every day is a holiday,1965,90,5.4,70
tt0059026,tvMovie,A Charlie Brown Christmas,a charlie brown christmas,1965,25,8.3,42101
tt0059032,movie,The Christmas That Almost Wasn't,the christmas that almost wasnt,1966,94,3.5,917
tt0060236,movie,The Christmas Tree,the christmas tree,1966,59,6.4,168
tt0060345,tvMovie,How the Grinch Stole Christmas!,how the grinch stole christmas,1966,26,8.3,56692
tt0061844,movie,The Christmas Kid,the christmas kid,1967,85,5.4,66
tt0064037,movie,The Christmas Tree,the christmas tree,1969,110,6.3,719
tt0065040,movie,Strange Holiday,strange holiday,1970,75,4.4,85
tt0066975,tvMovie,Death Takes a Holiday,death takes a holiday,1971,73,7.2,291
tt0067209,tvMovie,The Homecoming: A Christmas Story,the homecoming a christmas story,1971,100,8.3,2039
tt0067400,movie,The Christmas Martian,the christmas martian,1971,65,4.8,186
tt0068683,movie,Main Thing Holidays,main thing holidays,1972,103,4.8,90
tt0068708,tvMovie,Home for the Holidays,home for the holidays,1972,73,6.2,1265
tt0068720,tvMovie,The House Without a Christmas Tree,the house without a christmas tree,1972,75,8,874
tt0070004,tvMovie,A Dream for Christmas,a dream for christmas,1973,100,6.7,112
tt0071222,movie,Black Christmas,black christmas,1974,98,7.1,46105
tt0071613,movie,Holiday on the Buses,holiday on the buses,1973,87,5.8,2020
tt0073751,tvMovie,The First Christmas: The Story of the First Christmas Snow,the first christmas the story of the first christmas snow,1975,22,6.8,579
tt0074813,movie,Olympian Holiday,olympian holiday,1976,113,6.5,413
tt0075128,movie,Journey to the Christmas Star,journey to the christmas star,1976,92,6.5,1355
tt0075449,tvMovie,Young Pioneers' Christmas,young pioneers christmas,1976,100,6.9,86
tt0075846,tvMovie,"Christmas Miracle in Caufield, U.S.A.",christmas miracle in caufield usa,1977,97,5.8,171
tt0075875,movie,Confessions from a Holiday Camp,confessions from a holiday camp,1977,88,4.2,1030
tt0075988,tvMovie,Emmet Otter's Jug-Band Christmas,emmet otters jugband christmas,1977,48,8.2,4460
tt0076213,tvMovie,It Happened One Christmas,it happened one christmas,1977,109,6,969
tt0076448,tvMovie,"Nestor, the Long-Eared Christmas Donkey",nestor the longeared christmas donkey,1977,24,6.9,2335
tt0076783,tvMovie,Sunshine Christmas,sunshine christmas,1977,120,7.8,93
tt0077281,movie,Blue Christmas,blue christmas,1978,133,6.2,124
tt0077333,tvMovie,A Christmas to Remember,a christmas to remember,1978,100,6.4,171
tt0077465,movie,Where Are You Going on Holiday?,where are you going on holiday,1978,127,6.3,563
tt0077710,movie,Holiday Hotel,holiday hotel,1978,110,6,347
tt0078132,movie,The Night Before Christmas,the night before christmas,1978,100,6.1,71
tt0078764,tvMovie,An American Christmas Carol,an american christmas carol,1979,98,6.8,1616
tt0078968,tvMovie,Christmas Lilies of the Field,christmas lilies of the field,1979,120,6.5,107
tt0079828,tvMovie,Rudolph and Frosty's Christmas in July,rudolph and frostys christmas in july,1979,97,6.3,2547
tt0080531,movie,Christmas Mountain,christmas mountain,1981,90,6.5,148
tt0080532,tvMovie,A Christmas Without Snow,a christmas without snow,1980,120,5.7,401
tt0080822,movie,Crazy Swedish Holidays in Paris,crazy swedish holidays in paris,1980,94,4.7,31
tt0081190,tvMovie,Mr. Krueger's Christmas,mr kruegers christmas,1980,26,7.9,1092
tt0081340,tvMovie,Pinocchio's Christmas,pinocchios christmas,1980,49,6.4,752
tt0081793,movie,Christmas Evil,christmas evil,1980,100,5.5,8110
tt0085231,tvMovie,The Best Christmas Pageant Ever,the best christmas pageant ever,1983,48,7.2,789
tt0085282,movie,Bush Christmas,bush christmas,1983,91,5.2,384
tt0085334,movie,A Christmas Story,a christmas story,1983,93,7.9,163273
tt0085593,tvMovie,The Gift of Love: A Christmas Story,the gift of love a christmas story,1983,96,6.7,357
tt0085933,movie,Merry Christmas Mr. Lawrence,merry christmas mr lawrence,1983,123,7.2,19475
tt0087056,tvMovie,A Christmas Carol,a christmas carol,1984,100,7.8,17146
tt0087548,tvMovie,Kenny & Dolly: A Christmas to Remember,kenny  dolly a christmas to remember,1984,60,8.3,139
tt0087797,tvMovie,The Night They Saved Christmas,the night they saved christmas,1984,92,6.5,1605
tt0088106,movie,Merry Christmas,merry christmas,1984,96,6.6,170
tt0089038,movie,Don't Open Till Christmas,dont open till christmas,1984,86,4.7,2804
tt0089285,movie,Holidays in Amsterdam,holidays in amsterdam,1986,87,5.3,11
tt0089731,movie,One Magic Christmas,one magic christmas,1985,89,6.4,4233
tt0090838,tvMovie,Christmas Eve,christmas eve,1986,93,7.3,427
tt0090839,tvMovie,The Christmas Gift,the christmas gift,1986,120,6.5,768
tt0090840,movie,The Christmas Star,the christmas star,1986,94,6.1,770
tt0091975,tvMovie,A Smoky Mountain Christmas,a smoky mountain christmas,1986,94,6.9,1290
tt0092167,movie,Merry Christmas Octopus,merry christmas octopus,1987,92,6.8,191
tt0092756,tvMovie,Christmas Comes to Willow Creek,christmas comes to willow creek,1987,93,6.4,619
tt0093198,tvMovie,A Hobo's Christmas,a hobos christmas,1987,100,6.4,427
tt0093877,tvMovie,Roman Holiday,roman holiday,1987,100,5,156
tt0094754,tvMovie,Blackadder's Christmas Carol,blackadders christmas carol,1988,43,7.9,13712
tt0094873,tvMovie,The Christmas Wife,the christmas wife,1988,73,6.2,408
tt0095107,movie,Ernest Saves Christmas,ernest saves christmas,1988,95,5.7,12392
tt0095347,tvMovie,I'll Be Home for Christmas,ill be home for christmas,1988,96,6.5,292
tt0095416,tvMovie,Julie Andrews: The Sound of Christmas,julie andrews the sound of christmas,1987,48,8.9,125
tt0095589,tvMovie,"Marcus Welby, M.D.: A Holiday Affair",marcus welby md a holiday affair,1988,100,6,49
tt0096376,tvMovie,A Very Brady Christmas,a very brady christmas,1988,100,5.9,2120
tt0097126,movie,Cripples Go Christmas,cripples go christmas,1987,100,6.6,14
tt0097157,tvMovie,Dark Holiday,dark holiday,1989,100,5.4,183
tt0097601,tvMovie,It Nearly Wasn't Christmas,it nearly wasnt christmas,1989,100,5.7,246
tt0097958,movie,National Lampoon's Christmas Vacation,national lampoons christmas vacation,1989,97,7.5,209533
tt0099263,tvMovie,The Christmas Toy,the christmas toy,1986,50,7.8,1404
tt0099711,tvMovie,Guess Who's Coming for Christmas?,guess whos coming for christmas,1990,95,5.1,105
tt0099780,movie,Holidays on the River Yarra,holidays on the river yarra,1991,88,6,56
tt0099787,tvMovie,Home for Christmas,home for christmas,1990,95,5.7,223
tt0099930,tvMovie,The Kid Who Loved Christmas,the kid who loved christmas,1990,118,6.3,304
