tconst,title_type,primary_title,genre,year,runtime_minutes,average_rating,num_votes
tt0065040,movie,Strange Holiday,Family,1970,75,4.4,85
tt0066975,tvMovie,Death Takes a Holiday,Drama,1971,73,7.2,291
tt0066975,tvMovie,Death Takes a Holiday,Romance,1971,73,7.2,291
tt0067209,tvMovie,The Homecoming: A Christmas Story,Drama,1971,100,8.3,2039
tt0067209,tvMovie,The Homecoming: A Christmas Story,Family,1971,100,8.3,2039
tt0067400,movie,The Christmas Martian,Family,1971,65,4.8,186
tt0068683,movie,Main Thing Holidays,Comedy,1972,103,4.8,90
tt0068708,tvMovie,Home for the Holidays,Drama,1972,73,6.2,1265
tt0068720,tvMovie,The House Without a Christmas Tree,Drama,1972,75,8,874
tt0068720,tvMovie,The House Without a Christmas Tree,Family,1972,75,8,874
tt0070004,tvMovie,A Dream for Christmas,Drama,1973,100,6.7,112
tt0071613,movie,Holiday on the Buses,Comedy,1973,87,5.8,2020
tt0073751,tvMovie,The First Christmas: The Story of the First Christmas Snow,Animation,1975,22,6.8,579
tt0073751,tvMovie,The First Christmas: The Story of the First Christmas Snow,Family,1975,22,6.8,579
tt0074813,movie,Olympian Holiday,Comedy,1976,113,6.5,413
tt0074813,movie,Olympian Holiday,Romance,1976,113,6.5,413
tt0075128,movie,Journey to the Christmas Star,Family,1976,92,6.5,1355
tt0075449,tvMovie,Young Pioneers' Christmas,Drama,1976,100,6.9,86
tt0075846,tvMovie,"Christmas Miracle in Caufield, U.S.A.",Drama,1977,97,5.8,171
tt0075875,movie,Confessions from a Holiday Camp,Comedy,1977,88,4.2,1030
tt0075988,tvMovie,Emmet Otter's Jug-Band Christmas,Comedy,1977,48,8.2,4460
tt0075988,tvMovie,Emmet Otter's Jug-Band Christmas,Drama,1977,48,8.2,4460
tt0075988,tvMovie,Emmet Otter's Jug-Band Christmas,Family,1977,48,8.2,4460
tt0076213,tvMovie,It Happened One Christmas,Comedy,1977,109,6,969
tt0076448,tvMovie,"Nestor, the Long-Eared Christmas Donkey",Animation,1977,24,6.9,2335
tt0076448,tvMovie,"Nestor, the Long-Eared Christmas Donkey",Drama,1977,24,6.9,2335
tt0076448,tvMovie,"Nestor, the Long-Eared Christmas Donkey",Family,1977,24,6.9,2335
tt0076783,tvMovie,Sunshine Christmas,Drama,1977,120,7.8,93
tt0077333,tvMovie,A Christmas to Remember,Drama,1978,100,6.4,171
tt0077333,tvMovie,A Christmas to Remember,Family,1978,100,6.4,171
tt0077465,movie,Where Are You Going on Holiday?,Comedy,1978,127,6.3,563
tt0077710,movie,Holiday Hotel,Comedy,1978,110,6,347
tt0078132,movie,The Night Before Christmas,Drama,1978,100,6.1,71
tt0078764,tvMovie,An American Christmas Carol,Drama,1979,98,6.8,1616
tt0078968,tvMovie,Christmas Lilies of the Field,Drama,1979,120,6.5,107
tt0079828,tvMovie,Rudolph and Frosty's Christmas in July,Animation,1979,97,6.3,2547
tt0079828,tvMovie,Rudolph and Frosty's Christmas in July,Comedy,1979,97,6.3,2547
tt0080531,movie,Christmas Mountain,Drama,1981,90,6.5,148
tt0080531,movie,Christmas Mountain,Family,1981,90,6.5,148
tt0080532,tvMovie,A Christmas Without Snow,Drama,1980,120,5.7,401
tt0080822,movie,Crazy Swedish Holidays in Paris,Comedy,1980,94,4.7,31
tt0081190,tvMovie,Mr. Krueger's Christmas,Drama,1980,26,7.9,1092
tt0081190,tvMovie,Mr. Krueger's Christmas,Family,1980,26,7.9,1092
tt0081340,tvMovie,Pinocchio's Christmas,Animation,1980,49,6.4,752
tt0081340,tvMovie,Pinocchio's Christmas,Comedy,1980,49,6.4,752
tt0081340,tvMovie,Pinocchio's Christmas,Family,1980,49,6.4,752
tt0085231,tvMovie,The Best Christmas Pageant Ever,Comedy,1983,48,7.2,789
tt0085231,tvMovie,The Best Christmas Pageant Ever,Family,1983,48,7.2,789
tt0085282,movie,Bush Christmas,Drama,1983,91,5.2,384
tt0085282,movie,Bush Christmas,Family,1983,91,5.2,384
tt0085334,movie,A Christmas Story,Comedy,1983,93,7.9,163273
tt0085334,movie,A Christmas Story,Family,1983,93,7.9,163273
tt0085593,tvMovie,The Gift of Love: A Christmas Story,Drama,1983,96,6.7,357
tt0085933,movie,Merry Christmas Mr. Lawrence,Drama,1983,123,7.2,19475
tt0087056,tvMovie,A Christmas Carol,Drama,1984,100,7.8,17146
tt0087056,tvMovie,A Christmas Carol,Family,1984,100,7.8,17146
tt0087797,tvMovie,The Night They Saved Christmas,Drama,1984,92,6.5,1605
tt0087797,tvMovie,The Night They Saved Christmas,Family,1984,92,6.5,1605
tt0088106,movie,Merry Christmas,Comedy,1984,96,6.6,170
tt0088106,movie,Merry Christmas,Romance,1984,96,6.6,170
tt0089285,movie,Holidays in Amsterdam,Drama,1986,87,5.3,11
tt0089731,movie,One Magic Christmas,Family,1985,89,6.4,4233
tt0090838,tvMovie,Christmas Eve,Drama,1986,93,7.3,427
tt0090839,tvMovie,The Christmas Gift,Drama,1986,120,6.5,768
tt0090840,movie,The Christmas Star,Drama,1986,94,6.1,770
tt0090840,movie,The Christmas Star,Family,1986,94,6.1,770
tt0092167,movie,Merry Christmas Octopus,Comedy,1987,92,6.8,191
tt0092167,movie,Merry Christmas Octopus,Family,1987,92,6.8,191
tt0092756,tvMovie,Christmas Comes to Willow Creek,Drama,1987,93,6.4,619
tt0092756,tvMovie,Christmas Comes to Willow Creek,Family,1987,93,6.4,619
tt0093198,tvMovie,A Hobo's Christmas,Drama,1987,100,6.4,427
tt0093877,tvMovie,Roman Holiday,Comedy,1987,100,5,156
tt0093877,tvMovie,Roman Holiday,Drama,1987,100,5,156
tt0093877,tvMovie,Roman Holiday,Romance,1987,100,5,156
tt0094754,tvMovie,Blackadder's Christmas Carol,Comedy,1988,43,7.9,13712
tt0094873,tvMovie,The Christmas Wife,Drama,1988,73,6.2,408
tt0095107,movie,Ernest Saves Christmas,Comedy,1988,95,5.7,12392
tt0095107,movie,Ernest Saves Christmas,Family,1988,95,5.7,12392
tt0095347,tvMovie,I'll Be Home for Christmas,Drama,1988,96,6.5,292
tt0095416,tvMovie,Julie Andrews: The Sound of Christmas,Family,1987,48,8.9,125
tt0095589,tvMovie,"Marcus Welby, M.D.: A Holiday Affair",Drama,1988,100,6,49
tt0096376,tvMovie,A Very Brady Christmas,Comedy,1988,100,5.9,2120
tt0096376,tvMovie,A Very Brady Christmas,Drama,1988,100,5.9,2120
tt0096376,tvMovie,A Very Brady Christmas,Family,1988,100,5.9,2120
tt0097126,movie,Cripples Go Christmas,Drama,1987,100,6.6,14
tt0097157,tvMovie,Dark Holiday,Drama,1989,100,5.4,183
tt0097601,tvMovie,It Nearly Wasn't Christmas,Comedy,1989,100,5.7,246
tt0097958,movie,National Lampoon's Christmas Vacation,Comedy,1989,97,7.5,209533
tt0099263,tvMovie,The Christmas Toy,Family,1986,50,7.8,1404
tt0099711,tvMovie,Guess Who's Coming for Christmas?,Comedy,1990,95,5.1,105
tt0099780,movie,Holidays on the River Yarra,Drama,1991,88,6,56
tt0099787,tvMovie,Home for Christmas,Drama,1990,95,5.7,223
tt0099787,tvMovie,Home for Christmas,Family,1990,95,5.7,223
tt0099930,tvMovie,The Kid Who Loved Christmas,Drama,1990,118,6.3,304
tt0100173,tvMovie,A Mom for Christmas,Comedy,1990,96,6.5,1209
tt0100173,tvMovie,A Mom for Christmas,Family,1990,96,6.5,1209
tt0101301,movie,All I Want for Christmas,Comedy,1991,92,5.9,5420
tt0101301,movie,All I Want for Christmas,Family,1991,92,5.9,5420
tt0101301,movie,All I Want for Christmas,Romance,1991,92,5.9,5420
tt0101348,movie,The Comic Book Christmas Caper,Family,1990,104,6.6,60
tt0101580,tvMovie,Christmas on Division Street,Drama,1991,120,6.7,567
tt0101580,tvMovie,Christmas on Division Street,Romance,1991,120,6.7,567
tt0102285,movie,Lena's Holiday,Comedy,1991,100,5.5,314
tt0102285,movie,Lena's Holiday,Romance,1991,100,5.5,314
tt0102821,movie,Russian Holiday,Drama,1993,89,3.5,267
tt0103960,tvMovie,The Christmas Stallion,Drama,1992,95,5.7,118
tt0103961,tvMovie,Christmas in Connecticut,Comedy,1992,93,4.8,1565
tt0103961,tvMovie,Christmas in Connecticut,Romance,1992,93,4.8,1565
tt0104940,movie,The Muppet Christmas Carol,Comedy,1992,85,7.7,66015
tt0104940,movie,The Muppet Christmas Carol,Drama,1992,85,7.7,66015
tt0104940,movie,The Muppet Christmas Carol,Family,1992,85,7.7,66015
tt0105694,movie,Unforgetful Holiday,Comedy,1992,94,5.3,24
tt0105694,movie,Unforgetful Holiday,Drama,1992,94,5.3,24
tt0107688,movie,The Nightmare Before Christmas,Animation,1993,76,7.9,367288
tt0107688,movie,The Nightmare Before Christmas,Family,1993,76,7.9,367288
tt0109425,tvMovie,A Christmas Romance,Comedy,1994,94,6.1,867
tt0109425,tvMovie,A Christmas Romance,Drama,1994,94,6.1,867
tt0109425,tvMovie,A Christmas Romance,Family,1994,94,6.1,867
tt0110732,tvMovie,One Christmas,Drama,1994,90,6,751
tt0110732,tvMovie,One Christmas,Family,1994,90,6,751
tt0112667,tvMovie,The Christmas Box,Drama,1995,100,7,1270
tt0112668,video,A Christmas Carol,Animation,1997,72,5.9,886
tt0112668,video,A Christmas Carol,Drama,1997,72,5.9,886
tt0113321,movie,Home for the Holidays,Comedy,1995,103,6.6,14315
tt0113321,movie,Home for the Holidays,Drama,1995,103,6.6,14315
tt0113321,movie,Home for the Holidays,Romance,1995,103,6.6,14315
tt0115891,tvMovie,Christmas Every Day,Comedy,1996,95,6.2,1128
tt0115892,tvMovie,The Christmas Tree,Drama,1996,93,6.9,437
tt0115892,tvMovie,The Christmas Tree,Family,1996,93,6.9,437
tt0115893,video,Christmas in Oz,Animation,1996,40,7.7,38
tt0116092,movie,The Devil Takes a Holiday,Comedy,1996,102,6.1,34
tt0116189,video,Sesame Street: Elmo Saves Christmas,Family,1996,60,6.5,416
tt0116321,video,The Flintstones Christmas in Bedrock,Animation,1996,30,7,197
tt0116544,tvMovie,Holiday Affair,Comedy,1996,87,6.3,420
tt0116544,tvMovie,Holiday Affair,Romance,1996,87,6.3,420
tt0116717,movie,The Christmas Party,Comedy,1996,84,7,451
tt0117109,tvMovie,The Munsters' Scary Little Christmas,Comedy,1996,91,4.9,654
tt0117109,tvMovie,The Munsters' Scary Little Christmas,Family,1996,91,4.9,654
tt0118201,movie,Will It Snow for Christmas?,Drama,1996,90,7,881
tt0118692,video,Beauty and the Beast: The Enchanted Christmas,Animation,1997,72,5.9,11705
tt0118692,video,Beauty and the Beast: The Enchanted Christmas,Family,1997,72,5.9,11705
tt0120489,movie,Christmas Fever,Comedy,1997,90,6.5,65
tt0120489,movie,Christmas Fever,Romance,1997,90,6.5,65
tt0122019,video,Christmas in Cartoontown,Animation,1996,46,6.8,65
tt0122019,video,Christmas in Cartoontown,Family,1996,46,6.8,65
tt0122260,tvMovie,Skyward Christmas,Drama,1981,60,6.8,18
tt0122272,tvMovie,Stubby Pringle's Christmas,Drama,1978,55,7.5,118
tt0122272,tvMovie,Stubby Pringle's Christmas,Family,1978,55,7.5,118
tt0122494,movie,How the Toys Saved Christmas,Animation,1996,93,6.5,585
tt0122494,movie,How the Toys Saved Christmas,Family,1996,93,6.5,585
tt0124013,tvMovie,Mr. Willowby's Christmas Tree,Comedy,1995,30,6.1,270
tt0124013,tvMovie,Mr. Willowby's Christmas Tree,Family,1995,30,6.1,270
tt0125465,movie,Last Holiday,Drama,1996,65,7.6,25
tt0125945,movie,Holiday Hookers,Comedy,1976,97,5.4,98
tt0126946,tvMovie,Holiday in Your Heart,Drama,1997,96,5.6,318
tt0128083,movie,The Boy Who Saved Christmas,Comedy,1998,94,3.1,198
tt0128083,movie,The Boy Who Saved Christmas,Family,1998,94,3.1,198
tt0128995,tvMovie,The Christmas Raccoons,Animation,1980,30,7,156
tt0128995,tvMovie,The Christmas Raccoons,Family,1980,30,7,156
tt0129359,tvMovie,On the 2nd Day of Christmas,Comedy,1997,96,6.1,894
tt0129359,tvMovie,On the 2nd Day of Christmas,Drama,1997,96,6.1,894
tt0129359,tvMovie,On the 2nd Day of Christmas,Family,1997,96,6.1,894
tt0129827,tvMovie,A Christmas Reunion,Drama,1994,132,6,87
tt0135187,tvMovie,A Christmas Memory,Drama,1997,96,7,792
tt0135187,tvMovie,A Christmas Memory,Family,1997,96,7,792
tt0135467,tvMovie,I'll Be Home for Christmas,Drama,1997,94,6.3,321
tt0135467,tvMovie,I'll Be Home for Christmas,Romance,1997,94,6.3,321
tt0135636,tvMovie,Christopher's Christmas Mission,Animation,1975,23,8,2726
tt0135636,tvMovie,Christopher's Christmas Mission,Family,1975,23,8,2726
tt0136444,tvMovie,The Christmas Orange,Comedy,1996,119,7.1,42
tt0136444,tvMovie,The Christmas Orange,Drama,1996,119,7.1,42
tt0136755,tvMovie,The Christmas List,Comedy,1997,96,6.7,1449
tt0136755,tvMovie,The Christmas List,Romance,1997,96,6.7,1449
tt0137000,tvMovie,A Holiday for Love,Drama,1996,105,6.4,737
tt0137000,tvMovie,A Holiday for Love,Family,1996,105,6.4,737
tt0137000,tvMovie,A Holiday for Love,Romance,1996,105,6.4,737
tt0137044,movie,Home for Christmas,Drama,1975,89,6.5,102
