genre,year,average_rating
Animation,1970,4.8
Animation,1972,6.6
Animation,1973,6.7
Animation,1974,6.9
Animation,1975,7.8
Animation,1977,6.725
Animation,1978,7.1
Animation,1979,6.8
Animation,1980,6.575
Animation,1981,6.6000000000000005
Animation,1982,6.58
Animation,1983,6.2
Animation,1984,6.95
Animation,1985,7.125
Animation,1986,6.933333333333333
Animation,1987,6.8
Animation,1988,7.133333333333334
Animation,1990,6.949999999999999
Animation,1991,6.24
Animation,1992,6.4111111111111105
Animation,1993,7.371428571428572
Animation,1994,6.8
Animation,1995,6.1
Animation,1996,6.11
Animation,1997,6.45
Animation,1998,5.7
Animation,1999,6.58
Animation,2000,6.444444444444445
Animation,2001,6.322222222222222
Animation,2002,6.383333333333334
Animation,2003,6.285714285714286
Animation,2004,5.9
Animation,2005,5.788888888888889
Animation,2006,6.0625
Animation,2007,6.3999999999999995
Animation,2008,6.018181818181818
Animation,2009,6.328571428571428
Animation,2010,6.1
Animation,2011,6.4
Animation,2012,5.99
Animation,2013,7.433333333333334
Animation,2014,5.775
Animation,2015,7.4
Animation,2016,6.814285714285714
Animation,2017,5.1
Animation,2018,6.15
Animation,2019,6.4
Animation,2020,5.816666666666666
Animation,2021,5.825
Animation,2022,6.6000000000000005
Comedy,1970,5.4
Comedy,1971,5.6
Comedy,1972,6.1
Comedy,1973,5.85
Comedy,1974,7.3
Comedy,1975,6.3
Comedy,1976,6.075
Comedy,1977,6.54
Comedy,1978,7.083333333333333
Comedy,1979,6.62
Comedy,1980,6.266666666666667
Comedy,1981,6.325
Comedy,1982,6.76
Comedy,1983,7.366666666666667
Comedy,1984,5.6
Comedy,1985,6.933333333333334
Comedy,1986,7.1000000000000005
Comedy,1987,6.375
Comedy,1988,6.680000000000001
Comedy,1989,6.466666666666667
Comedy,1990,6.4
Comedy,1991,6.74
Comedy,1992,5.85
Comedy,1993,6.675
Comedy,1994,5.033333333333333
Comedy,1995,5.883333333333333
Comedy,1996,6.4
Comedy,1997,6.625
Comedy,1998,5.516666666666667
Comedy,1999,5.9
Comedy,2000,6.076923076923077
Comedy,2001,5.566666666666666
Comedy,2002,6.5
Comedy,2003,6.35
Comedy,2004,5.963157894736843
Comedy,2005,6.2375
Comedy,2006,5.776190476190476
Comedy,2007,5.431578947368421
Comedy,2008,5.836842105263158
Comedy,2009,5.725
Comedy,2010,5.433333333333334
Comedy,2011,5.85625
Comedy,2012,5.584375
Comedy,2013,5.5777777777777775
Comedy,2014,5.666666666666667
Comedy,2015,6.097297297297297
Comedy,2016,5.824324324324325
Comedy,2017,5.801960784313725
Comedy,2018,5.881666666666667
Comedy,2019,5.756666666666667
Comedy,2020,5.653731343283582
Comedy,2021,5.66989247311828
Comedy,2022,5.9359375
Comedy,2023,6.14
Drama,1971,6.333333333333334
Drama,1972,7.1
Drama,1973,6.7
Drama,1975,6.25
Drama,1976,6.9
Drama,1977,7.014285714285714
Drama,1978,6.666666666666667
Drama,1979,6.025
Drama,1980,6.800000000000001
Drama,1981,5.9
Drama,1982,5.733333333333333
Drama,1983,5.375
Drama,1984,7.1
Drama,1985,5.5
Drama,1986,6.5
Drama,1987,6.42
Drama,1988,5.94
Drama,1989,6.875
Drama,1990,6
Drama,1991,5.325
