make,city_mpg,highway_mpg
Alfa Romeo,19,25
Ferrari,9,14
Dodge,23,33
Dodge,10,12
Subaru,17,23
Subaru,21,24
Subaru,22,29
Toyota,23,26
Toyota,23,31
Toyota,23,30
Toyota,23,30
Volkswagen,18,26
Volkswagen,21,29
Volkswagen,18,26
Dodge,12,15
Volkswagen,20,28
Volvo,18,23
Volvo,19,26
Audi,17,22
Audi,17,24
BMW,14,20
BMW,14,20
BMW,11,17
Buick,21,28
Buick,17,24
Dodge,11,17
Buick,18,26
Buick,17,25
Buick,17,27
Buick,17,26
Buick,17,25
Cadillac,15,23
Cadillac,15,23
Cadillac,15,23
Cadillac,15,23
Chevrolet,18,26
Dodge,11,17
Chevrolet,17,25
Chevrolet,17,27
Chevrolet,15,24
Chevrolet,15,24
Chrysler,18,24
CX Automotive,13,19
CX Automotive,13,19
Nissan,17,23
Nissan,17,24
Nissan,18,24
Dodge,9,11
Dodge,18,24
Dodge,18,26
Dodge,18,24
Dodge,19,24
Dodge,21,26
Dodge,22,29
Dodge,18,24
Dodge,18,26
Ford,18,27
Ford,16,24
Dodge,10,11
Ford,17,25
Ford,17,24
Ford,15,21
Ford,15,22
Ford,15,22
Hyundai,18,25
Hyundai,18,24
Hyundai,16,22
Infiniti,15,20
Infiniti,14,18
Dodge,10,11
Lexus,16,22
Mercury,17,24
Mercury,15,22
Mercury,18,27
Mercury,17,25
Mazda,21,28
Mazda,23,31
Mazda,17,23
Mazda,18,24
Mazda,17,22
Dodge,9,10
Oldsmobile,21,28
Oldsmobile,17,24
Oldsmobile,18,26
Oldsmobile,17,25
Oldsmobile,17,27
Oldsmobile,15,24
Oldsmobile,15,24
Oldsmobile,17,25
Plymouth,19,24
Plymouth,21,26
Ford,12,15
Plymouth,22,29
Plymouth,18,24
Plymouth,18,26
Pontiac,17,25
Pontiac,17,27
Pontiac,15,24
Pontiac,15,24
Rolls-Royce,9,13
Rolls-Royce,10,15
Rolls-Royce,9,13
Ford,13,17
