DMA Code,DMA Name
500,PORTLAND-AUBURN
501,NEW YORK
502,BINGHAMTON
503,MACON
504,PHILADELPHIA
505,DETROIT
506,BOSTON-MANCHESTER
507,SAVANNAH
508,PITTSBURGH
509,FT. WAYNE
510,CLEVELAND-AKRON-CANTON
511,"WASHINGTON, DC-HAGARSTOWN"
512,BALTIMORE
513,FLINT-SAGINAW-BAY CITY
514,BUFFALO
515,CINCINNATI
516,ERIE
517,CHARLOTTE
518,GREENSBORO-HIGH.POINT-WINSTON.SALEM
519,"CHARLESTON, SC"
520,AUGUSTA
521,PROVIDENCE-NEW BEDFORD
522,"COLUMBUS, GA-OPELIKA, AL"
523,BURLINGTON-PLATTSBURGH
524,ATLANTA
525,"ALBANY, GA"
526,UTICA
527,INDIANAPOLIS
528,MIAMI-FT. LAUDERDALE
529,LOUISVILLE
530,TALLAHASSEE-THOMASVILLE
531,"TRI-CITIES, TN-VA"
532,ALBANY-SCHENECTADY-TROY
533,HARTFORD-NEW HAVEN
534,ORLANDO-DAYTONA BEACH-MELBOURNE
535,"COLUMBUS, OH"
536,YOUNGSTOWN
537,BANGOR
538,"ROCHESTER, NY"
539,TAMPA-ST. PETERSBURG-SARASOTA
540,TRAVERSE CITY-CADILLAC
541,LEXINGTON
542,DAYTON
543,SPRINGFIELD-HOLYOKE
544,NORFOLK-PORTSMITH-NEWPORT NEWS
545,"GREENVILLE-NEW BERN-WASHINGTON,NC"
546,"COLUMBIA, SC"
547,TOLEDO
548,WEST PALM BEACH-FT. PIERCE
549,WATERTOWN
550,WILMINGTON
551,LANSING
552,PRESQUE ISLE
553,MARQUETTE
554,WHEELING-STEUBENVILLE
555,SYRACUSE
556,RICHMOND-PETERSBURG
557,KNOXVILLE
558,LIMA
559,BLUEFIELD-BECKLEY-OAK HILL
560,RALEIGH-DURHAM-FAYETTEVLLE
561,JACKSONVILLE
563,GRAND RAPIDS-KALMZOO-BATTLECREEK
564,CHARLESTON-HUNTINGTON
565,ELMIRA-CORNING
566,"HARRISBURG-LANCASTER-LEBANON-YORK,PA"
567,GREENVILLE-SPARTA-ASHEVILLE
569,HARRISONBURG
570,MYRTLE BEACH-FLORENCE
571,FT. MYERS-NAPLES
573,ROANOKE-LYNCHBURG
574,JOHNSTOWN-ALTOONA-ST COLGE
575,CHATTANOOGA
576,SALISBURY
577,WILKES BARRE-SCRANTON
581,TERRE HAUTE
582,"LAFAYETTE, IN"
583,ALPENA
584,CHARLOTTESVILLE
588,SOUTH BEND-ELKHART
592,GAINESVILLE
596,ZANESVILLE
597,PARKERSBURG
598,CLARKSBURG-WESTON
600,CORPUS CHRISTI
602,CHICAGO
603,JOPLIN-PITTSBURG
604,COLUMBIA-JEFFERSON CITY
605,TOPEKA
606,DOTHAN
609,ST. LOUIS
610,ROCKFORD
611,ROCHESTR-MASON CITY-AUSTIN
612,SHREVEPORT
613,MINNEAPOLIS-ST. PAUL
616,KANSAS CITY
617,MILWAUKEE
618,HOUSTON
619,"SPRINGFIELD, MO"
622,NEW ORLEANS
623,DALLAS-FT. WORTH
624,SIOUX CITY
625,WACO-TEMPLE-BRYAN
626,VICTORIA
627,WICHITA FALLS & LAWTON
628,MONROE-EL DORADO
630,BIRMINGHAM-ANNISTON-TUSCALOOSA
631,OTTUMWA-KIRKSVILLE
632,PADUCAH-CAPE GIRARDO-HARRISBURG
633,ODESSA-MIDLAND
634,AMARILLO
635,AUSTIN
636,HARLINGEN-WESLACO-BROWNSVILLE-MCARTHUR
637,"CEDAR RAPIDS-WATERLOO-IOWA CITY & DUBUQUE, IA"
638,ST. JOSEPH
639,"JACKSON, TN"
640,MEMPHIS
641,SAN ANTONIO
642,"LAFAYETTE, LA"
643,LAKE CHARLES
644,"ALEXANDRIA, LA"
647,GREENWOOD-GREENVILLE
648,CHAMPAIGN & SPRINGFIELD-DECATUR
649,EVANSVILLE
650,OKLAHOMA CITY
651,LUBBOCK
652,OMAHA
656,PANAMA CITY
657,SHERMAN-ADA
658,GREEN BAY-APPLETON
659,NASHVILLE
661,SAN ANGELO
662,ABILENE-SWEETWATER
669,MADISON
670,FT. SMITH-FAYETTEVILLE-SPRNGDALE-ROGERS
671,TULSA
