unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value
216498,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2013,2013-06-01T00:00:00Z,34.64
216499,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2014,2014-06-01T00:00:00Z,33.22
219969,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2013,2013-06-01T00:00:00Z,31.25
219970,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2014,2014-06-01T00:00:00Z,31.15
164876,383,Sulfur Dioxide (SO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Winter 2008-09,2008-12-01T00:00:00Z,5.89
164877,383,Sulfur Dioxide (SO2),Mean,ppb,CD,212,Williamsbridge and Baychester (CD12),Winter 2008-09,2008-12-01T00:00:00Z,5.75
219971,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2009,2009-06-01T00:00:00Z,26.27
219972,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2010,2010-06-01T00:00:00Z,33.83
164878,383,Sulfur Dioxide (SO2),Mean,ppb,CD,301,Greenpoint and Williamsburg (CD1),Winter 2008-09,2008-12-01T00:00:00Z,4.33
164879,383,Sulfur Dioxide (SO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Winter 2008-09,2008-12-01T00:00:00Z,4.41
164880,383,Sulfur Dioxide (SO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Winter 2008-09,2008-12-01T00:00:00Z,4.73
164881,383,Sulfur Dioxide (SO2),Mean,ppb,CD,304,Bushwick (CD4),Winter 2008-09,2008-12-01T00:00:00Z,4.71
164882,383,Sulfur Dioxide (SO2),Mean,ppb,CD,305,East New York and Starrett City (CD5),Winter 2008-09,2008-12-01T00:00:00Z,3.78
164883,383,Sulfur Dioxide (SO2),Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),Winter 2008-09,2008-12-01T00:00:00Z,3.94
164884,383,Sulfur Dioxide (SO2),Mean,ppb,CD,307,Sunset Park (CD7),Winter 2008-09,2008-12-01T00:00:00Z,3.78
164885,383,Sulfur Dioxide (SO2),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Winter 2008-09,2008-12-01T00:00:00Z,4.79
219973,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2011,2011-06-01T00:00:00Z,33.19
219974,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2012,2012-06-01T00:00:00Z,33.89
219975,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2013,2013-06-01T00:00:00Z,31.13
219976,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2014,2014-06-01T00:00:00Z,31.29
164930,383,Sulfur Dioxide (SO2),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Winter 2009-10,2009-12-01T00:00:00Z,5.3
164931,383,Sulfur Dioxide (SO2),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Winter 2009-10,2009-12-01T00:00:00Z,7.49
164932,383,Sulfur Dioxide (SO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Winter 2009-10,2009-12-01T00:00:00Z,4.24
130397,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,2013-01-01T00:00:00Z,17.6
130398,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,102,Northeast Bronx,2013,2013-01-01T00:00:00Z,2.2
130399,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,2013,2013-01-01T00:00:00Z,24.5
130400,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,2013,2013-01-01T00:00:00Z,4.4
130401,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,2013-01-01T00:00:00Z,16.9
130402,640,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,2013-01-01T00:00:00Z,19.7
