"","year","month","day","breed","gender","spayneuter","zipcode","age"
"1",2018,1,1,NA,"U",FALSE,"11220",NA
"2",2018,1,4,NA,"U",FALSE,NA,NA
"3",2018,1,6,"pit bull","U",FALSE,"11224",NA
"4",2018,1,8,"mixed","M",FALSE,"11231",4
"5",2018,1,9,"pit bull","U",FALSE,"11224",NA
"6",2018,1,3,"basenji","M",FALSE,"11231",4
"7",2018,1,1,NA,"U",FALSE,NA,NA
"8",2018,1,3,"pit bull","U",FALSE,"11233",NA
"9",2018,1,4,"pit bull","M",FALSE,"11235",5
"10",2018,1,10,"mixed","F",FALSE,"11208",3
"11",2018,1,6,NA,"U",FALSE,"11215",NA
"12",2018,1,7,"yorkshire terrier","M",TRUE,"11208",7
"13",2018,1,6,"great dane","F",TRUE,NA,6
"14",2018,1,1,"pit bull","U",FALSE,"11220",NA
"15",2018,1,9,"labradoodle","F",TRUE,"11238",5
"16",2018,1,1,"west high white terrier","M",FALSE,"11207",NA
"17",2018,1,14,"pit bull","U",FALSE,"11205",NA
"18",2018,1,7,NA,"U",FALSE,"11209",NA
"19",2018,1,13,"mixed","M",FALSE,"11237",7
"20",2018,1,10,"pit bull","U",FALSE,"11233",NA
"21",2018,1,15,"poodle, miniature","M",TRUE,"11217",8
"22",2018,1,13,"pit bull","F",TRUE,"11236",11
"23",2018,1,13,NA,"U",FALSE,"11234",NA
"24",2018,1,9,NA,"U",FALSE,"11220",NA
"25",2018,1,1,NA,"U",FALSE,NA,NA
"26",2018,1,18,"pekingese","M",TRUE,"11220",3
"27",2018,1,8,"poodle","M",TRUE,"11215",13
"28",2018,1,18,"labrador retriever","M",TRUE,"11214",11
"29",2018,1,18,"pit bull","F",TRUE,"11230",2
"30",2018,1,17,"dachshund smooth coat","M",FALSE,"11211",2
"31",2018,1,20,"pit bull","U",FALSE,"11224",NA
"32",2018,1,21,NA,"M",TRUE,"11231",2
"33",2018,1,23,"mixed","F",FALSE,"11225",NA
"34",2018,1,23,"mixed","F",FALSE,"11225",NA
"35",2018,1,23,"chihuahua","M",FALSE,"11205",4
"36",2018,1,15,"pit bull","U",FALSE,"11208",NA
"37",2018,1,23,"yorkshire terrier","U",FALSE,"11210",NA
"38",2018,1,24,"shih tzu","U",FALSE,"11233",NA
"39",2018,1,28,"pug","M",TRUE,"11223",8
"40",2018,1,27,"maltese","U",FALSE,"11224",NA
"41",2018,1,28,"mixed","U",FALSE,"11214",NA
"42",2018,1,29,"mixed","F",FALSE,"11232",7
"43",2018,1,27,NA,"U",FALSE,"11226",NA
"44",2018,1,28,"minature pinscher","M",FALSE,"11214",8
"45",2018,2,1,"terrier","M",FALSE,"11233",4
"46",2018,1,31,"shih tzu","U",FALSE,"11215",NA
"47",2018,2,1,"dachshund, wirehaired, miniature","M",FALSE,NA,0.83
"48",2018,1,29,"american staff","M",TRUE,"11201",3
"49",2018,2,2,NA,"U",FALSE,"11212",NA
"50",2018,2,5,"bichon frise","U",FALSE,"11212",NA
"51",2018,2,5,"german shepherd","M",FALSE,"11236",1
"52",2018,1,31,"pit bull","U",FALSE,NA,NA
"53",2018,2,4,"pit bull","U",FALSE,"11201",NA
"54",2018,2,4,"mixed","U",FALSE,"11211",NA
"55",2018,1,29,"mixed","M",FALSE,"11236",5
"56",2018,1,21,"pit bull","U",FALSE,"11207",NA
"57",2018,1,21,"pit bull","U",FALSE,"11207",NA
"58",2018,2,9,"chihuahua","M",FALSE,"11233",0.75
"59",2018,2,7,"pit bull","M",FALSE,"11216",2
"60",2018,2,13,"mixed","M",FALSE,"11231",NA
"61",2018,2,5,"pit bull","M",FALSE,"11234",6
"62",2018,2,12,"german shepherd","M",FALSE,"11235",3
"63",2018,2,15,"mixed","U",FALSE,"11215",NA
"64",2018,2,10,"labrador retriever","M",TRUE,"11239",5
"65",2018,2,11,"rottweiler","U",FALSE,NA,NA
"66",2018,2,16,"shih tzu","M",FALSE,"11236",9
"67",2018,2,14,"pit bull","M",FALSE,"11216",10
"68",2018,2,18,"pomeranian","M",FALSE,NA,0.67
"69",2018,2,19,"norfolk terrier","U",FALSE,"11231",NA
"70",2018,2,20,"border collie","F",FALSE,"11216",3
"71",2018,2,16,"beagle","F",TRUE,"11209",4
"72",2018,2,19,"pit bull","M",FALSE,"11212",2
"73",2018,2,17,"poodle","M",TRUE,"11230",4
"74",2018,2,11,NA,"U",FALSE,"11220",NA
"75",2018,2,17,"mixed","F",TRUE,"11201",2
"76",2018,2,21,NA,"U",FALSE,"11231",NA
"77",2018,2,7,"labrador retriever","F",TRUE,"11219",4
"78",2018,2,9,"chihuahua","M",TRUE,"11214",7
"79",2018,2,22,"pit bull","F",FALSE,"11233",2
"80",2018,2,24,"pit bull","F",TRUE,"11236",3
"81",2018,2,25,"yorkshire terrier","F",FALSE,"11234",NA
"82",2018,2,24,"rottweiler","U",FALSE,"11233",NA
"83",2018,2,25,"pit bull","M",FALSE,"11218",3
"84",2018,2,26,"mini pinscher/pomeranian","M",TRUE,"11214",8
"85",2018,2,27,"pit bull","F",FALSE,"11208",3
"86",2018,2,26,"poodle, standard","F",FALSE,"11220",5
"87",2018,2,17,"pit bull","U",FALSE,"11233",NA
"88",2018,2,26,"labradoodle","M",TRUE,"11201",8
"89",2018,3,4,NA,"U",FALSE,"11206",NA
"90",2018,3,3,"australian silky terrier","M",TRUE,"11208",6
"91",2018,3,2,"cocker spaniel","M",FALSE,"11209",2
"92",2018,3,4,"beagle","U",FALSE,"11215",NA
"93",2018,3,4,"siberian husky","F",TRUE,"11234",5
"94",2018,3,5,"mixed","M",FALSE,"11225",3
"95",2018,3,4,"pit bull","M",TRUE,NA,4
"96",2018,2,28,"shepherd/pointer","M",TRUE,"11209",1
"97",2018,3,5,"boxer","U",FALSE,"11215",NA
"98",2018,3,6,"shih tzu","U",FALSE,NA,NA
"99",2018,3,6,"pit bull","U",FALSE,"11220",NA
"100",2018,3,6,"mixed","M",TRUE,"11229",13
