year,month,day,breed,gender,spayneuter,zipcode,age
2018,1,1,NA,U,FALSE,11220,NA
2018,1,4,NA,U,FALSE,NA,NA
2018,1,6,pit bull,U,FALSE,11224,NA
2018,1,8,mixed,M,FALSE,11231,4
2018,1,9,pit bull,U,FALSE,11224,NA
2018,1,3,basenji,M,FALSE,11231,4
2018,1,1,NA,U,FALSE,NA,NA
2018,1,3,pit bull,U,FALSE,11233,NA
2018,1,4,pit bull,M,FALSE,11235,5
2018,1,10,mixed,F,FALSE,11208,3
2018,1,6,NA,U,FALSE,11215,NA
2018,1,7,yorkshire terrier,M,TRUE,11208,7
2018,1,6,great dane,F,TRUE,NA,6
2018,1,1,pit bull,U,FALSE,11220,NA
2018,1,9,labradoodle,F,TRUE,11238,5
2018,1,1,west high white terrier,M,FALSE,11207,NA
2018,1,14,pit bull,U,FALSE,11205,NA
2018,1,7,NA,U,FALSE,11209,NA
2018,1,13,mixed,M,FALSE,11237,7
2018,1,10,pit bull,U,FALSE,11233,NA
2018,1,15,"poodle, miniature",M,TRUE,11217,8
2018,1,13,pit bull,F,TRUE,11236,11
2018,1,13,NA,U,FALSE,11234,NA
2018,1,9,NA,U,FALSE,11220,NA
2018,1,1,NA,U,FALSE,NA,NA
2018,1,18,pekingese,M,TRUE,11220,3
2018,1,8,poodle,M,TRUE,11215,13
2018,1,18,labrador retriever,M,TRUE,11214,11
2018,1,18,pit bull,F,TRUE,11230,2
2018,1,17,dachshund smooth coat,M,FALSE,11211,2
2018,1,20,pit bull,U,FALSE,11224,NA
2018,1,21,NA,M,TRUE,11231,2
2018,1,23,mixed,F,FALSE,11225,NA
2018,1,23,mixed,F,FALSE,11225,NA
2018,1,23,chihuahua,M,FALSE,11205,4
2018,1,15,pit bull,U,FALSE,11208,NA
2018,1,23,yorkshire terrier,U,FALSE,11210,NA
2018,1,24,shih tzu,U,FALSE,11233,NA
2018,1,28,pug,M,TRUE,11223,8
2018,1,27,maltese,U,FALSE,11224,NA
2018,1,28,mixed,U,FALSE,11214,NA
2018,1,29,mixed,F,FALSE,11232,7
2018,1,27,NA,U,FALSE,11226,NA
2018,1,28,minature pinscher,M,FALSE,11214,8
2018,2,1,terrier,M,FALSE,11233,4
2018,1,31,shih tzu,U,FALSE,11215,NA
2018,2,1,"dachshund, wirehaired, miniature",M,FALSE,NA,0.83
2018,1,29,american staff,M,TRUE,11201,3
2018,2,2,NA,U,FALSE,11212,NA
2018,2,5,bichon frise,U,FALSE,11212,NA
2018,2,5,german shepherd,M,FALSE,11236,1
2018,1,31,pit bull,U,FALSE,NA,NA
2018,2,4,pit bull,U,FALSE,11201,NA
2018,2,4,mixed,U,FALSE,11211,NA
2018,1,29,mixed,M,FALSE,11236,5
2018,1,21,pit bull,U,FALSE,11207,NA
2018,1,21,pit bull,U,FALSE,11207,NA
2018,2,9,chihuahua,M,FALSE,11233,0.75
2018,2,7,pit bull,M,FALSE,11216,2
2018,2,13,mixed,M,FALSE,11231,NA
2018,2,5,pit bull,M,FALSE,11234,6
2018,2,12,german shepherd,M,FALSE,11235,3
2018,2,15,mixed,U,FALSE,11215,NA
2018,2,10,labrador retriever,M,TRUE,11239,5
2018,2,11,rottweiler,U,FALSE,NA,NA
2018,2,16,shih tzu,M,FALSE,11236,9
2018,2,14,pit bull,M,FALSE,11216,10
2018,2,18,pomeranian,M,FALSE,NA,0.67
2018,2,19,norfolk terrier,U,FALSE,11231,NA
2018,2,20,border collie,F,FALSE,11216,3
2018,2,16,beagle,F,TRUE,11209,4
2018,2,19,pit bull,M,FALSE,11212,2
2018,2,17,poodle,M,TRUE,11230,4
2018,2,11,NA,U,FALSE,11220,NA
2018,2,17,mixed,F,TRUE,11201,2
2018,2,21,NA,U,FALSE,11231,NA
2018,2,7,labrador retriever,F,TRUE,11219,4
2018,2,9,chihuahua,M,TRUE,11214,7
2018,2,22,pit bull,F,FALSE,11233,2
2018,2,24,pit bull,F,TRUE,11236,3
2018,2,25,yorkshire terrier,F,FALSE,11234,NA
2018,2,24,rottweiler,U,FALSE,11233,NA
2018,2,25,pit bull,M,FALSE,11218,3
2018,2,26,mini pinscher/pomeranian,M,TRUE,11214,8
2018,2,27,pit bull,F,FALSE,11208,3
2018,2,26,"poodle, standard",F,FALSE,11220,5
2018,2,17,pit bull,U,FALSE,11233,NA
2018,2,26,labradoodle,M,TRUE,11201,8
2018,3,4,NA,U,FALSE,11206,NA
2018,3,3,australian silky terrier,M,TRUE,11208,6
2018,3,2,cocker spaniel,M,FALSE,11209,2
2018,3,4,beagle,U,FALSE,11215,NA
2018,3,4,siberian husky,F,TRUE,11234,5
2018,3,5,mixed,M,FALSE,11225,3
2018,3,4,pit bull,M,TRUE,NA,4
2018,2,28,shepherd/pointer,M,TRUE,11209,1
2018,3,5,boxer,U,FALSE,11215,NA
2018,3,6,shih tzu,U,FALSE,NA,NA
2018,3,6,pit bull,U,FALSE,11220,NA
2018,3,6,mixed,M,TRUE,11229,13
2018,3,3,terrier,M,FALSE,11234,5
2018,2,21,german shepherd,U,FALSE,11219,NA
2018,3,4,NA,U,FALSE,11236,NA
2018,2,22,NA,U,FALSE,11212,NA
2018,3,11,pit bull,F,TRUE,11234,2
2018,3,12,siberian husky,M,FALSE,11219,2
2018,3,11,pit bull,F,FALSE,11231,0.33
2018,3,9,labrador retriever,M,FALSE,11222,0.19
2018,3,15,beagle,M,TRUE,11220,7
2018,3,17,jack russ,U,FALSE,11229,NA
2018,3,17,rottweiler,M,TRUE,11206,4
2018,3,17,labrador retriever,M,TRUE,11223,2
2018,3,18,pit bull,M,FALSE,11216,3
2018,3,18,mixed,F,FALSE,11211,11
2018,3,18,mixed,U,FALSE,11208,9
2018,3,17,mixed,F,FALSE,11203,2
2018,3,11,mixed,F,TRUE,11206,6
2018,3,20,NA,U,FALSE,11209,NA
2018,3,22,NA,U,FALSE,11215,NA
2018,3,17,NA,U,FALSE,11238,NA
2018,3,21,maltese,F,FALSE,11216,0.62
2018,3,11,lhasa apso,M,FALSE,11226,1
2018,3,26,corgi-chihuahua,M,TRUE,11225,11
2018,3,22,puggle,M,FALSE,11204,9
2018,3,25,english staffordshire terrier,M,TRUE,11215,1
2018,3,23,mixed,M,TRUE,11218,8
2018,3,26,pit bull,U,FALSE,11207,NA
2018,3,27,NA,U,FALSE,NA,NA
2018,3,23,shih tzu,F,FALSE,11209,13
2018,3,27,bichon frise,U,FALSE,NA,NA
2018,3,26,pit bull,U,FALSE,11207,NA
2018,3,23,pit bull,U,FALSE,NA,NA
2018,3,25,NA,U,FALSE,NA,NA
2018,3,28,pit bull,F,TRUE,11221,4
2018,3,29,shih tzu,F,FALSE,11237,2
2018,3,30,bichon / poodle,M,FALSE,11226,11
2018,4,1,NA,U,FALSE,NA,NA
2018,3,31,maltese,M,TRUE,11215,11
2018,4,4,mixed,F,FALSE,11208,4
2018,3,31,maltese/ shih tzu,M,FALSE,11234,3
2018,3,31,siberian husky,M,FALSE,11214,4
2018,4,4,mixed,M,FALSE,11207,10
2018,4,4,mixed,M,FALSE,11207,10
2018,4,3,mixed,M,FALSE,11237,3
2018,4,4,mixed,M,FALSE,11237,3
2018,3,29,mixed,M,FALSE,11216,4
2018,4,4,mixed,M,FALSE,11216,4
2018,4,8,mixed,M,FALSE,11249,2
