country,year,donors
Australia,NA,NA
Australia,1991,12.09
Australia,1992,12.35
Australia,1993,12.51
Australia,1994,10.25
Australia,1995,10.18
Australia,1996,10.59
Australia,1997,10.26
Australia,1998,10.48
Australia,1999,8.67
Australia,2000,10.23
Australia,2001,9.53
Australia,2002,10.48
Australia,NA,NA
Austria,NA,NA
Austria,1991,27.6
Austria,1992,23.1
Austria,1993,26.2
Austria,1994,21.4
Austria,1995,21.5
Austria,1996,24.7
Austria,1997,19.5
Austria,1998,20.7
Austria,1999,25.9
Austria,2000,24
Austria,2001,23.9
Austria,2002,23.8
Austria,NA,NA
Belgium,NA,NA
Belgium,1991,21
Belgium,1992,20.6
Belgium,1993,21
Belgium,1994,22.8
Belgium,1995,19.6
Belgium,1996,21.2
Belgium,1997,22.5
Belgium,1998,19.4
Belgium,1999,25.2
Belgium,2000,25.6
Belgium,2001,22.2
Belgium,2002,21.7
Belgium,NA,NA
Canada,NA,NA
Canada,1991,14.7
Canada,1992,12.6
Canada,1993,14.1
Canada,1994,13.9
Canada,1995,14.8
Canada,1996,14
Canada,1997,14.2
Canada,1998,13.7
Canada,1999,13.8
Canada,2000,15.3
Canada,2001,13.5
Canada,2002,13
Canada,NA,NA
Denmark,NA,NA
Denmark,1991,11.7
Denmark,1992,16.1
Denmark,1993,14.7
Denmark,1994,12.9
Denmark,1995,12.9
Denmark,1996,14
Denmark,1997,11.4
Denmark,1998,11
Denmark,1999,14.3
Denmark,2000,12.5
Denmark,2001,12.9
Denmark,2002,12.7
Denmark,NA,NA
Finland,NA,NA
Finland,1991,16.8
Finland,1992,19.4
Finland,1993,19.6
Finland,1994,20
Finland,1995,19.4
Finland,1996,19.5
Finland,1997,16.3
Finland,1998,19.8
Finland,1999,16.5
Finland,2000,19.9
Finland,2001,17
Finland,2002,17.1
Finland,NA,NA
France,NA,NA
France,1991,19.1
France,1992,16.8
France,1993,17.1
France,1994,15.4
France,1995,15.1
France,1996,15.1
France,1997,15
France,1998,16.5
France,1999,16.2
France,2000,17
France,2001,17.8
France,2002,20
France,NA,NA
Germany,NA,NA
Germany,1991,13.3
Germany,1992,14.2
Germany,1993,13.9
Germany,1994,12.3
Germany,1995,12.8
Germany,1996,12.7
Germany,1997,13.2
Germany,1998,13.4
Germany,1999,13.2
Germany,2000,12.5
Germany,2001,12.8
Germany,2002,12.2
Germany,NA,NA
Italy,NA,NA
Italy,1991,5.2
Italy,1992,5.8
Italy,1993,6.2
Italy,1994,7.9
Italy,1995,10.1
Italy,1996,11
Italy,1997,11.6
Italy,1998,12.3
Italy,1999,13.7
Italy,2000,14.2
Italy,2001,17.1
Italy,2002,18.1
Italy,NA,NA
Ireland,NA,NA
Ireland,1991,19
Ireland,1992,19.5
Ireland,1993,17.1
Ireland,1994,20.3
Ireland,1995,24.6
Ireland,1996,16.8
Ireland,1997,20.9
Ireland,1998,23.8
Ireland,1999,18.7
Ireland,2000,17.6
Ireland,2001,18.2
Ireland,2002,21
Ireland,NA,NA
Netherlands,NA,NA
Netherlands,1991,14.9
Netherlands,1992,15.1
Netherlands,1993,15.4
Netherlands,1994,13.1
Netherlands,1995,15.2
Netherlands,1996,15.1
Netherlands,1997,14.4
Netherlands,1998,13
Netherlands,1999,10.9
Netherlands,2000,12.6
Netherlands,2001,11.6
Netherlands,2002,12.6
Netherlands,NA,NA
Norway,NA,NA
Norway,1991,15.2
Norway,1992,14.3
Norway,1993,17.1
Norway,1994,16
Norway,1995,15.7
Norway,1996,15.1
Norway,1997,15.1
Norway,1998,15.6
Norway,1999,15.5
Norway,2000,17.6
Norway,2001,14.4
Norway,2002,13.7
Norway,NA,NA
Spain,NA,NA
Spain,1991,20.2
Spain,1992,21.7
Spain,1993,22.6
Spain,1994,25
Spain,1995,27
Spain,1996,26.8
Spain,1997,29
Spain,1998,31.5
Spain,1999,33.4
Spain,2000,33.9
Spain,2001,32.5
Spain,2002,33.7
Spain,NA,NA
Sweden,NA,NA
Sweden,1991,16.4
Sweden,1992,14.9
Sweden,1993,15.2
Sweden,1994,12.8
Sweden,1995,13
Sweden,1996,11.9
Sweden,1997,12.6
Sweden,1998,14.6
Sweden,1999,12.1
Sweden,2000,10.9
Sweden,2001,12.1
Sweden,2002,11
Sweden,NA,NA
Switzerland,NA,NA
Switzerland,1991,15.6
Switzerland,1992,14.8
Switzerland,1993,16.6
Switzerland,1994,15.9
Switzerland,1995,13
Switzerland,1996,12.57
Switzerland,1997,14.28
Switzerland,1998,15.43
Switzerland,1999,14.42
Switzerland,2000,14
Switzerland,2001,13.19
Switzerland,2002,10.4
Switzerland,NA,NA
United Kingdom,NA,NA
United Kingdom,1991,14.2
United Kingdom,1992,14.4
United Kingdom,1993,13.9
United Kingdom,1994,14.2
United Kingdom,1995,14.4
United Kingdom,1996,13.6
United Kingdom,1997,13.4
United Kingdom,1998,12.3
United Kingdom,1999,12.1
United Kingdom,2000,13.2
United Kingdom,2001,13.2
United Kingdom,2002,13
United Kingdom,NA,NA
United States,NA,NA
United States,1991,17.89
United States,1992,17.62
United States,1993,18.7
United States,1994,19.38
United States,1995,20.14
United States,1996,20.1
United States,1997,20.09
United States,1998,21
United States,1999,20.87
United States,2000,21.21
United States,2001,21.31
United States,2002,21.47
United States,NA,NA
