DM,May22_2012,no_paid_search,log_revenue
500,0,1,11.22800414
501,0,0,14.57999859
502,0,0,10.38516327
503,0,0,10.48166039
504,0,0,13.39497597
505,0,1,12.81640456
506,0,0,13.24209695
507,0,0,10.99712375
508,0,0,12.29831421
509,0,0,10.93024869
510,0,0,12.61707851
511,0,1,13.34409748
512,0,0,12.41787613
513,0,1,11.32475909
514,0,0,11.88424592
515,0,0,11.98679237
516,0,0,10.39582265
517,0,1,12.27397837
518,0,0,11.67600633
519,0,0,10.97953855
520,0,0,10.6408741
521,0,1,11.76923899
522,0,0,10.45252158
523,0,0,11.28784604
524,0,0,13.07340439
525,0,1,9.837798383
526,0,0,10.12778766
527,0,0,12.19472853
528,0,1,13.58706134
529,0,0,11.71824164
530,0,0,10.61610626
531,0,0,10.96256808
532,0,0,11.64957781
533,0,0,12.34294478
534,0,1,12.74516678
535,0,0,12.02796289
536,0,1,10.81481136
537,0,0,10.20977731
538,0,0,11.37106181
539,0,0,12.89202331
540,0,0,10.77135981
541,0,0,11.39156536
542,0,1,11.45360956
543,0,0,10.98023186
544,0,1,11.82456975
545,0,1,10.80922708
546,0,1,11.07843932
547,0,1,11.31887217
548,0,1,12.15545181
549,0,0,10.01051232
550,0,1,10.4065125
551,0,0,10.83050667
552,0,0,8.944284802
553,0,0,9.890505992
554,0,0,10.29761164
555,0,0,11.35113849
556,0,1,11.57790775
557,0,1,11.47484373
558,0,0,8.884016757
559,0,0,10.17857399
560,0,0,12.18006163
561,0,1,11.7429493
563,0,1,11.85663025
564,0,0,11.49816963
565,0,1,10.01600167
566,0,1,11.88565298
567,0,0,11.9210107
569,0,0,9.517141947
570,0,0,10.73876538
571,0,0,11.43530284
573,0,0,11.24455288
574,0,0,11.05115105
575,0,0,11.14224131
576,0,1,10.27792058
577,0,1,11.83081516
581,0,1,10.3143096
582,0,0,9.595650022
583,0,0,8.087644844
584,0,0,9.487905037
588,0,0,11.16217471
592,0,0,10.20554692
596,0,1,8.705318304
597,0,0,9.505245046
