"ideology_score","year","group","party"
0.453,2013,"GOP.2013","GOP"
0.681,2013,"GOP.2013","GOP"
0.435,2013,"GOP.2013","GOP"
0.472,2013,"GOP.2013","GOP"
0.454,2013,"GOP.2013","GOP"
0.827,2013,"GOP.2013","GOP"
0.575,2013,"GOP.2013","GOP"
-0.321,2013,"DEM.2013","DEM"
0.511,2013,"GOP.2013","GOP"
-0.186,2013,"DEM.2013","DEM"
-0.088,2013,"DEM.2013","DEM"
-0.577,2013,"DEM.2013","DEM"
0.807,2013,"GOP.2013","GOP"
0.854,2013,"GOP.2013","GOP"
0.892,2013,"GOP.2013","GOP"
-0.417,2013,"DEM.2013","DEM"
0.855,2013,"GOP.2013","GOP"
-0.11,2013,"DEM.2013","DEM"
0.477,2013,"GOP.2013","GOP"
0.69,2013,"GOP.2013","GOP"
0.441,2013,"GOP.2013","GOP"
0.904,2013,"GOP.2013","GOP"
0.748,2013,"GOP.2013","GOP"
-0.461,2013,"DEM.2013","DEM"
-0.332,2013,"DEM.2013","DEM"
0.998,2013,"GOP.2013","GOP"
-0.407,2013,"DEM.2013","DEM"
-0.438,2013,"DEM.2013","DEM"
-0.203,2013,"DEM.2013","DEM"
0.632,2013,"GOP.2013","GOP"
-0.252,2013,"DEM.2013","DEM"
0.661,2013,"GOP.2013","GOP"
-0.616,2013,"DEM.2013","DEM"
-0.388,2013,"DEM.2013","DEM"
-0.652,2013,"DEM.2013","DEM"
-0.468,2013,"DEM.2013","DEM"
-0.367,2013,"DEM.2013","DEM"
-0.166,2013,"DEM.2013","DEM"
-0.533,2013,"DEM.2013","DEM"
-0.38,2013,"DEM.2013","DEM"
-0.412,2013,"DEM.2013","DEM"
-0.471,2013,"DEM.2013","DEM"
0.588,2013,"GOP.2013","GOP"
0.693,2013,"GOP.2013","GOP"
0.668,2013,"GOP.2013","GOP"
-0.428,2013,"DEM.2013","DEM"
0.593,2013,"GOP.2013","GOP"
-0.269,2013,"DEM.2013","DEM"
-0.502,2013,"DEM.2013","DEM"
-0.357,2013,"DEM.2013","DEM"
-0.354,2013,"DEM.2013","DEM"
-0.379,2013,"DEM.2013","DEM"
0.61,2013,"GOP.2013","GOP"
-0.506,2013,"DEM.2013","DEM"
-0.434,2013,"DEM.2013","DEM"
-0.446,2013,"DEM.2013","DEM"
-0.407,2013,"DEM.2013","DEM"
-0.206,2013,"DEM.2013","DEM"
-0.513,2013,"DEM.2013","DEM"
-0.49,2013,"DEM.2013","DEM"
0.905,2013,"GOP.2013","GOP"
-0.398,2013,"DEM.2013","DEM"
-0.502,2013,"DEM.2013","DEM"
0.551,2013,"GOP.2013","GOP"
-0.554,2013,"DEM.2013","DEM"
-0.452,2013,"DEM.2013","DEM"
1.039,2013,"GOP.2013","GOP"
-0.358,2013,"DEM.2013","DEM"
-0.511,2013,"DEM.2013","DEM"
1.033,2013,"GOP.2013","GOP"
0.809,2013,"GOP.2013","GOP"
0.732,2013,"GOP.2013","GOP"
-0.37,2013,"DEM.2013","DEM"
-0.154,2013,"DEM.2013","DEM"
-0.346,2013,"DEM.2013","DEM"
-0.395,2013,"DEM.2013","DEM"
-0.339,2013,"DEM.2013","DEM"
0.749,2013,"GOP.2013","GOP"
0.779,2013,"GOP.2013","GOP"
0.853,2013,"GOP.2013","GOP"
0.827,2013,"GOP.2013","GOP"
-0.279,2013,"DEM.2013","DEM"
-0.402,2013,"DEM.2013","DEM"
-0.329,2013,"DEM.2013","DEM"
-0.435,2013,"DEM.2013","DEM"
-0.254,2013,"DEM.2013","DEM"
-0.313,2013,"DEM.2013","DEM"
-0.252,2013,"DEM.2013","DEM"
0.872,2013,"GOP.2013","GOP"
0.82,2013,"GOP.2013","GOP"
0.956,2013,"GOP.2013","GOP"
0.457,2013,"GOP.2013","GOP"
-0.36,2013,"DEM.2013","DEM"
0.923,2013,"GOP.2013","GOP"
0.699,2013,"GOP.2013","GOP"
0.774,2013,"GOP.2013","GOP"
-0.421,2013,"DEM.2013","DEM"
0.701,2013,"GOP.2013","GOP"
0.767,2013,"GOP.2013","GOP"
0.617,2013,"GOP.2013","GOP"
0.52,2013,"GOP.2013","GOP"
0.341,2013,"GOP.2013","GOP"
-0.4,2013,"DEM.2013","DEM"
0.776,2013,"GOP.2013","GOP"
0.632,2013,"GOP.2013","GOP"
0.752,2013,"GOP.2013","GOP"
-0.139,2013,"DEM.2013","DEM"
0.949,2013,"GOP.2013","GOP"
0.95,2013,"GOP.2013","GOP"
-0.482,2013,"DEM.2013","DEM"
-0.411,2013,"DEM.2013","DEM"
-0.42,2013,"DEM.2013","DEM"
-0.363,2013,"DEM.2013","DEM"
-0.431,2013,"DEM.2013","DEM"
0.328,2013,"GOP.2013","GOP"
-0.187,2013,"DEM.2013","DEM"
0.511,2013,"GOP.2013","GOP"
0.787,2013,"GOP.2013","GOP"
-0.235,2013,"DEM.2013","DEM"
0.859,2013,"GOP.2013","GOP"
-0.425,2013,"DEM.2013","DEM"
-0.554,2013,"DEM.2013","DEM"
0.925,2013,"GOP.2013","GOP"
0.976,2013,"GOP.2013","GOP"
0.786,2013,"GOP.2013","GOP"
0.893,2013,"GOP.2013","GOP"
0.987,2013,"GOP.2013","GOP"
0.827,2013,"GOP.2013","GOP"
-0.143,2013,"DEM.2013","DEM"
-0.365,2013,"DEM.2013","DEM"
0.999,2013,"GOP.2013","GOP"
-0.351,2013,"DEM.2013","DEM"
-0.286,2013,"DEM.2013","DEM"
0.999,2013,"GOP.2013","GOP"
0.399,2013,"GOP.2013","GOP"
-0.406,2013,"DEM.2013","DEM"
-0.427,2013,"DEM.2013","DEM"
-0.206,2013,"DEM.2013","DEM"
-0.485,2013,"DEM.2013","DEM"
-0.334,2013,"DEM.2013","DEM"
0.687,2013,"GOP.2013","GOP"
-0.458,2013,"DEM.2013","DEM"
-0.263,2013,"DEM.2013","DEM"
-0.597,2013,"DEM.2013","DEM"
-0.184,2013,"DEM.2013","DEM"
-0.244,2013,"DEM.2013","DEM"
-0.252,2013,"DEM.2013","DEM"
0.711,2013,"GOP.2013","GOP"
0.766,2013,"GOP.2013","GOP"
0.624,2013,"GOP.2013","GOP"
0.607,2013,"GOP.2013","GOP"
-0.201,2013,"DEM.2013","DEM"
0.543,2013,"GOP.2013","GOP"
-0.411,2013,"DEM.2013","DEM"
0.594,2013,"GOP.2013","GOP"
0.945,2013,"GOP.2013","GOP"
0.843,2013,"GOP.2013","GOP"
0.634,2013,"GOP.2013","GOP"
0.792,2013,"GOP.2013","GOP"
-0.394,2013,"DEM.2013","DEM"
0.619,2013,"GOP.2013","GOP"
0.71,2013,"GOP.2013","GOP"
-0.308,2013,"DEM.2013","DEM"
-0.272,2013,"DEM.2013","DEM"
0.496,2013,"GOP.2013","GOP"
0.728,2013,"GOP.2013","GOP"
0.996,2013,"GOP.2013","GOP"
0.822,2013,"GOP.2013","GOP"
0.848,2013,"GOP.2013","GOP"
0.837,2013,"GOP.2013","GOP"
0.528,2013,"GOP.2013","GOP"
0.555,2013,"GOP.2013","GOP"
-0.382,2013,"DEM.2013","DEM"
0.999,2013,"GOP.2013","GOP"
0.513,2013,"GOP.2013","GOP"
0.72,2013,"GOP.2013","GOP"
0.784,2013,"GOP.2013","GOP"
-0.409,2013,"DEM.2013","DEM"
0.694,2013,"GOP.2013","GOP"
0.814,2013,"GOP.2013","GOP"
0.473,2013,"GOP.2013","GOP"
0.636,2013,"GOP.2013","GOP"
0.728,2013,"GOP.2013","GOP"
-0.475,2013,"DEM.2013","DEM"
-0.298,2013,"DEM.2013","DEM"
0.878,2013,"GOP.2013","GOP"
-0.281,2013,"DEM.2013","DEM"
-0.419,2013,"DEM.2013","DEM"
-0.562,2013,"DEM.2013","DEM"
-0.311,2013,"DEM.2013","DEM"
-0.281,2013,"DEM.2013","DEM"
-0.425,2013,"DEM.2013","DEM"
-0.381,2013,"DEM.2013","DEM"
-0.444,2013,"DEM.2013","DEM"
-0.555,2013,"DEM.2013","DEM"
-0.413,2013,"DEM.2013","DEM"
-0.446,2013,"DEM.2013","DEM"
-0.53,2013,"DEM.2013","DEM"
-0.545,2013,"DEM.2013","DEM"
-0.458,2013,"DEM.2013","DEM"
-0.529,2013,"DEM.2013","DEM"
-0.351,2013,"DEM.2013","DEM"
-0.357,2013,"DEM.2013","DEM"
0.88,2013,"GOP.2013","GOP"
0.911,2013,"GOP.2013","GOP"
0.997,2013,"GOP.2013","GOP"
0.676,2013,"GOP.2013","GOP"
-0.411,2013,"DEM.2013","DEM"
0.697,2013,"GOP.2013","GOP"
0.795,2013,"GOP.2013","GOP"
0.674,2013,"GOP.2013","GOP"
-0.342,2013,"DEM.2013","DEM"
0.719,2013,"GOP.2013","GOP"
0.961,2013,"GOP.2013","GOP"
-0.387,2013,"DEM.2013","DEM"
-0.575,2013,"DEM.2013","DEM"
-0.24,2013,"DEM.2013","DEM"
-0.275,2013,"DEM.2013","DEM"
0.734,2013,"GOP.2013","GOP"
0.763,2013,"GOP.2013","GOP"
-0.392,2013,"DEM.2013","DEM"
-0.556,2013,"DEM.2013","DEM"
0.822,2013,"GOP.2013","GOP"
-0.175,2013,"DEM.2013","DEM"
-0.407,2013,"DEM.2013","DEM"
0.618,2013,"GOP.2013","GOP"
-0.429,2013,"DEM.2013","DEM"
0.517,2013,"GOP.2013","GOP"
0.644,2013,"GOP.2013","GOP"
-0.466,2013,"DEM.2013","DEM"
0.653,2013,"GOP.2013","GOP"
0.661,2013,"GOP.2013","GOP"
