"region","division","state","pop2000","pop2010","popgrowth","area"
"Midwest","East North Central","Michigan",9938444,9883640,-0.00551434409652054,56538.92
"Northeast","New England","Rhode Island",1048319,1052567,0.00405220166762216,1033.82
"South","West South Central","Louisiana",4468976,4533372,0.014409564965218,43203.93
"Midwest","East North Central","Ohio",11353140,11536504,0.0161509503097821,40860.73
"Northeast","Middle Atlantic","New York",18976457,19378102,0.0211654367303654,47126.43
"South","South Atlantic","West Virginia",1808344,1852994,0.0246910985962848,24038.21
"Northeast","New England","Vermont",608827,625741,0.0277812909085832,9216.67
"Northeast","New England","Massachusetts",6349097,6547629,0.0312693285360107,7800.08
"Midwest","East North Central","Illinois",12419293,12830632,0.0331209675140123,55519.02
"Northeast","Middle Atlantic","Pennsylvania",12281054,12702379,0.0343069088369777,44742.71
"Midwest","West North Central","Iowa",2926324,3046355,0.0410176726842277,55857.19
"Northeast","New England","Maine",1274923,1328361,0.0419146881811686,30842.92
"South","East South Central","Mississippi",2844658,2967297,0.0431120366666221,46923.29
"Northeast","Middle Atlantic","New Jersey",8414350,8791894,0.0448690629698075,7354.22
"Midwest","West North Central","North Dakota",642200,672591,0.0473232637807537,69000.81
"Northeast","New England","Connecticut",3405565,3574097,0.0494872363322973,4842.36
"South","South Atlantic","District of Columbia",572059,601723,0.0518547912016068,61.05
"Midwest","East North Central","Wisconsin",5363675,5686986,0.0602778878287741,54157.87
"Midwest","West North Central","Kansas",2688418,2853118,0.0612627946993362,81758.76
"Northeast","New England","New Hampshire",1235786,1316470,0.0652896213422065,8952.66
"Midwest","East North Central","Indiana",6080485,6483802,0.0663297417886896,35826.16
"Midwest","West North Central","Nebraska",1711263,1826341,0.0672474073242979,76824.22
"Midwest","West North Central","Missouri",5595211,5988927,0.0703666045838128,68741.54
"South","East South Central","Kentucky",4041769,4339367,0.0736306305481585,39486.38
"South","East South Central","Alabama",4447100,4779736,0.0747984079512491,50645.39
"Midwest","West North Central","Minnesota",4919479,5303925,0.0781477062916622,79626.79
"Midwest","West North Central","South Dakota",754844,814180,0.0786069704468738,75811.04
"South","West South Central","Oklahoma",3450654,3751351,0.0871420316264685,68594.99
"South","South Atlantic","Maryland",5296486,5773552,0.0900721723799515,9707.23
"South","West South Central","Arkansas",2673400,2915918,0.0907151941348096,52035.48
"West","Mountain","Montana",902195,989415,0.0966753307211856,145545.84
"West","Pacific","California",33871648,37253956,0.0998566116416892,155779.21
"South","East South Central","Tennessee",5689283,6346105,0.115448994187844,41235
"West","Pacific","Oregon",3421399,3831074,0.119739030729827,95988.05
"West","Pacific","Hawaii",1211537,1360301,0.122789481460327,6422.63
"South","South Atlantic","Virginia",7074226,8001024,0.131010516203469,39490.2
"West","Mountain","New Mexico",1819046,2059179,0.132010405454288,121298.17
"West","Pacific","Alaska",626932,710231,0.132867679429348,570640.94
"West","Pacific","Washington",5894121,6724540,0.140889370951156,66455.55
"West","Mountain","Wyoming",493782,563626,0.141447035331381,97093.14
"South","South Atlantic","Delaware",783600,897934,0.145908626850434,1948.55
"South","South Atlantic","South Carolina",4012012,4625364,0.152878904649338,30060.72
"West","Mountain","Colorado",4301261,5029196,0.169237579398228,103641.93
"South","South Atlantic","Florida",15982378,18801310,0.176377507777629,53624.78
"South","South Atlantic","Georgia",8186453,9687653,0.183376121502194,57513.54
"South","South Atlantic","North Carolina",8049313,9535483,0.18463314819538,48618.01
"South","West South Central","Texas",20851820,25145561,0.205916845627864,261231.8
"West","Mountain","Idaho",1293953,1567582,0.211467495341794,82643.19
"West","Mountain","Utah",2233169,2763885,0.237651516745934,82169.62
"West","Mountain","Arizona",5130632,6392017,0.245853727182148,113594.09
"West","Mountain","Nevada",1998257,2700551,0.35145329154358,109781.18
