key_ID,village,no_membrs,years_liv,respondent_wall_type,rooms,memb_assoc,affect_conflicts,liv_count,no_meals,items_owned,months_lack_food
1,God,7,9,muddaub,1,yes,once,3,2,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,Jan;Sept;Oct;Nov;Dec
2,God,6,38,muddaub,1,no,never,1,3,motorcyle;cow_plough,Nov
3,Chirodzo,12,70,burntbricks,3,yes,never,2,2,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;fridge,Jan
4,Chirodzo,8,6,burntbricks,1,no,never,3,3,television;solar_panel;solar_torch,Jan;Dec
5,Chirodzo,12,23,burntbricks,5,no,never,2,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table,Jan;Oct;Nov;Dec
6,God,7,20,burntbricks,3,yes,never,2,3,cow_cart;bicycle;radio;cow_plough;table,Sept;Oct
7,God,6,8,burntbricks,1,no,never,3,2,bicycle;radio;cow_plough;mobile_phone,Sept;Oct;Nov
8,God,5,30,sunbricks,2,yes,once,3,2,bicycle;radio;cow_plough;solar_panel;table,Jan;Feb;Mar;Apr;May;June;July;Aug;Sept;Oct;Nov
9,God,8,20,burntbricks,1,no,never,3,2,NULL,Jan;Feb;Mar;Oct;Nov;Dec
10,Ruaca,6,4,burntbricks,2,no,never,3,2,radio;table;sofa_set;mobile_phone,Nov;Dec
11,Ruaca,11,6,burntbricks,3,no,never,2,2,cow_cart;motorcyle;television;radio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone,Jan;Feb;Oct
12,Ruaca,3,20,burntbricks,2,no,never,2,2,radio;cow_plough;table;mobile_phone,none
13,Ruaca,2,2,muddaub,1,no,more_once,1,3,NULL,Aug;Sept;Oct
14,Ruaca,7,10,burntbricks,2,yes,frequently,1,3,motorcyle;bicycle;radio;table;mobile_phone,Jan;Feb
15,Ruaca,19,69,muddaub,2,yes,more_once,5,2,cow_cart;motorcyle;radio;cow_plough;solar_panel;mobile_phone,none
16,Ruaca,8,34,muddaub,1,no,more_once,2,2,cow_cart;lorry;motorcyle;sterio;cow_plough;solar_panel;mobile_phone,none
17,Chirodzo,8,18,burntbricks,3,yes,more_once,3,2,television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,Jan;Dec
18,Chirodzo,5,45,muddaub,1,yes,more_once,2,3,bicycle;cow_plough,Jan;Sept;Oct;Nov;Dec
19,Chirodzo,6,23,sunbricks,1,yes,once,3,3,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone,none
20,God,10,19,muddaub,1,yes,never,3,3,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,Nov
21,God,9,23,burntbricks,1,yes,never,1,3,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,Sept;Oct;Nov
22,God,8,8,sunbricks,1,no,never,3,3,mobile_phone,Jan;Nov;Dec
23,Chirodzo,7,29,muddaub,1,no,never,2,2,cow_plough;mobile_phone,Jan;Feb;Oct;Nov;Dec
24,Chirodzo,9,7,muddaub,1,no,never,4,3,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,none
25,Chirodzo,10,42,burntbricks,2,no,once,2,2,motorcyle;computer;television;sterio;solar_panel;solar_torch;table;mobile_phone,Sept;Oct;Nov
26,Chirodzo,2,2,muddaub,1,yes,once,1,3,solar_torch;mobile_phone,none
27,Chirodzo,6,7,muddaub,1,yes,never,1,2,solar_torch,June;July;Aug;Sept;Oct;Nov;Dec
28,Chirodzo,11,15,burntbricks,3,no,never,3,3,motorcyle;television;radio;cow_plough;solar_panel;mobile_phone,Aug;Sept;Oct;Nov
29,Chirodzo,8,16,burntbricks,3,yes,frequently,2,2,bicycle;radio;mobile_phone,Nov
30,Chirodzo,7,15,muddaub,1,no,never,1,2,NULL,Sept;Oct;Nov
31,Chirodzo,12,23,burntbricks,2,yes,never,2,3,motorcyle;bicycle;mobile_phone,none
32,Chirodzo,4,27,burntbricks,1,no,never,1,2,radio,none
33,Chirodzo,11,45,burntbricks,3,no,never,3,2,motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone,none
34,Chirodzo,8,15,burntbricks,2,no,never,4,2,cow_plough,none
35,Chirodzo,10,14,muddaub,1,yes,more_once,3,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone,Jan;Feb;Dec
36,Chirodzo,8,20,burntbricks,3,no,once,3,3,motorcyle;radio;cow_plough;table,Jan;Feb;Mar
37,Chirodzo,10,37,burntbricks,3,yes,frequently,4,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,none
38,Chirodzo,5,31,burntbricks,2,no,more_once,4,3,motorcyle;radio;cow_plough;solar_panel;mobile_phone,none
39,Chirodzo,8,52,burntbricks,3,no,more_once,3,3,motorcyle;television;sterio;solar_panel;mobile_phone,none
40,Chirodzo,4,12,muddaub,1,no,more_once,1,3,bicycle;radio;solar_torch;mobile_phone,none
41,Chirodzo,8,25,burntbricks,2,no,more_once,4,2,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone,none
42,Ruaca,6,14,burntbricks,1,yes,more_once,3,2,radio;cow_plough;mobile_phone,Aug;Sept;Oct;Nov
43,Ruaca,5,25,burntbricks,2,no,never,5,3,cow_cart;car;lorry;motorcyle;bicycle;television;sterio;cow_plough;solar_panel;solar_torch;electricity;table;sofa_set;mobile_phone;fridge,Jan;Oct;Nov
44,Ruaca,10,16,burntbricks,1,yes,once,3,3,motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;mobile_phone,none
45,Ruaca,5,79,burntbricks,2,yes,frequently,3,3,radio;cow_plough;solar_panel;mobile_phone,none
46,God,10,13,sunbricks,1,no,more_once,2,3,motorcyle;television;cow_plough;solar_panel;mobile_phone,Nov
47,Ruaca,7,50,muddaub,1,no,never,3,3,cow_plough;solar_panel,Oct;Nov
48,God,11,25,sunbricks,2,yes,more_once,3,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone,none
49,God,7,21,muddaub,3,no,more_once,2,3,solar_panel,Jan;Feb;Nov;Dec
50,God,7,24,muddaub,1,no,more_once,2,3,cow_plough;mobile_phone,none
51,God,5,43,muddaub,2,yes,more_once,4,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,none
52,God,5,48,burntbricks,1,no,never,3,2,cow_cart;bicycle;radio;cow_plough;solar_torch,Sept;Oct;Nov
53,God,7,49,burntbricks,2,yes,more_once,3,3,radio;cow_plough;mobile_phone,none
54,God,5,19,burntbricks,2,no,more_once,3,2,bicycle;television;radio;cow_plough;solar_torch;table;mobile_phone,Nov
55,God,3,49,burntbricks,1,no,never,1,3,NULL,Nov
56,God,12,12,burntbricks,4,yes,more_once,3,3,cow_cart;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,Jan;Feb;Mar;Oct;Nov;Dec
57,Ruaca,6,24,muddaub,1,yes,more_once,3,2,bicycle;radio;cow_plough,Jan;Aug;Sept;Oct;Nov;Dec
58,Ruaca,7,9,burntbricks,2,yes,more_once,3,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone,Jan;Sept;Oct
59,Ruaca,17,48,burntbricks,2,yes,more_once,4,3,bicycle;radio;cow_plough;solar_panel;mobile_phone,none
60,Ruaca,5,22,burntbricks,1,yes,never,2,2,radio;cow_plough;solar_torch,Aug;Sept;Oct
61,Ruaca,7,40,sunbricks,1,no,never,2,2,radio;cow_plough,Oct;Nov
62,God,5,10,burntbricks,2,no,never,3,3,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,Oct;Nov
63,God,3,4,muddaub,1,no,never,1,3,bicycle;solar_torch,Sept;Oct;Nov
64,Ruaca,6,96,sunbricks,1,no,never,5,3,cow_cart;cow_plough;solar_panel;sofa_set;mobile_phone,Jan;Feb;Dec
65,Ruaca,12,15,burntbricks,2,yes,frequently,2,3,cow_plough;table;sofa_set;mobile_phone,Jan;Feb
66,Ruaca,6,48,burntbricks,1,no,more_once,2,2,cow_plough,Aug;Sept;Oct
67,Ruaca,5,12,muddaub,1,no,more_once,1,3,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch,none
68,Ruaca,14,52,sunbricks,1,yes,never,4,3,cow_cart;bicycle;cow_plough,Jan;Feb;Dec
69,Ruaca,6,40,sunbricks,1,yes,frequently,2,3,motorcyle;radio;cow_plough;solar_panel;mobile_phone,Jan;Feb;Dec
70,God,15,22,sunbricks,5,no,never,2,3,cow_cart;motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;solar_torch;table;mobile_phone,Oct;Nov;Dec
71,Ruaca,6,22,sunbricks,3,no,never,3,2,bicycle;radio;cow_plough;table;mobile_phone,none
72,Ruaca,11,26,burntbricks,3,no,never,4,3,cow_cart;motorcyle;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,none
