films,name,species,height,mass,hair_color,skin_color,eye_color,birth_year,sex,gender,homeworld
The Empire Strikes Back,Luke Skywalker,Human,172,77,blond,fair,blue,19,male,masculine,Tatooine
Revenge of the Sith,Luke Skywalker,Human,172,77,blond,fair,blue,19,male,masculine,Tatooine
Return of the Jedi,Luke Skywalker,Human,172,77,blond,fair,blue,19,male,masculine,Tatooine
A New Hope,Luke Skywalker,Human,172,77,blond,fair,blue,19,male,masculine,Tatooine
The Force Awakens,Luke Skywalker,Human,172,77,blond,fair,blue,19,male,masculine,Tatooine
The Empire Strikes Back,C-3PO,Droid,167,75,NA,gold,yellow,112,none,masculine,Tatooine
Attack of the Clones,C-3PO,Droid,167,75,NA,gold,yellow,112,none,masculine,Tatooine
The Phantom Menace,C-3PO,Droid,167,75,NA,gold,yellow,112,none,masculine,Tatooine
Revenge of the Sith,C-3PO,Droid,167,75,NA,gold,yellow,112,none,masculine,Tatooine
Return of the Jedi,C-3PO,Droid,167,75,NA,gold,yellow,112,none,masculine,Tatooine
A New Hope,C-3PO,Droid,167,75,NA,gold,yellow,112,none,masculine,Tatooine
The Empire Strikes Back,R2-D2,Droid,96,32,NA,"white, blue",red,33,none,masculine,Naboo
Attack of the Clones,R2-D2,Droid,96,32,NA,"white, blue",red,33,none,masculine,Naboo
The Phantom Menace,R2-D2,Droid,96,32,NA,"white, blue",red,33,none,masculine,Naboo
Revenge of the Sith,R2-D2,Droid,96,32,NA,"white, blue",red,33,none,masculine,Naboo
Return of the Jedi,R2-D2,Droid,96,32,NA,"white, blue",red,33,none,masculine,Naboo
A New Hope,R2-D2,Droid,96,32,NA,"white, blue",red,33,none,masculine,Naboo
The Force Awakens,R2-D2,Droid,96,32,NA,"white, blue",red,33,none,masculine,Naboo
The Empire Strikes Back,Darth Vader,Human,202,136,none,white,yellow,41.9,male,masculine,Tatooine
Revenge of the Sith,Darth Vader,Human,202,136,none,white,yellow,41.9,male,masculine,Tatooine
Return of the Jedi,Darth Vader,Human,202,136,none,white,yellow,41.9,male,masculine,Tatooine
A New Hope,Darth Vader,Human,202,136,none,white,yellow,41.9,male,masculine,Tatooine
The Empire Strikes Back,Leia Organa,Human,150,49,brown,light,brown,19,female,feminine,Alderaan
Revenge of the Sith,Leia Organa,Human,150,49,brown,light,brown,19,female,feminine,Alderaan
Return of the Jedi,Leia Organa,Human,150,49,brown,light,brown,19,female,feminine,Alderaan
A New Hope,Leia Organa,Human,150,49,brown,light,brown,19,female,feminine,Alderaan
The Force Awakens,Leia Organa,Human,150,49,brown,light,brown,19,female,feminine,Alderaan
Attack of the Clones,Owen Lars,Human,178,120,"brown, grey",light,blue,52,male,masculine,Tatooine
Revenge of the Sith,Owen Lars,Human,178,120,"brown, grey",light,blue,52,male,masculine,Tatooine
A New Hope,Owen Lars,Human,178,120,"brown, grey",light,blue,52,male,masculine,Tatooine
Attack of the Clones,Beru Whitesun lars,Human,165,75,brown,light,blue,47,female,feminine,Tatooine
Revenge of the Sith,Beru Whitesun lars,Human,165,75,brown,light,blue,47,female,feminine,Tatooine
A New Hope,Beru Whitesun lars,Human,165,75,brown,light,blue,47,female,feminine,Tatooine
A New Hope,R5-D4,Droid,97,32,NA,"white, red",red,NA,none,masculine,Tatooine
A New Hope,Biggs Darklighter,Human,183,84,black,light,brown,24,male,masculine,Tatooine
The Empire Strikes Back,Obi-Wan Kenobi,Human,182,77,"auburn, white",fair,blue-gray,57,male,masculine,Stewjon
Attack of the Clones,Obi-Wan Kenobi,Human,182,77,"auburn, white",fair,blue-gray,57,male,masculine,Stewjon
The Phantom Menace,Obi-Wan Kenobi,Human,182,77,"auburn, white",fair,blue-gray,57,male,masculine,Stewjon
Revenge of the Sith,Obi-Wan Kenobi,Human,182,77,"auburn, white",fair,blue-gray,57,male,masculine,Stewjon
Return of the Jedi,Obi-Wan Kenobi,Human,182,77,"auburn, white",fair,blue-gray,57,male,masculine,Stewjon
A New Hope,Obi-Wan Kenobi,Human,182,77,"auburn, white",fair,blue-gray,57,male,masculine,Stewjon
Attack of the Clones,Anakin Skywalker,Human,188,84,blond,fair,blue,41.9,male,masculine,Tatooine
The Phantom Menace,Anakin Skywalker,Human,188,84,blond,fair,blue,41.9,male,masculine,Tatooine
Revenge of the Sith,Anakin Skywalker,Human,188,84,blond,fair,blue,41.9,male,masculine,Tatooine
Revenge of the Sith,Wilhuff Tarkin,Human,180,NA,"auburn, grey",fair,blue,64,male,masculine,Eriadu
A New Hope,Wilhuff Tarkin,Human,180,NA,"auburn, grey",fair,blue,64,male,masculine,Eriadu
The Empire Strikes Back,Chewbacca,Wookiee,228,112,brown,unknown,blue,200,male,masculine,Kashyyyk
Revenge of the Sith,Chewbacca,Wookiee,228,112,brown,unknown,blue,200,male,masculine,Kashyyyk
Return of the Jedi,Chewbacca,Wookiee,228,112,brown,unknown,blue,200,male,masculine,Kashyyyk
A New Hope,Chewbacca,Wookiee,228,112,brown,unknown,blue,200,male,masculine,Kashyyyk
The Force Awakens,Chewbacca,Wookiee,228,112,brown,unknown,blue,200,male,masculine,Kashyyyk
The Empire Strikes Back,Han Solo,Human,180,80,brown,fair,brown,29,male,masculine,Corellia
Return of the Jedi,Han Solo,Human,180,80,brown,fair,brown,29,male,masculine,Corellia
A New Hope,Han Solo,Human,180,80,brown,fair,brown,29,male,masculine,Corellia
The Force Awakens,Han Solo,Human,180,80,brown,fair,brown,29,male,masculine,Corellia
A New Hope,Greedo,Rodian,173,74,NA,green,black,44,male,masculine,Rodia
The Phantom Menace,Jabba Desilijic Tiure,Hutt,175,1358,NA,"green-tan, brown",orange,600,hermaphroditic,masculine,Nal Hutta
Return of the Jedi,Jabba Desilijic Tiure,Hutt,175,1358,NA,"green-tan, brown",orange,600,hermaphroditic,masculine,Nal Hutta
A New Hope,Jabba Desilijic Tiure,Hutt,175,1358,NA,"green-tan, brown",orange,600,hermaphroditic,masculine,Nal Hutta
The Empire Strikes Back,Wedge Antilles,Human,170,77,brown,fair,hazel,21,male,masculine,Corellia
Return of the Jedi,Wedge Antilles,Human,170,77,brown,fair,hazel,21,male,masculine,Corellia
A New Hope,Wedge Antilles,Human,170,77,brown,fair,hazel,21,male,masculine,Corellia
A New Hope,Jek Tono Porkins,Human,180,110,brown,fair,blue,NA,male,masculine,Bestine IV
The Empire Strikes Back,Yoda,Yoda's species,66,17,white,green,brown,896,male,masculine,NA
Attack of the Clones,Yoda,Yoda's species,66,17,white,green,brown,896,male,masculine,NA
The Phantom Menace,Yoda,Yoda's species,66,17,white,green,brown,896,male,masculine,NA
