company,Date,Open,High,Low,Close,Adj Close,Volume
AMZN,2019-01-02,73.260002,77.667999,73.046501,76.956497,76.956497,159662000
APPL,2019-01-02,38.7225,39.712502,38.557499,39.48,37.845036,148158800
GOOG,2019-01-02,50.828499,52.616001,50.7855,52.2925,52.2925,30652000
META,2019-01-02,128.990005,137.509995,128.559998,135.679993,135.536194,28146200
MSFT,2019-01-02,99.550003,101.75,98.940002,101.120003,95.846024,35329300
NFLX,2019-01-02,259.279999,269.75,256.579987,267.660004,267.660004,11679500
NVDA,2019-01-02,32.66,34.619999,32.512501,34.055,33.788895,50875200
TSLA,2019-01-02,20.406668,21.008667,19.92,20.674667,20.674667,174879000
AMZN,2019-01-03,76.000504,76.900002,74.855499,75.014,75.014,139512000
APPL,2019-01-03,35.994999,36.43,35.5,35.547501,34.075397,365248800
GOOG,2019-01-03,52.049999,52.848999,50.703499,50.803001,50.803001,36822000
META,2019-01-03,134.690002,137.169998,131.119995,131.740005,131.600372,22717900
MSFT,2019-01-03,100.099998,100.190002,97.199997,97.400002,92.320053,42579100
NFLX,2019-01-03,270.200012,275.790009,264.429993,271.200012,271.200012,14969600
NVDA,2019-01-03,33.447498,33.790001,31.922501,31.997499,31.747467,70555200
TSLA,2019-01-03,20.466667,20.626667,19.825333,20.024,20.024,104478000
AMZN,2019-01-04,76.5,79.699997,75.915497,78.769501,78.769501,183652000
APPL,2019-01-04,36.1325,37.137501,35.950001,37.064999,35.530056,234428400
GOOG,2019-01-04,51.629501,53.542,51.370899,53.5355,53.5355,41878000
META,2019-01-04,134.009995,138,133.75,137.949997,137.803787,29002100
MSFT,2019-01-04,99.720001,102.510002,98.93,101.93,96.613792,44060600
NFLX,2019-01-04,281.880005,297.799988,278.540009,297.570007,297.570007,19330100
NVDA,2019-01-04,32.735001,34.432499,32.424999,34.047501,33.781437,58562000
TSLA,2019-01-04,20.4,21.200001,20.181999,21.179333,21.179333,110911500
AMZN,2019-01-07,80.115501,81.727997,79.459503,81.475502,81.475502,159864000
APPL,2019-01-07,37.174999,37.2075,36.474998,36.982498,35.45097,219111200
GOOG,2019-01-07,53.575001,53.700001,52.737999,53.419498,53.419498,39638000
META,2019-01-07,137.559998,138.869995,135.910004,138.050003,137.903687,20089300
MSFT,2019-01-07,101.639999,103.269997,100.980003,102.059998,96.737007,35656100
NFLX,2019-01-07,302.100006,316.799988,301.649994,315.339996,315.339996,18620100
NVDA,2019-01-07,34.625,36.2225,34.107498,35.849998,35.56987,70916000
TSLA,2019-01-07,21.448,22.449333,21.183332,22.330667,22.330667,113268000
AMZN,2019-01-08,83.234497,83.830498,80.830498,82.829002,82.829002,177628000
APPL,2019-01-08,37.389999,37.955002,37.130001,37.6875,36.126778,164101200
GOOG,2019-01-08,53.8055,54.228001,53.026501,53.813999,53.813999,35298000
META,2019-01-08,139.889999,143.139999,139.539993,142.529999,142.378937,26263800
MSFT,2019-01-08,103.040001,103.970001,101.709999,102.800003,97.438416,31514400
NFLX,2019-01-08,319.980011,320.589996,308.01001,320.269989,320.269989,15359200
NVDA,2019-01-08,36.672501,36.695,34.224998,34.9575,34.684345,78601600
TSLA,2019-01-08,22.797333,22.934,21.801332,22.356667,22.356667,105127500
AMZN,2019-01-09,82.649002,83.389999,82.07,82.971001,82.971001,126976000
APPL,2019-01-09,37.822498,38.6325,37.407501,38.327499,36.740276,180396400
GOOG,2019-01-09,54.0825,54.1315,53.32,53.733002,53.733002,23986000
META,2019-01-09,142.949997,144.699997,141.270004,144.229996,144.077133,22205900
MSFT,2019-01-09,103.860001,104.879997,103.239998,104.269997,98.831726,32280800
NFLX,2019-01-09,317.709991,323.350006,313.5,319.959991,319.959991,13343200
NVDA,2019-01-09,35.474998,36.122501,34.965,35.645,35.366478,61726000
TSLA,2019-01-09,22.366667,22.9,22.098,22.568666,22.568666,81493500
AMZN,2019-01-10,82.050499,83.162498,81.081001,82.810997,82.810997,130154000
APPL,2019-01-10,38.125,38.4925,37.715,38.450001,36.857697,143122800
GOOG,2019-01-10,53.382999,53.557499,52.885502,53.516499,53.516499,29128000
META,2019-01-10,143.080002,144.559998,140.839996,144.199997,144.047165,16125000
MSFT,2019-01-10,103.220001,103.75,102.379997,103.599998,98.196671,30067600
NFLX,2019-01-10,314.570007,325.369995,312.5,324.660004,324.660004,13472500
NVDA,2019-01-10,35.450001,36.395,34.84,36.307499,36.023788,52315600
TSLA,2019-01-10,22.293333,23.025999,22.119333,22.997999,22.997999,90846000
AMZN,2019-01-11,82.027496,83.014503,81.810997,82.028,82.028,93724000
APPL,2019-01-11,38.220001,38.424999,37.877499,38.072498,36.495834,108092800
GOOG,2019-01-11,53.159,53.188751,52.424,52.859501,52.859501,30416000
META,2019-01-11,143.149994,145.360001,142.570007,143.800003,143.647598,12908000
MSFT,2019-01-11,103.190002,103.440002,101.639999,102.800003,97.438416,28314200
NFLX,2019-01-11,330.959991,341.089996,328.519989,337.589996,337.589996,19500400
NVDA,2019-01-11,36.0825,37.4375,35.802502,37.2075,36.916767,87476400
TSLA,2019-01-11,22.806,23.227333,22.584667,23.150667,23.150667,75586500
AMZN,2019-01-14,80.75,82.410004,79.7575,80.860497,80.860497,120118000
APPL,2019-01-14,37.712502,37.817501,37.305,37.5,35.947037,129756800
GOOG,2019-01-14,52.346001,52.5765,52.062752,52.234501,52.234501,22886000
META,2019-01-14,142,146.570007,141.270004,145.389999,145.235901,20520300
MSFT,2019-01-14,101.900002,102.870003,101.260002,102.050003,96.727524,28437100
NFLX,2019-01-14,334.23999,335.480011,329.130005,332.940002,332.940002,10499600
NVDA,2019-01-14,36.68,37.865002,36.442501,37.610001,37.316113,73016800
TSLA,2019-01-14,22.825333,22.833332,22.266666,22.293333,22.293333,78709500
AMZN,2019-01-15,81.599998,83.758003,81.300499,83.727997,83.727997,119970000
APPL,2019-01-15,37.567501,38.3475,37.512501,38.267502,36.682762,114843600
GOOG,2019-01-15,52.508499,54.002499,52.367001,53.857498,53.857498,29272000
META,2019-01-15,146.009995,150.679993,145.990005,148.949997,148.79213,24069000
MSFT,2019-01-15,102.510002,105.050003,101.879997,105.010002,99.533157,31587600
NFLX,2019-01-15,349.600006,357.220001,347,354.640015,354.640015,21181200
NVDA,2019-01-15,37.939999,38.337502,37.282501,37.467499,37.174736,61701200
TSLA,2019-01-15,22.333332,23.253332,22.299999,22.962,22.962,90849000
AMZN,2019-01-16,84.210999,85.25,83.793999,84.189003,84.189003,127338000
APPL,2019-01-16,38.27,38.970001,38.25,38.735001,37.13089,122278800
GOOG,2019-01-16,54,54.618752,53.966999,54.0485,54.0485,26636000
META,2019-01-16,149,149.649994,147,147.539993,147.383621,18025700
MSFT,2019-01-16,105.260002,106.260002,104.959999,105.379997,99.883827,29853900
NFLX,2019-01-16,354,358.850006,348.109985,351.390015,351.390015,15385500
NVDA,2019-01-16,37.7425,38.075001,37.154999,37.209999,36.919224,47010400
TSLA,2019-01-16,22.985332,23.466667,22.9,23.07,23.07,70375500
AMZN,2019-01-17,84,85.008499,83.875,84.661003,84.661003,84178000
APPL,2019-01-17,38.549999,39.415001,38.314999,38.965,37.351368,119284800
GOOG,2019-01-17,53.973499,54.59,53.674999,54.494999,54.494999,24854000
META,2019-01-17,146.949997,149,146.5,148.300003,148.142822,15787900
MSFT,2019-01-17,105,106.629997,104.760002,106.120003,100.585251,28393000
NFLX,2019-01-17,349.5,355.790009,346.410004,353.190002,353.190002,18871200
NVDA,2019-01-17,36.877499,38.3325,36.602501,37.93,37.633614,49343600
TSLA,2019-01-17,23.080667,23.433332,22.943333,23.153999,23.153999,55150500
AMZN,2019-01-18,85.599998,85.809998,84.577003,84.809998,84.809998,120410000
APPL,2019-01-18,39.375,39.470001,38.994999,39.205002,37.581432,135004000
GOOG,2019-01-18,55,55.417599,54.544998,54.912998,54.912998,39112000
META,2019-01-18,149.75,152.429993,148.550003,150.039993,149.880966,31029600
MSFT,2019-01-18,107.459999,107.900002,105.910004,107.709999,102.092323,37427600
NFLX,2019-01-18,351.970001,353,336.730011,339.100006,339.100006,26621000
NVDA,2019-01-18,38.432499,39.494999,37.912498,39.232498,38.925941,65133600
TSLA,2019-01-18,21.533333,21.808666,19.982,20.150667,20.150667,362262000
AMZN,2019-01-22,84.050003,84.093498,80.510002,81.608498,81.608498,128336000
APPL,2019-01-22,39.102501,39.182499,38.154999,38.325001,36.737877,121576000
GOOG,2019-01-22,54.400002,54.5755,53.1735,53.526001,53.526001,32270000
