mon_yr,retail_price,refining,dist_mkt,taxes,crude_oil
Jan-00,1.289,7.8,13,32.1,47.1
Feb-00,1.377,17.9,7.5,30.1,44.6
Mar-00,1.517,15.4,12.8,27.3,44.6
Apr-00,1.465,10.1,20.2,28.3,41.4
May-00,1.485,20.2,9.2,27.9,42.7
Jun-00,1.633,22.2,8.8,25.8,43.1
Jul-00,1.551,13.2,15.8,27.2,43.8
Aug-00,1.465,15.8,7.5,28.8,47.8
Sep-00,1.55,15.4,9,27.2,48.3
Oct-00,1.532,13.7,10.1,27.5,48.6
Nov-00,1.517,10.4,11.8,27.8,50
Dec-00,1.443,8,17.9,29.2,44.8
1-Jan,1.447,17.8,10.4,29.2,42.7
1-Feb,1.45,17.3,11,29.1,42.6
1-Mar,1.409,18.8,9.7,30,41.5
1-Apr,1.552,31.6,4.6,27.1,36.7
1-May,1.702,26.4,14,24.7,35
1-Jun,1.616,13.2,24.1,26,36.7
1-Jul,1.421,10,20,30,40
1-Aug,1.421,20,9,30,41
1-Sep,1.522,18,17,28,37
1-Oct,1.315,10,20.8,31.9,37.2
1-Nov,1.171,10,18,36,36
1-Dec,1.086,11.7,12.7,38.7,36.9
2-Jan,1.107,13,11.8,37.9,37.2
2-Feb,1.114,12.1,11.2,37.7,39.1
2-Mar,1.249,19.4,6.1,33.6,40.9
2-Apr,1.397,15.5,13,30.1,41.4
2-May,1.392,11.9,14.2,30.2,43.7
2-Jun,1.382,15,13,30.4,41.6
2-Jul,1.397,15,12.6,30.1,42.3
2-Aug,1.396,11.4,13.4,30,45
2-Sep,1.4,10.8,12.6,30,46.7
2-Oct,1.445,13.9,11.7,29.1,45.3
2-Nov,1.419,11.1,18,29.6,41.3
2-Dec,1.386,11.7,12.3,30.3,45.7
3-Jan,1.458,11.5,10.3,28.8,49.4
3-Feb,1.613,15,9.5,26,49.5
3-Mar,1.693,14.8,14.8,24.8,45.5
3-Apr,1.589,13.2,19.8,26.4,40.5
3-May,1.497,15.3,16.3,28.1,40.4
3-Jun,1.493,15.1,12.3,28.1,44.5
3-Jul,1.513,15.3,11.9,27.8,44.9
3-Aug,1.62,22.5,8.2,25.9,43.3
3-Sep,1.679,13.9,22.7,25,38.3
3-Oct,1.564,14.9,16.1,26.9,42.2
3-Nov,1.512,11.7,15.3,27.8,45.2
3-Dec,1.479,11.5,12.6,28.4,47.5
4-Jan,1.572,15.9,9.9,26.7,47.5
4-Feb,1.648,19.1,9.2,25.5,46.2
4-Mar,1.736,19,11.3,24.2,45.5
4-Apr,1.798,22,9.9,23.4,44.6
4-May,1.983,30.6,7.8,21.2,40.4
4-Jun,1.969,21.3,16.7,21.3,40.7
4-Jul,1.911,20.9,11.3,21.9,45.8
4-Aug,1.878,13.9,12.2,22.4,51.5
4-Sep,1.87,14.8,9.1,22.5,53.6
4-Oct,2,13,9.3,21,56.7
4-Nov,1.979,10.7,14.6,21.2,53.6
4-Dec,1.841,8.9,18.1,23.9,49.1
5-Jan,1.831,17.7,7.3,24,50.9
5-Feb,1.91,16.1,9.3,23,51.6
5-Mar,2.079,19.3,6.2,21.2,53.4
5-Apr,2.243,20.9,9.6,19.6,49.8
5-May,2.161,17.9,12.8,20.4,49
5-Jun,2.156,18.5,6.9,20.4,54.2
5-Jul,2.29,17.9,8,19.2,54.9
5-Aug,2.486,24.3,2.1,17.7,55.9
5-Sep,2.903,27.3,7.5,15.2,50
5-Oct,2.717,15.1,17.8,16.2,50.9
5-Nov,2.257,8.3,13.1,19.5,57.1
5-Dec,2.185,13.5,7.9,20.1,58.4
6-Jan,2.316,13.4,6.6,19.8,60.1
6-Feb,2.28,9.8,11.4,20.1,58.6
6-Mar,2.425,21.7,4.5,18.9,54.8
6-Apr,2.742,25.8,3.1,16.7,54.2
6-May,2.907,21.9,8.8,15.8,53.4
6-Jun,2.885,22,7.9,15.9,54.1
6-Jul,2.981,26.3,6.3,15.4,52
6-Aug,2.952,15.2,13.5,15.9,55.4
6-Sep,2.555,6.3,18.8,18.3,56.7
6-Oct,2.245,10.9,10.6,20.8,57.7
6-Nov,2.229,14.6,7.5,20.4,57.5
6-Dec,2.313,12.9,9.4,19.7,58
7-Jan,2.24,10.6,15.2,20.3,53.9
7-Feb,2.278,18,5.8,20,56.3
7-Mar,2.563,23.6,8.5,15.5,52.3
7-Apr,2.845,28.1,7.6,14,50.3
7-May,3.146,27.9,13.3,12.7,46.1
7-Jun,3.056,22.7,13.7,13,50.5
7-Jul,2.965,18.4,11.4,13.4,56.8
7-Aug,2.786,13.5,11.8,14.3,60.4
7-Sep,2.803,12.8,8.6,14.2,64.3
7-Oct,2.803,10.1,8.1,14.2,67.6
7-Nov,3.08,10,8.7,13,68.3
7-Dec,3.018,8.1,10.5,13.2,68.1
8-Jan,3.043,7.8,11.1,13.1,67.9
8-Feb,3.028,9.9,7.2,13.2,69.7
8-Mar,3.244,8,7.9,12.3,71.8
8-Apr,3.458,10,5.8,11.5,72.7
8-May,3.766,10,4.7,10.6,74.7
8-Jun,4.054,8.5,6.8,9.8,74.8
8-Jul,4.062,3.2,11.2,9.8,75.8
8-Aug,3.779,6.1,10.2,10.6,73.1
8-Sep,3.703,14.2,8.2,10.8,66.8
8-Oct,3.051,3.3,25,13.1,58.6
8-Nov,2.147,-3.7,24.7,18.6,60.4
8-Dec,1.687,0.7,19.5,23.6,56.2
9-Jan,1.788,13.4,10.7,22.3,53.6
9-Feb,1.923,16.8,14.9,20.7,47.6
9-Mar,1.959,12,12.3,20.4,55.3
9-Apr,2.049,12,12.1,19.5,56.4
9-May,2.266,17.6,-3.9,19.5,66.8
9-Jun,2.631,13.7,10.3,15.1,60.9
9-Jul,2.527,10.1,14,15.8,60.1
9-Aug,2.616,11,9.7,15.4,63.9
9-Sep,2.554,6.7,13.5,15.7,64
9-Oct,2.551,6.5,9.1,15.7,68.6
9-Nov,2.651,4,11.7,15.1,69
9-Dec,2.607,6.6,11.2,15.4,66.6
10-Jan,2.715,5,10.9,14.7,69.1
10-Feb,2.644,5.9,9.8,15.1,69
10-Mar,2.772,9.3,7.5,14.4,68.5
10-Apr,2.848,10.4,6.9,14.1,68.4
10-May,2.836,8.4,13.3,14.2,63.9
10-Jun,2.732,9.4,10,14.7,65.6
10-Jul,2.729,9.4,9.5,14.8,66.1
10-Aug,2.73,5.7,11.9,14.8,67.4
10-Sep,2.705,6.5,11.3,14.9,67.1
10-Oct,2.801,5.3,9.7,14.4,70.5
10-Nov,2.859,4.4,10.2,14.1,71.1
10-Dec,2.993,9.9,8.4,13.5,68.1
11-Jan,3.095,10.6,9.1,13,67
11-Feb,3.211,14.2,7.9,12.5,65.2
11-Mar,3.561,13.1,7.2,11.3,68.3
11-Apr,3.8,15.7,4.8,10.6,68.7
11-May,3.906,14.1,10.2,10.3,65.2
11-Jun,3.68,11.5,10.9,10.9,66.5
11-Jul,3.65,14.8,6.3,11,67.7
11-Aug,3.639,15.9,10.4,11.1,62.5
11-Sep,3.611,14,12.2,11.1,62.5
11-Oct,3.448,10.9,8.7,11.7,68.5
11-Nov,3.384,-0.5,11.8,11.9,76.7
11-Dec,3.266,-1.5,9,12.3,80
12-Jan,3.38,6,6.4,11.9,75.5
12-Feb,3.579,11.8,5.2,11.2,71.5
12-Mar,3.852,15.7,5.9,10.8,67.4
12-Apr,3.9,14.6,8.4,10.6,66.1
12-May,3.732,13,10.3,11.1,65.4
12-Jun,3.539,11.8,14.4,11.7,61.9
12-Jul,3.439,14.9,7.9,12.1,64.9
12-Aug,3.722,17.5,7.1,11.2,64
12-Sep,3.849,17.9,8.8,10.8,62.2
12-Oct,3.746,12,12.8,11.1,64
12-Nov,3.452,9.2,11.9,12.1,66.6
12-Dec,3.31,8,11.3,12.6,68
13-Jan,3.319,8.5,6.9,12.6,71.8
13-Feb,3.67,15,6.8,11.4,66.7
13-Mar,3.711,15.9,9.5,11.3,63.3
13-Apr,3.57,12.5,10.4,11.7,65.4
13-May,3.615,13.6,8.3,11.6,66.5
13-Jun,3.626,11.9,11,11.5,65.6
13-Jul,3.591,11.7,6.6,11.7,70
13-Aug,3.574,9.8,7.6,11.7,70.9
13-Sep,3.532,6.2,11.1,11.9,70.8
13-Oct,3.344,5.1,11,12.5,71.4
13-Nov,3.243,7.6,10.6,12.9,68.9
13-Dec,3.276,9.3,9.9,12.8,68.1
14-Jan,3.313,10,10.3,12.7,67
14-Feb,3.356,11.5,6.4,12.6,69.5
14-Mar,3.533,11.7,9.3,12,66.9
14-Apr,3.661,13.6,9.5,11.6,65.2
14-May,3.673,12.7,10.5,11.6,65.3
14-Jun,3.692,13.6,8.2,11.5,66.6
14-Jul,3.611,11.4,11.2,11.8,65.6
14-Aug,3.487,12.6,10.2,12.2,65
14-Sep,3.406,13.6,9.7,12.5,64.2
14-Oct,3.171,8.1,15.1,13.4,63.4
14-Nov,2.912,5.5,17.4,14.6,62.4
14-Dec,2.543,1,25.5,16.7,56.7
15-Jan,2.116,6.3,19.9,20.1,53.7
15-Feb,2.216,22.5,5.7,20.4,51.3
15-Mar,2.464,24,11.6,18.4,46
15-Apr,2.469,22.6,8.2,18.3,50.9
15-May,2.718,22.3,9.6,16.7,51.4
15-Jun,2.802,21.5,11.4,16.2,51
15-Jul,2.794,24.8,13.4,16.2,45.6
15-Aug,2.636,24.7,18.5,17,39.8
15-Sep,2.365,15.5,19.7,19,45.7
15-Oct,2.29,14.9,18.6,19.6,46.9
15-Nov,2.158,14.1,19,20.8,46.1
15-Dec,2.038,19.2,16.6,22,42.2
16-Jan,1.949,15.5,23.8,23,37.7
16-Feb,1.764,13.9,22.2,25.5,38.4
16-Mar,1.969,24.4,13.2,22.8,39.7
16-Apr,2.113,23.9,12.7,21.3,42.2
16-May,2.268,20.3,14.1,19.8,45.8
16-Jun,2.366,19.4,15.6,19,46
16-Jul,2.239,15.5,18.8,20.1,45.6
16-Aug,2.178,18.6,13.6,20.7,47.2
16-Sep,2.219,17.9,15,20.3,46.8
16-Oct,2.249,17.5,13.6,20,48.9
16-Nov,2.182,11.9,18.8,20.6,48.7
16-Dec,2.254,16.4,11.8,20,51.8
17-Jan,2.349,15.5,13.7,19.5,51.4
17-Feb,2.304,14.7,12.7,19.8,52.7
17-Mar,2.325,16.8,13.8,19.7,49.7
17-Apr,2.417,19.2,13.2,18.9,48.7
17-May,2.391,15.8,16.8,19.1,48.3
17-Jun,2.347,16.5,18.2,19.5,45.8
17-Jul,2.3,19,12.3,20.2,48.5
17-Aug,2.38,22.1,10.2,19.5,48.2
17-Sep,2.645,20.8,16.4,17.5,45.2
17-Oct,2.505,17.4,14,18.5,50
17-Nov,2.564,16.5,12.3,18.1,53.1
17-Dec,2.477,11.4,12.9,18.7,57
18-Jan,2.555,13.3,9,18.3,59.4
18-Feb,2.587,11.3,13.7,18.1,56.9
18-Mar,2.591,14.2,10.6,18,57.1
18-Apr,2.757,17,10.3,16.9,55.7
18-May,2.901,17.9,9.8,16.1,56.2
18-Jun,2.891,15.2,13,16.2,55.7
18-Jul,2.849,15.3,10.7,16.5,57.5
18-Aug,2.836,15.1,11.5,16.6,56.9
18-Sep,2.836,16.7,16.1,16.7,50.5
18-Oct,2.86,13.5,13.3,16.4,56.7
18-Nov,2.647,5.6,22.4,17.8,54.2
18-Dec,2.366,4.8,21.3,19.9,54.1
19-Jan,2.248,8.2,18.3,20.9,52.5
19-Feb,2.309,6.6,13.8,20.4,59.2
19-Mar,2.516,15.6,8.4,18.7,57.3
19-Apr,2.798,18.9,8,16.8,56.3
19-May,2.859,16.1,13.7,16.5,53.8
19-Jun,2.716,12.2,18,17.3,52.5
19-Jul,2.74,16.2,14.1,17.5,52.1
19-Aug,2.621,11.8,16.9,18.3,52.9
19-Sep,2.592,12.9,14.9,18.5,53.6
19-Oct,2.627,14.9,16,18.3,50.8
19-Nov,2.598,11.3,17.9,18.5,52.2
19-Dec,2.555,7,18,18.8,56.1
20-Jan,2.548,9,17.9,18.9,54.1
20-Feb,2.442,11.8,17.8,19.7,50.7
20-Mar,2.234,2.1,41.5,21.6,34.9
20-Apr,1.841,2.1,46.4,26.2,25.4
20-May,1.87,13.7,26.4,25.8,34.1
20-Jun,2.082,16.8,21.4,23.1,38.6
20-Jul,2.183,11.1,22.4,22.1,44.4
20-Aug,2.182,12.5,20,22.1,45.5
20-Sep,2.183,10.5,23.5,22.1,43.9
20-Oct,2.158,9.9,24.4,22.4,43.3
20-Nov,2.108,8.5,22.6,22.9,46
20-Dec,2.195,10.3,18.6,22,49.1
21-Jan,2.334,12.2,14.7,20.8,52.3
21-Feb,2.501,13,12.2,19.4,55.5
21-Mar,2.81,14.6,15.5,17.2,52.7
21-Apr,2.858,18.1,13.5,17,51.5
21-May,2.985,18.5,13.5,16.2,51.7
21-Jun,3.064,16.4,13.1,15.8,54.7
21-Jul,3.136,17,12.5,15.6,54.9
21-Aug,3.158,19.3,13.4,15.5,51.8
21-Sep,3.175,16.5,15.1,15.4,52.9
21-Oct,3.291,16.8,11.2,14.9,57
21-Nov,3.395,13,17.8,14.4,54.7
21-Dec,3.307,11.5,20.5,14.8,53.1
22-Jan,3.413,14.2,15.5,14.5,55.8
