pclass,survived
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,no
1st class,no
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,no
1st class,yes
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,yes
1st class,no
1st class,no
1st class,no
1st class,yes
1st class,yes
1st class,no
1st class,yes
