pclass,survived,sex,age
1st class,yes,female,29
1st class,yes,male,0.9167
1st class,no,female,2
1st class,no,male,30
1st class,no,female,25
1st class,yes,male,48
1st class,yes,female,63
1st class,no,male,39
1st class,yes,female,53
1st class,no,male,71
1st class,no,male,47
1st class,yes,female,18
1st class,yes,female,24
1st class,yes,female,26
1st class,yes,male,80
1st class,no,male,NA
1st class,no,male,24
1st class,yes,female,50
1st class,yes,female,32
1st class,no,male,36
1st class,yes,male,37
1st class,yes,female,47
1st class,yes,male,26
1st class,yes,female,42
1st class,yes,female,29
1st class,no,male,25
1st class,yes,male,25
1st class,yes,female,19
1st class,yes,female,35
1st class,yes,male,28
1st class,no,male,45
1st class,yes,male,40
1st class,yes,female,30
1st class,yes,female,58
1st class,no,male,42
1st class,yes,female,45
1st class,yes,female,22
1st class,yes,male,NA
1st class,no,male,41
1st class,no,male,48
1st class,no,male,NA
1st class,yes,female,44
1st class,yes,female,59
1st class,yes,female,60
1st class,yes,female,41
1st class,no,male,45
1st class,no,male,NA
1st class,yes,male,42
1st class,yes,female,53
1st class,yes,male,36
1st class,yes,female,58
1st class,no,male,33
1st class,no,male,28
1st class,no,male,17
1st class,yes,male,11
1st class,yes,female,14
1st class,yes,male,36
1st class,yes,female,36
1st class,no,male,49
1st class,yes,female,NA
1st class,no,male,36
1st class,yes,female,76
1st class,no,male,46
1st class,yes,female,47
1st class,yes,male,27
1st class,yes,female,33
1st class,yes,female,36
1st class,yes,female,30
1st class,yes,male,45
1st class,yes,female,NA
1st class,no,male,NA
1st class,no,male,27
1st class,yes,female,26
1st class,yes,female,22
1st class,no,male,NA
1st class,no,male,47
1st class,yes,female,39
1st class,no,male,37
1st class,yes,female,64
1st class,yes,female,55
1st class,no,male,NA
1st class,no,male,70
1st class,yes,female,36
1st class,yes,female,64
1st class,no,male,39
1st class,yes,female,38
1st class,yes,male,51
1st class,yes,male,27
1st class,yes,female,33
1st class,no,male,31
1st class,yes,female,27
1st class,yes,male,31
1st class,yes,female,17
1st class,yes,male,53
1st class,yes,male,4
1st class,yes,female,54
1st class,no,male,50
1st class,yes,female,27
1st class,yes,female,48
1st class,yes,female,48
1st class,yes,male,49
1st class,no,male,39
1st class,yes,female,23
1st class,yes,female,38
1st class,yes,female,54
1st class,no,female,36
1st class,no,male,NA
1st class,yes,female,NA
1st class,yes,female,NA
1st class,yes,male,36
1st class,no,male,30
1st class,yes,female,24
1st class,yes,female,28
1st class,yes,female,23
1st class,no,male,19
1st class,no,male,64
1st class,yes,female,60
1st class,yes,female,30
1st class,no,male,NA
1st class,yes,male,50
1st class,yes,male,43
1st class,yes,female,NA
1st class,yes,female,22
1st class,yes,male,60
1st class,yes,female,48
1st class,no,male,NA
1st class,no,male,37
1st class,yes,female,35
1st class,no,male,47
1st class,yes,female,35
1st class,yes,female,22
1st class,yes,female,45
1st class,no,male,24
1st class,yes,male,49
1st class,yes,female,NA
1st class,no,male,71
1st class,yes,male,53
1st class,yes,female,19
1st class,no,male,38
1st class,yes,female,58
1st class,yes,male,23
1st class,yes,female,45
1st class,no,male,46
1st class,yes,male,25
1st class,yes,female,25
1st class,yes,male,48
1st class,yes,female,49
1st class,no,male,NA
1st class,no,male,45
1st class,yes,female,35
1st class,no,male,40
1st class,yes,male,27
1st class,yes,male,NA
1st class,yes,female,24
1st class,no,male,55
1st class,yes,female,52
1st class,no,male,42
1st class,no,male,NA
1st class,no,male,55
1st class,yes,female,16
1st class,yes,female,44
1st class,yes,female,51
1st class,no,male,42
1st class,yes,female,35
1st class,yes,male,35
1st class,yes,male,38
1st class,no,male,NA
1st class,yes,female,35
1st class,yes,female,38
1st class,no,female,50
1st class,yes,male,49
1st class,no,male,46
1st class,no,male,50
1st class,no,male,32.5
1st class,no,male,58
1st class,no,male,41
1st class,yes,female,NA
1st class,yes,male,42
1st class,yes,female,45
1st class,no,male,NA
1st class,yes,female,39
1st class,yes,female,49
1st class,yes,female,30
