class,age,sex,survived
1st,29,female,TRUE
1st,2,female,FALSE
1st,30,male,FALSE
1st,25,female,FALSE
1st,0.92,male,TRUE
1st,47,male,TRUE
1st,63,female,TRUE
1st,39,male,FALSE
1st,58,female,TRUE
1st,71,male,FALSE
1st,47,male,FALSE
1st,19,female,TRUE
1st,50,female,TRUE
1st,24,male,FALSE
1st,36,male,FALSE
1st,37,male,TRUE
1st,47,female,TRUE
1st,26,male,TRUE
1st,25,male,FALSE
1st,25,male,TRUE
1st,19,female,TRUE
1st,28,male,TRUE
1st,45,male,FALSE
1st,39,male,TRUE
1st,30,female,TRUE
1st,58,female,TRUE
1st,45,female,TRUE
1st,22,female,TRUE
1st,41,male,FALSE
1st,48,male,FALSE
1st,44,female,TRUE
1st,59,female,TRUE
1st,60,female,TRUE
1st,45,male,FALSE
1st,53,female,TRUE
1st,58,female,TRUE
1st,36,male,TRUE
1st,33,male,FALSE
1st,36,male,TRUE
1st,36,female,TRUE
1st,14,female,TRUE
1st,11,male,TRUE
1st,49,male,FALSE
1st,36,male,FALSE
1st,46,male,FALSE
1st,47,female,TRUE
1st,27,male,TRUE
1st,31,female,TRUE
1st,27,male,FALSE
1st,26,female,TRUE
1st,64,female,TRUE
1st,37,male,FALSE
1st,39,female,TRUE
1st,55,female,TRUE
1st,70,male,FALSE
1st,69,female,TRUE
1st,36,female,TRUE
1st,39,male,FALSE
1st,38,female,TRUE
1st,27,male,TRUE
1st,31,male,FALSE
1st,27,female,TRUE
1st,31,male,TRUE
1st,17,female,TRUE
1st,4,male,TRUE
1st,27,female,TRUE
1st,50,male,FALSE
1st,48,female,TRUE
1st,49,male,TRUE
1st,48,female,TRUE
1st,39,male,FALSE
1st,23,female,TRUE
1st,53,female,TRUE
1st,36,female,FALSE
1st,30,male,FALSE
1st,24,female,TRUE
1st,19,male,FALSE
1st,28,female,TRUE
1st,23,female,TRUE
1st,64,male,FALSE
1st,60,female,TRUE
1st,49,male,TRUE
1st,44,male,TRUE
1st,22,female,TRUE
1st,60,male,TRUE
1st,48,female,TRUE
1st,37,male,FALSE
1st,35,female,TRUE
1st,47,male,FALSE
1st,22,female,TRUE
1st,45,female,TRUE
1st,49,male,TRUE
1st,71,male,FALSE
1st,54,male,TRUE
1st,38,male,FALSE
1st,19,female,TRUE
1st,58,female,TRUE
1st,45,female,TRUE
1st,23,male,TRUE
1st,46,male,FALSE
1st,25,male,TRUE
1st,21,female,TRUE
1st,48,male,TRUE
1st,49,female,TRUE
1st,45,male,FALSE
1st,36,female,TRUE
1st,55,male,FALSE
1st,52,female,TRUE
1st,24,female,TRUE
1st,16,female,TRUE
1st,44,female,TRUE
1st,51,female,TRUE
1st,42,male,FALSE
1st,35,female,TRUE
1st,35,male,TRUE
1st,38,male,TRUE
1st,35,female,TRUE
1st,50,female,FALSE
1st,49,male,TRUE
1st,46,male,FALSE
1st,58,male,FALSE
1st,41,male,FALSE
1st,42,male,TRUE
1st,40,female,TRUE
1st,42,male,FALSE
1st,55,female,TRUE
1st,50,female,TRUE
1st,16,female,TRUE
1st,29,male,FALSE
1st,21,female,TRUE
1st,30,male,FALSE
1st,15,female,TRUE
1st,30,male,FALSE
1st,46,male,FALSE
1st,54,male,FALSE
1st,36,male,TRUE
1st,28,male,FALSE
1st,65,male,FALSE
1st,33,female,TRUE
1st,44,male,FALSE
1st,37,female,TRUE
1st,55,male,FALSE
1st,47,male,FALSE
1st,36,male,FALSE
1st,58,male,FALSE
1st,31,female,TRUE
1st,23,female,TRUE
1st,19,female,TRUE
1st,64,male,FALSE
1st,64,male,FALSE
1st,22,female,TRUE
1st,28,male,FALSE
1st,22,male,FALSE
1st,18,male,FALSE
1st,17,female,TRUE
1st,52,male,TRUE
1st,46,male,FALSE
1st,56,female,TRUE
1st,43,female,TRUE
1st,31,male,FALSE
1st,33,female,TRUE
1st,27,female,TRUE
1st,55,male,FALSE
1st,54,female,TRUE
1st,61,male,FALSE
1st,48,female,TRUE
1st,18,female,TRUE
1st,13,male,TRUE
1st,21,female,TRUE
1st,34,male,TRUE
1st,40,female,TRUE
1st,36,male,TRUE
1st,50,male,FALSE
1st,39,female,TRUE
1st,56,male,TRUE
1st,28,male,TRUE
1st,56,male,FALSE
1st,56,male,FALSE
1st,24,male,FALSE
1st,18,female,TRUE
1st,24,male,TRUE
1st,23,female,TRUE
1st,45,male,TRUE
1st,40,female,TRUE
1st,6,male,TRUE
1st,57,male,FALSE
1st,32,male,TRUE
1st,62,male,FALSE
1st,54,male,TRUE
1st,43,female,TRUE
1st,52,female,TRUE
1st,62,female,TRUE
1st,67,male,FALSE
1st,63,female,FALSE
1st,61,male,FALSE
1st,46,female,TRUE
1st,52,male,FALSE
1st,39,female,TRUE
1st,18,female,TRUE
1st,48,male,TRUE
1st,49,male,FALSE
1st,39,female,TRUE
1st,17,male,TRUE
1st,46,male,FALSE
1st,31,male,TRUE
1st,61,male,FALSE
1st,47,male,FALSE
1st,64,male,FALSE
1st,60,female,TRUE
1st,60,male,FALSE
1st,55,female,TRUE
1st,54,male,FALSE
1st,21,male,FALSE
1st,57,male,FALSE
1st,45,female,TRUE
1st,31,female,TRUE
1st,50,male,FALSE
1st,50,female,TRUE
1st,27,male,FALSE
1st,20,female,TRUE
1st,51,male,FALSE
1st,21,male,TRUE
1st,36,female,TRUE
1st,40,male,FALSE
1st,32,male,FALSE
1st,33,male,FALSE
2nd,30,male,FALSE
2nd,28,female,TRUE
2nd,18,male,FALSE
2nd,34,male,FALSE
2nd,32,female,TRUE
2nd,57,male,FALSE
2nd,18,male,FALSE
2nd,23,male,FALSE
2nd,36,female,TRUE
2nd,28,male,FALSE
2nd,51,male,FALSE
2nd,32,male,TRUE
2nd,19,female,TRUE
2nd,28,male,FALSE
2nd,36,female,TRUE
2nd,4,female,TRUE
2nd,1,male,TRUE
2nd,12,female,TRUE
2nd,34,male,TRUE
2nd,19,female,TRUE
2nd,23,male,FALSE
2nd,26,male,FALSE
2nd,27,male,FALSE
2nd,15,female,TRUE
2nd,45,male,FALSE
2nd,40,female,TRUE
2nd,20,female,TRUE
2nd,25,male,FALSE
2nd,36,female,TRUE
2nd,25,male,FALSE
2nd,42,female,TRUE
2nd,26,male,TRUE
2nd,26,female,TRUE
