Name,Month,Year,Date,Weight,Volume,PlasticBottles,Polystyrene,CigaretteButts,GlassBottles,PlasticBags,Wrappers,SportsBalls,HomesPowered
Mister Trash Wheel,May,2014,5/16/2014,4.31,18,1450,1820,126000,72,584,1162,7,0
Mister Trash Wheel,May,2014,5/16/2014,2.74,13,1120,1030,91000,42,496,874,5,0
Mister Trash Wheel,May,2014,5/16/2014,3.4499999999999997,15,2450,3100,105000,50,1080,2032,6,0
Mister Trash Wheel,May,2014,5/17/2014,3.1,15,2380,2730,100000,52,896,1971,6,0
Mister Trash Wheel,May,2014,5/17/2014,4.06,18,980,870,120000,72,368,753,7,0
Mister Trash Wheel,May,2014,5/20/2014,2.71,13,1430,2140,90000,46,672,1144,5,0
Mister Trash Wheel,May,2014,5/21/2014,1.91,8,910,1090,56000,32,416,692,3,0
Mister Trash Wheel,May,2014,5/28/2014,3.7,16,3580,4310,112000,58,1552,3015,6,0
Mister Trash Wheel,June,2014,6/5/2014,2.52,14,2400,2790,98000,49,984,1988,6,0
Mister Trash Wheel,June,2014,6/11/2014,3.76,18,1340,1730,130000,75,448,1066,7,0
Mister Trash Wheel,June,2014,6/11/2014,3.4299999999999997,15,740,869,110000,38,344,544,6,0
Mister Trash Wheel,June,2014,6/12/2014,4.17,19,950,1140,133000,45,520,727,8,0
Mister Trash Wheel,June,2014,6/13/2014,5.13,15,530,630,104000,58,224,361,6,0
Mister Trash Wheel,June,2014,6/13/2014,4.17,15,840,760,100000,62,344,631,6,0
Mister Trash Wheel,June,2014,6/19/2014,3.28,15,1130,1350,102000,64,432,883,6,0
Mister Trash Wheel,June,2014,6/19/2014,3.05,15,1640,2130,106000,56,752,1327,6,0
Mister Trash Wheel,June,2014,6/28/2014,2.49,13,1350,1620,89000,47,696,1075,5,0
Mister Trash Wheel,July,2014,7/3/2014,2.54,15,1640,1960,108000,65,744,1327,6,0
Mister Trash Wheel,July,2014,7/7/2014,2.4099999999999997,15,1730,2100,107000,63,896,1405,6,0
Mister Trash Wheel,July,2014,7/11/2014,3.83,18,5960,6540,132000,79,2560,5085,7,0
Mister Trash Wheel,July,2014,7/14/2014,2.73,15,2170,2620,112000,32,1144,1788,6,0
Mister Trash Wheel,July,2014,7/15/2014,4.4,16,1930,2210,115000,53,688,1579,6,0
Mister Trash Wheel,July,2014,7/15/2014,2.79,14,3200,3840,98000,25,1464,2684,6,0
Mister Trash Wheel,July,2014,7/25/2014,2.5,13,2500,3040,85000,18,1248,2075,5,0
Mister Trash Wheel,August,2014,8/4/2014,4.39,16,2140,2050,118000,68,904,1762,6,0
Mister Trash Wheel,August,2014,8/4/2014,5.33,17,1630,1950,123000,75,512,1318,7,0
Mister Trash Wheel,August,2014,8/13/2014,3.58,20,3640,4360,141000,82,1560,3067,8,0
Mister Trash Wheel,August,2014,8/13/2014,3.1,17,1430,1870,121000,63,552,1144,7,0
Mister Trash Wheel,August,2014,8/19/2014,1.77,10,570,780,32000,21,310,1440,4,0
