fips,human2014,human2016,human2018
1001,43,43.458,46.971001
1003,43,42.223999,46.129002
1005,43,49.058998,51.93
1007,39,41.923,45.591999
1009,48,42.595001,44.09
1011,39,53.986,56.726002
1013,39,46.626999,50.474998
1015,43,46.306999,49.084999
1017,39,47.207001,48.889999
1019,39,41.028,44.867001
1021,41,41.889,45.861
1023,44,48.759998,50.755001
1025,40,44.992001,49.794998
1027,45,43.736,44.408001
1029,49,43.771,47.085999
1031,44,42.175999,46.244999
1033,41,45.575001,47.542999
1035,49,49.325001,47.648998
1037,39,45.030998,48.873001
1039,47,43.772999,45.661999
1041,41,43.916,48.174
1043,41,40.101002,43.084
1045,45,45.546001,47.039001
1047,45,55.021999,55.118
1049,45,44.244999,46.389999
1051,41,42.891998,47.141998
1053,42,44.948002,46.594002
1055,38,43.07,46.27
1057,40,41.647999,45.505001
1059,43,45.417999,47.939999
1061,41,41.130001,45.112
1063,37,51.645,53.157001
1065,43,49.467999,50.637001
1067,39,44.200001,46.652
1069,41,43.884998,46.957001
1071,39,41.106998,43.137001
1073,43,49.723,53.48
1075,39,41.332001,43.754002
1077,46,46.939999,49.591999
1079,43,43.707001,45.563999
1081,43,47.591,52.661999
1083,42,44.200001,47.185001
1085,44,51.294998,53.528
1087,42,54.212002,57.648998
1089,46,50.421001,54.862999
1091,39,47.306999,50.777
1093,41,42.500999,45.030998
1095,43,43.693001,47.188999
1097,42,47.716,50.439999
1099,44,46.466999,48.563
1101,42,53.208,56.901001
1103,43,43.972,46.542999
1105,40,51.403,54.404999
1107,40,45.511002,50.280998
1109,39,46.904999,50.73
1111,42,44.497002,47.096001
1113,45,50.776001,53.096001
1115,41,41.272999,44.647999
1117,44,44.025002,48.716
1119,43,51.416,53.349998
1121,40,46.577,49.423
1123,47,47.298,48.897999
1125,39,45.408001,50.002998
1127,40,40.153999,43.09
1129,37,40.692001,45.09
1131,38,51.917999,52.528
1133,38,39.567001,44.256001
2013,54,52.125999,60.032001
2016,45,51.715,59.388
2020,50,52.472,57.337002
2050,51,52.931999,59.181
2060,40,48.845001,57.257
2068,46,48.692001,57.271
2070,45,51.271,59.459
2090,46,48.749001,54.555
2100,43,50.352001,58.054001
2105,49,52.771999,59.667
2110,51,52.709,58.012001
2122,42,48.181999,55.720001
2130,45,51.791,58.479
2150,53,53.212002,58.665001
2164,49,52.915001,59.303001
2170,44,48.655998,59.487
2180,47,50.740002,54.536999
2185,41,49.312,58.897999
2188,55,54.935001,60.153999
2195,49,50.845001,61.625999
2198,49,50.810001,58.641998
2220,48,53.749001,58.423
2230,49,52.157001,61.271999
2240,44,48.653,60.601002
2261,44,49.422001,56.327999
2270,48,51.051998,57.764999
2275,49,49.912998,58.105
2282,43,50.610001,58.088001
2290,43,51.523998,59.515999
4001,44,53.118,58.318001
4003,49,50.348999,52.945999
4005,54,56.998001,60.688999
4007,44,48.298,52.091
4009,43,47.963001,50.786999
