geotype,geoid,geoname,count,discuss,discussOppose,reducetax,reducetaxOppose,prioritycleanenergy,prioritycleanenergyOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,drilloffshore,drilloffshoreOppose,drillanwr,drillanwrOppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,gwvoteimp,gwvoteimpOppose,generaterenewable,generaterenewableOppose,exp,expOppose,teachgw,teachgwOppose,priority,priorityOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmus,harmusOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose
national,9999,US,257883882,35.89,64.11,67.83,32.17,65.59,11.70,56.49,18.46,54.82,19.53,61.69,23.03,53.57,26.48,68.86,13.77,61.35,14.45,74.14,25.86,55.70,44.30,30.25,69.75,79.14,20.86,73.67,26.33,31.57,68.43,56.49,33.60,78.59,21.41,44.41,55.59,75.19,24.81,55.31,24.00,72.16,15.57,57.60,30.44,55.55,23.99,64.08,35.92,45.77,45.38,61.46,29.33,66.53,22.02,69.60,19.78,69.84,20.89,58.05,41.95,62.63,7.71
state,1,Alabama,3917451,27.69,72.31,62.16,37.84,59.01,14.34,51.68,19.01,50.16,20.08,54.04,27.43,47.02,31.56,62.31,15.70,54.97,17.06,69.01,30.99,67.63,32.37,36.55,63.45,74.16,25.84,69.69,30.31,24.14,75.86,47.85,41.81,75.96,24.04,36.36,63.64,71.74,28.26,45.79,31.31,62.18,20.00,50.04,36.26,44.16,27.95,54.95,45.05,39.06,48.12,53.76,33.65,58.17,26.25,59.64,25.64,60.52,25.74,50.45,49.55,50.28,9.35
state,2,Alaska,555481,38.61,61.39,65.38,34.62,62.79,11.47,53.11,21.18,47.73,25.01,58.34,27.80,50.54,30.28,68.09,14.08,59.79,14.60,71.61,28.40,57.02,42.98,31.21,68.80,79.81,20.19,73.77,26.23,34.65,65.35,55.90,33.71,76.34,23.66,43.68,56.32,73.07,26.93,53.24,27.52,71.45,17.52,55.23,32.30,55.72,24.83,62.49,37.51,43.28,48.82,60.40,31.59,65.95,23.90,69.37,21.34,70.32,22.01,56.51,43.49,60.66,7.57
state,4,Arizona,5578818,37.28,62.72,64.73,35.27,64.59,12.12,55.67,19.82,53.27,20.07,60.59,24.96,51.91,27.94,68.21,13.80,61.25,14.49,73.19,26.81,59.64,40.37,32.23,67.78,78.85,21.16,72.33,27.67,33.80,66.20,58.45,31.68,77.67,22.33,44.87,55.13,73.48,26.52,53.96,27.01,72.10,16.58,57.02,30.63,54.97,25.04,64.32,35.68,46.92,44.72,61.75,29.38,65.85,22.97,67.48,21.29,68.62,21.93,57.89,42.11,63.12,7.84
state,5,Arkansas,2321400,28.37,71.63,63.39,36.61,59.08,15.25,50.82,20.48,50.76,20.44,54.96,29.31,47.07,33.87,62.26,16.19,53.74,17.75,68.58,31.42,64.11,35.90,37.19,62.81,73.25,26.76,69.22,30.78,24.15,75.85,48.26,41.41,76.77,23.23,37.78,62.22,71.19,28.81,47.49,30.12,64.89,20.66,50.65,36.24,44.41,28.93,56.21,43.79,39.08,48.58,53.47,34.46,60.02,26.33,63.26,23.90,63.20,25.78,50.51,49.49,52.43,9.60
state,6,California,30581535,42.73,57.27,72.08,27.92,70.57,9.69,60.49,18.12,54.93,22.35,66.40,20.86,58.62,22.90,71.79,13.44,65.56,13.31,76.30,23.70,46.44,53.56,26.45,73.56,81.02,18.98,76.27,23.73,35.04,64.96,61.59,28.84,81.58,18.42,52.83,47.17,78.40,21.60,63.86,19.25,77.50,12.10,63.93,25.39,61.43,20.41,71.24,28.76,53.19,38.48,68.25,23.82,72.79,17.09,75.40,15.46,75.82,16.24,64.60,35.40,68.39,6.37
state,8,Colorado,4529479,41.85,58.15,66.86,33.15,68.29,10.23,56.37,18.92,52.01,21.91,63.46,23.42,53.80,25.59,71.86,12.27,64.96,12.52,74.75,25.26,48.51,51.49,26.67,73.33,80.94,19.06,74.22,25.78,39.12,60.89,58.77,31.51,78.64,21.37,46.94,53.06,75.44,24.56,55.90,25.10,74.52,14.55,60.26,27.99,60.67,23.02,67.15,32.85,46.67,47.34,64.35,28.81,69.20,21.35,72.19,18.42,72.57,19.93,60.04,39.96,67.94,7.22
state,9,Connecticut,2868441,39.13,60.87,72.51,27.49,70.09,9.90,58.01,16.43,57.71,15.89,66.45,18.37,57.76,21.75,72.18,12.67,64.54,12.34,77.92,22.08,53.23,46.77,27.55,72.45,82.26,17.74,77.35,22.65,33.72,66.28,56.35,33.81,81.84,18.16,47.45,52.55,79.28,20.72,59.90,19.52,75.38,13.05,62.65,26.75,60.94,21.35,69.10,30.90,47.00,45.70,65.81,26.89,70.97,19.51,75.49,15.97,75.00,17.10,61.28,38.72,68.82,6.89
state,10,Delaware,786933,35.47,64.53,65.98,34.03,67.14,11.95,58.49,18.08,56.95,19.18,63.01,22.52,54.25,25.98,68.99,13.98,62.00,15.54,73.81,26.19,52.88,47.12,28.95,71.05,78.30,21.70,72.76,27.24,33.00,67.01,58.57,31.68,78.58,21.42,46.12,53.88,74.96,25.04,56.34,21.55,72.78,14.70,56.18,30.23,57.20,23.52,62.86,37.15,47.10,44.11,60.76,28.90,68.13,21.58,69.42,20.20,68.43,22.80,59.83,40.17,62.94,8.05
state,11,District of Columbia,546532,46.77,53.23,76.55,23.45,77.59,6.86,68.66,13.45,67.11,13.61,75.52,14.04,65.98,15.74,78.98,9.41,72.84,9.98,82.28,17.72,34.32,65.68,19.86,80.14,87.08,12.92,80.30,19.70,41.24,58.76,71.88,20.21,82.11,17.89,59.52,40.48,83.26,16.74,71.05,12.15,84.54,7.17,66.37,23.47,73.27,15.46,76.05,23.95,58.57,35.65,72.90,19.47,79.87,13.16,80.91,11.31,80.74,12.64,72.58,27.42,77.86,4.69
state,12,Florida,17399100,34.49,65.51,66.88,33.12,66.80,12.16,58.67,18.03,57.96,15.95,62.69,22.56,54.31,27.10,68.54,13.28,61.16,15.27,74.41,25.59,51.56,48.44,30.77,69.23,78.95,21.05,73.02,26.99,30.57,69.43,57.91,32.31,79.20,20.80,44.86,55.14,75.59,24.41,56.10,23.83,72.76,15.46,56.64,30.59,55.04,24.26,63.49,36.51,47.25,44.35,60.43,29.52,65.94,22.62,68.61,20.58,68.69,21.65,58.49,41.51,61.40,7.82
