type,exclude,date,date_end,what,what_translation,institution,department,where,additional_info,additional_info2,url,slides,video,short_cv,order,academic,professional_2_page,website,one_column_paged,brief_no_pubs,humanities,humanities_description
current_positions,NA,2021-09-01,present,Lecturer in Data Analytics,NA,NA,NA,"School of Business, SUNY Geneseo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
education,NA,2016-08-26,2021-08-13,Ph.D. in Economics,NA,NA,NA,University of Wyoming,Supervisors: [Chuck Mason](http://www.uwyo.edu/economics/faculty-staff/charles-mason/) and [Thorsten Janus](http://www.uwyo.edu/economics/faculty-staff/thorsten-janus/),Dissertation: Essays on the Political Economy of Climate Change,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
education,NA,2014-08-21,2015-12-10,M.Sc. in Economics,NA,NA,NA,University of Wyoming,Supervisors: [Chuck Mason](http://www.uwyo.edu/economics/faculty-staff/charles-mason/) and [Thorsten Janus](http://www.uwyo.edu/economics/faculty-staff/thorsten-janus/),Dissertation: Essays on the Political Economy of Climate Change,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
education,NA,2012-08-24,2014-05-22,M.A. in Economics,NA,NA,NA,University of Wyoming,Supervisors: [Chuck Mason](http://www.uwyo.edu/economics/faculty-staff/charles-mason/) and [Thorsten Janus](http://www.uwyo.edu/economics/faculty-staff/thorsten-janus/),Dissertation: Essays on the Political Economy of Climate Change,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
education,NA,2006-02-27,2012-02-21,B.A. in Economics & B.Sc. in Applied Mathematics ,NA,NA,NA,University of Wyoming,Supervisors: [Chuck Mason](http://www.uwyo.edu/economics/faculty-staff/charles-mason/) and [Thorsten Janus](http://www.uwyo.edu/economics/faculty-staff/thorsten-janus/),Dissertation: Essays on the Political Economy of Climate Change,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
awards,NA,2019-09-01,NA,H. A. True Chair in Petroleum and Economics Scholarship,NA,NA,NA,University of Wyoming,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
awards,NA,2019-09-01,NA,John S. Bugas Economics Scholarship,NA,NA,NA,University of Wyoming,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
awards,NA,2018-09-01,NA,Ralph d'Arge Scholarship in Natural Resource Economics and Finance,NA,NA,NA,University of Wyoming,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
awards,NA,2018-09-01,NA,McMurry Excellence Fund,NA,NA,NA,University of Wyoming,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
awards,NA,2018-09-01,NA,Joseph C. and Katherine A. Drew Scholarship,NA,NA,NA,University of Wyoming,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
